dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
long_qualifying_2018_2025_top5,gru,round,6,38,0.3157894736842105,0.2898425246251334
long_qualifying_2018_2025_top5,gru,round,7,34,0.38235294117647056,0.3701587301587302
long_qualifying_2018_2025_top5,gru,round,8,34,0.35294117647058826,0.35666438824333563
long_qualifying_2018_2025_top5,gru,round,9,29,0.20689655172413793,0.18888888888888888
long_qualifying_2018_2025_top5,gru,round,10,29,0.1724137931034483,0.14444444444444443
long_qualifying_2018_2025_top5,gru,round,11,37,0.2972972972972973,0.26777222777222776
long_qualifying_2018_2025_top5,gru,round,12,19,0.2631578947368421,0.2253968253968254
long_qualifying_2018_2025_top5,gru,round,13,24,0.375,0.38095238095238093
long_qualifying_2018_2025_top5,gru,round,14,28,0.42857142857142855,0.4321778221778222
long_qualifying_2018_2025_top5,gru,round,15,34,0.29411764705882354,0.29646464646464643
long_qualifying_2018_2025_top5,gru,round,16,38,0.3157894736842105,0.2988244766505636
long_qualifying_2018_2025_top5,gru,round,17,24,0.375,0.34111111111111103
long_qualifying_2018_2025_top5,gru,round,18,34,0.3235294117647059,0.2947008547008547
long_qualifying_2018_2025_top5,gru,round,19,34,0.23529411764705882,0.22705882352941176
long_qualifying_2018_2025_top5,gru,round,20,28,0.42857142857142855,0.4416161616161617
long_qualifying_2018_2025_top5,gru,round,21,24,0.2916666666666667,0.32630036630036624
long_qualifying_2018_2025_top5,gru,round,22,20,0.35,0.32
long_qualifying_2018_2025_top5,gru,round,23,10,0.3,0.24666666666666667
long_qualifying_2018_2025_top5,gru,round,24,9,0.0,0.0
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,1,37,0.972972972972973,0.9749019607843138
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,2,33,0.8484848484848485,0.8501831501831502
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,3,29,0.9310344827586207,0.9288267288267289
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,4,34,0.9411764705882353,0.937948717948718
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,5,38,0.9210526315789473,0.92116458704694
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,6,38,0.9210526315789473,0.924705882352941
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,7,34,0.9117647058823529,0.9098901098901099
