subset_name,recommended_config,recommended_n_features,recommended_oof_accuracy,recommended_oof_macro_f1,delta_oof_accuracy_vs_full,delta_oof_macro_f1_vs_full,tolerance_used
distinctive_top5,compact_no_context_no_phase,57,0.8608058608058609,0.8617037086448901,0.003663003663003761,0.003284008517146275,0.005
distinctive_top6,compact_no_context_no_phase_no_speed,46,0.8256880733944955,0.8268508810561844,-0.006116207951070263,-0.006170087237100885,0.01
