driver,n_samples,n_correct,recall
ALB,55,43,0.7818181818181819
SAI,54,41,0.7592592592592593
VER,55,41,0.7454545454545455
OCO,54,40,0.7407407407407407
LEC,55,39,0.7090909090909091
TSU,54,35,0.6481481481481481
ALO,55,35,0.6363636363636364
HAM,55,35,0.6363636363636364
PIA,55,35,0.6363636363636364
STR,54,33,0.6111111111111112
RUS,55,32,0.5818181818181818
GAS,55,30,0.5454545454545454
HUL,55,26,0.4727272727272727
NOR,55,25,0.45454545454545453
