index,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,n_samples,speed_mean,speed_std,speed_min,speed_max,speed_median,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_median,brake_mean,brake_std,brake_min,brake_max,brake_median,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_median,gear_mean,gear_std,gear_min,gear_max,gear_median,throttle_zero_frac,throttle_low_frac,throttle_mid_frac,throttle_high_frac,throttle_full_frac,brake_active_frac,brake_hard_frac,drs_active_frac,first_brake_frac_pos,last_brake_frac_pos,first_full_throttle_frac_pos,last_full_throttle_frac_pos,gear_change_count,brake_on_count,drs_toggle_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,speed_diff_abs_max,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,throttle_diff_abs_max,brake_diff_mean,brake_diff_std,brake_diff_abs_mean,brake_diff_abs_max,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,rpm_diff_abs_max,speed_cv,rpm_cv,sector_sum_seconds,sector1_share,sector2_share,sector3_share,speed_p10,speed_p25,speed_p75,speed_p90,throttle_p10,throttle_p25,throttle_p75,throttle_p90,brake_p90
LapTimeSeconds,1.0,0.682320820690963,0.6134515237002401,0.5126720052178867,0.9844034504716016,0.02468707532130125,0.31060954523011225,-0.10658000832734495,0.16537375000674995,0.044156492038874624,0.23512361028666198,0.04047795808061333,0.005894685801807597,,-0.003433530813519367,0.2625823516009314,-0.08055759326502081,-0.06497416201870591,,-0.012230166454082501,,-0.10216632335990324,0.23461183990365594,-0.18224924951253801,0.004718550278463254,-0.017040968233359436,0.06418092975341946,0.2420595403566912,0.04684469951468306,0.15917856998702037,0.08257974920560737,-0.005303017848477898,-0.05820578398620875,0.025188780756631602,0.02949364818802642,0.03761290395218374,-0.08055759326502081,,-0.012230166454082501,-0.20107992145277534,0.05522191264944485,0.01715279592993337,0.044552327779181916,0.5119571496755712,0.17472704145391368,,0.047551887199172166,-0.025089498890278523,-0.08867677763666262,0.04582283222499911,0.0298856989081403,-0.3432294170815041,-0.2873014192266903,-0.009192631375744557,,-0.25632752977821804,-0.2634939664105459,-0.012230166454082501,-0.08520143523165823,-0.020602436930965088,-0.08090079256488668,0.10719218200931696,0.17860449620231272,0.22300874971154702,1.0,0.14353239369685672,-0.10103120076409672,-0.015622233716274456,-0.16042681417617796,-0.12047580899777668,0.18282045213540302,0.16709542256538276,-0.016798350119946688,-0.0613610400207807,-0.015282174517111322,-0.016009022043820268,-0.041532819167829076
Sector1TimeSeconds,0.682320820690963,1.0,0.21842618280113804,0.06597915777821232,0.6689570256964152,0.1677813921960491,0.06497272607089818,0.20384239915759825,0.21382295351794522,0.09888473740147324,0.03699796933816398,0.14345055240622911,-0.15066961224047212,,-0.020516468280716873,0.22903547512473899,-0.1706625707928497,-0.16384221456141118,,-0.02009153750481378,,0.044872202076596215,-0.025222789415493763,0.09182923832954897,0.013604267089096485,0.036414652535402436,0.1762946637186509,-0.014975192916408473,0.27361128854579714,0.18343118180683374,0.09638801889100587,-0.09683340393955193,-0.1575231625073891,-0.03872935664880177,0.13057612272078475,0.11497271031376104,-0.1706625707928497,,-0.02009153750481378,0.11741213110180061,-0.23137444057075363,0.022996353191059606,0.0363479962655874,0.17238845601238725,0.15122919701218673,,0.2372595680059877,-0.2668223440715293,-0.26062466464166173,-0.06341203549575479,0.09447375118952765,-0.2170083248983279,-0.16434531071593367,-0.02460627269080455,,-0.13526841175938417,-0.1512034404900046,-0.02009153750481378,-0.06376335301793887,-0.21438543081302341,-0.24013411385367406,-0.022862070381195986,-0.0636984459256311,-0.03292442783284311,0.6823208206909632,0.8175598971052292,-0.34531829588032054,-0.3248486541814649,0.1605218586663508,0.09984668313201432,0.23746246485460729,0.1672297663231054,0.08375768357605885,0.10458173263137063,-0.017615444317750997,-0.018751798129498523,-0.10188613726123416
Sector2TimeSeconds,0.6134515237002401,0.21842618280113804,1.0,-0.14647388807386452,0.599045251637259,-0.29122107594576907,0.22976679362037855,-0.41795457402433184,-0.15358873697178008,-0.2422055321155304,0.18563862635250414,-0.22930802114959678,0.21873118334876127,,-0.00013837200956477326,-0.02706480580016846,0.18392071161510573,0.17461159164160442,,-0.0054262050463983,,-0.270202779557811,0.3828929566901431,-0.4230122007025977,4.87987076329742e-05,-0.16789287004307285,-0.2407163590198,0.27361233528130957,-0.2774913080816858,-0.04338456618759822,-0.1884942522612875,0.16760033490340365,0.17897671282220096,0.27018611549318583,-0.2557547497975102,-0.24678091489940626,0.18392071161510573,,-0.0054262050463983,-0.21645394422184513,0.1117507811956627,0.009461209688911778,0.023607470271566528,0.49018723908188205,0.27353457611929344,,-0.035683188842461314,0.15046185860568106,0.20956026951003176,-0.005336900263869065,-0.043888174483135596,-0.011099138247602813,0.07084466421410666,0.007466539259992909,,0.005490010903928137,0.010621291164907681,-0.0054262050463983,-0.015520568536852082,0.2889163494633012,0.24930251198794956,0.2397880786433064,0.323429984317655,0.3887650445508192,0.6134515237002398,-0.21683069658443252,0.7189533678805456,-0.5567770100040055,-0.389966421419095,-0.3009546227404973,-0.1674660748265946,-0.14719733563019224,-0.07369676857411343,-0.30847913004694305,-0.009966636811440142,-0.006806348441884384,0.03362124114935957
Sector3TimeSeconds,0.5126720052178867,0.06597915777821232,-0.14647388807386452,1.0,0.5121774896553611,0.19077968001983697,0.25363747373078854,0.055897367013489165,0.25571066389426195,0.23789720263195527,0.1910788809113912,0.177118976961895,-0.07731985968484979,,0.012892855711618283,0.28333043081074666,-0.17628754355558485,-0.14529120422572497,,0.00236943383773073,,0.0569507222169572,0.043384492603151595,0.029789207089347347,-0.0041744705235122175,0.10990902463490934,0.20078878520545607,0.1601556655665459,0.11870405140751818,0.15870282757851,0.2528024806510732,-0.09375284813856766,-0.1436032560529057,-0.19908418777967377,0.19680165385924742,0.21625054866174254,-0.17628754355558485,,0.00236943383773073,-0.24058891702307766,0.19480844746210435,-0.0004762517974503915,0.021228468803133834,0.2428506789381761,-0.11178299199612302,,-0.09664154171226294,0.0449640905903738,-0.13458631197023357,0.14500494197561958,0.011621511337651824,-0.39793819021171495,-0.4318260033476758,-0.001426714897540984,,-0.3360338116128184,-0.33941531325591945,0.00236943383773073,-0.07650006656674077,-0.13836044231394348,-0.18069664422546539,-0.03680584301250794,0.04083348379510109,0.023779484841328913,0.5126720052178867,-0.27201025005019,-0.6053329184342474,0.8461707767361739,-0.028749128681507245,0.005793064601280094,0.27929007889715046,0.2949395400665391,-0.03051129528849105,0.11405672789141577,-0.0006226860957526475,-0.004135305271817868,-0.014856145478323979
n_samples,0.9844034504716016,0.6689570256964152,0.599045251637259,0.5121774896553611,1.0,0.034617245957212384,0.322771070982632,-0.09955965126540531,0.1845558151033173,0.05167758841871841,0.24724775729783452,0.04928335985851883,0.014564985173747715,,0.01141115550574526,0.26351487265219525,-0.07779800300331696,-0.058827365337786486,,0.002897555552009746,,-0.08467840396268307,0.23092649389346345,-0.16595186059809447,0.018034978671763405,0.00018300863147193672,0.06949445418849093,0.2539422401514003,0.04174996916471088,0.16771713241625208,0.08425116804335117,-0.007658927076287418,-0.06364799278402888,0.012750591061984534,0.039275409335332585,0.05042219446787094,-0.07779800300331696,,0.002897555552009746,-0.20768500481100502,0.02154911030888783,0.016836648063111193,0.04183210469224084,0.5082201797134611,0.16781335846643228,,0.0543344239154439,-0.047132508824241325,-0.10671835955547855,0.03636273529077503,0.028705080284491803,-0.3576498148134366,-0.30602363740020433,0.0034587310135843763,,-0.2665009795401537,-0.2753296565631089,0.002897555552009746,-0.08294167628968538,-0.03045116622623529,-0.08893508915494619,0.08655941189757485,0.18249635096431316,0.21654779838594543,0.9844034504716012,0.13593777076919364,-0.10426307250889723,-0.006005178143905593,-0.15606626782450742,-0.11944657445809485,0.1995471998714524,0.1854630411658138,-0.014174559835279156,-0.05341155549557183,0.002141733866230491,0.0002313305576956738,-0.0349252636019947
speed_mean,0.02468707532130125,0.1677813921960491,-0.29122107594576907,0.19077968001983697,0.034617245957212384,1.0,-0.1218956230827337,0.5664072780115839,0.6211274896416109,0.9782384200432882,0.12758159015773016,0.9452755449986808,-0.5373713988438978,,0.3378879604065589,0.6920010810652244,-0.7568417477848824,-0.6237006198799839,,0.33890052278449134,,0.7856459229478637,-0.5949351845347602,0.5858262807040626,0.23619945419542734,0.6252875553443252,0.9788628696517265,-0.22963824853624298,0.5252799953086181,0.5955361608183767,0.8913088728280447,-0.732148816413166,-0.9055983779536023,-0.6184153267577636,0.9385941520342622,0.9303625813626358,-0.7568417477848824,,0.33890052278449134,0.21589998224999285,-0.18062216352837118,-0.004235144349051574,0.05421558946599956,-0.3792759987031819,-0.5914111255086266,,0.07330689347645546,-0.38014347211916,-0.6755622877186938,0.06424091426767928,0.09011056035609201,-0.46328024225727926,-0.6556384973833189,0.28228326132210463,,-0.5456004884931042,-0.6124670126579482,0.33890052278449134,0.016836633820476215,-0.7270303784633828,-0.7982297872575804,-0.300697483593961,-0.7491507842976801,-0.7369270232134855,0.024687075321301318,0.20589445088450692,-0.399156442747154,0.23812604044260854,0.8237112620565938,0.9031273862460123,0.9024714439839391,0.7336292294279763,0.21039880580852682,0.86770811636954,0.33382747646807803,0.33541451284492646,0.049437574513242086
speed_std,0.31060954523011225,0.06497272607089818,0.22976679362037855,0.25363747373078854,0.322771070982632,-0.1218956230827337,1.0,-0.4166519321445434,0.5401594109525064,-0.10482351687405833,0.8215418280300429,-0.265615917691729,0.491490455389749,,0.27138677210653206,-0.022835465805477722,0.3189509266291244,0.3840098760284405,,0.27076192385020836,,-0.08882286712762541,0.7446107244529756,-0.3548197867004303,0.3628727634734159,0.17337961988275583,-0.10402146423258282,0.9210254149979308,-0.3019446113598789,0.23338186748420814,-0.01893096982792767,0.17161375901477408,0.19345967578472237,0.31944602020942303,-0.2894588374552979,-0.25513071443921836,0.3189509266291244,,0.27076192385020836,-0.1362817094518878,-0.11664825637051365,0.062427402750370516,-0.04960558775298424,0.24184005135877815,0.1775658837089354,,-0.02686128664167925,0.3900681401242214,0.29320267274813827,0.16916003123216242,-0.01003044272318872,-0.1569628384218779,-0.07931958726718837,0.2691435717283958,,0.07710352845240062,0.04075975860588234,0.27076192385020836,0.06650054483020618,0.3858693075787772,0.3139516062939433,0.21962744160189274,0.8139018017178314,0.7117271369849079,0.3106095452301121,-0.15576777789783236,0.04057359719160337,0.08773736046899608,-0.6018735390825241,-0.49380490901345747,0.2998975761697122,0.5303419544910646,-0.17654382441775826,-0.3956465258987527,0.26083333017671767,0.2631400732086801,0.20280906137940533
speed_min,-0.10658000832734495,0.20384239915759825,-0.41795457402433184,0.055897367013489165,-0.09955965126540531,0.5664072780115839,-0.4166519321445434,1.0,0.3161469592041084,0.524601876920008,-0.49128536286030094,0.6038359996171174,-0.3598311671505637,,0.1809976996147817,0.5313126469062974,-0.46368175228964137,-0.37492534597228566,,0.1779979676143845,,0.5506813748878909,-0.6764166149063516,0.879905998296987,0.0568783531335155,0.37767153656541,0.5384275349193935,-0.4929186668440321,0.8227522522683134,0.41764354056448616,0.44253551438308036,-0.4729147609731608,-0.5762936119995739,-0.36013685220372654,0.581430881498571,0.5446498190755282,-0.46368175228964137,,0.1779979676143845,0.2632451197927899,-0.3756844073180392,-0.024997435404570285,0.04387926724376411,-0.3368212461051713,-0.32040242281962494,,0.1746719938137305,-0.37172818621515447,-0.47402408960807885,0.019942012231787057,0.10555275796304793,-0.15276574185190667,-0.26819722806100044,0.14471040868255755,,-0.24501571600045893,-0.2881306478632997,0.1779979676143845,0.0740667786094223,-0.5476424013249437,-0.5401413082918519,-0.3270119197548772,-0.6800126078123895,-0.7302321247704078,-0.10658000832734475,0.38760939396108157,-0.45534314926269115,0.1448479254543511,0.6862917832877227,0.5471587648813009,0.37110692623463654,0.24769388249088015,0.14658707921976316,0.5277220355502472,0.18545957021942505,0.18088108555817956,-0.000745401615022599
speed_max,0.16537375000674995,0.21382295351794522,-0.15358873697178008,0.25571066389426195,0.1845558151033173,0.6211274896416109,0.5401594109525064,0.3161469592041084,1.0,0.5543238853048019,0.6710069797829964,0.5048996498502821,0.10952641078090128,,0.6469303564680009,0.5799784822781727,-0.20220339780437774,-0.01307997155068178,,0.6487515804797797,,0.6686124241876503,0.0729446530581506,0.3464846954764488,0.598325469234346,0.7584941615849765,0.6111646675170577,0.38963575813401435,0.32726459286675796,0.8188434713273431,0.5386951226432539,-0.4769927466951006,-0.563337835785295,-0.10565650175298448,0.451372313135592,0.4487460196996795,-0.20220339780437774,,0.6487515804797797,0.28149157670734065,-0.2531683854746959,0.026494813772889973,-0.0351605247390388,-0.08330561313906117,-0.1752626956944726,,0.03277039992499945,0.042935279813689206,-0.18080525057319685,0.16292704306523054,0.06829306076139648,-0.24312050617596112,-0.33676117413136053,0.5961237091021685,,-0.16336045196279703,-0.27112682165411617,0.6487515804797797,0.07102248571875674,-0.18939738887539573,-0.26853207441890586,-0.057132309371333095,-0.005620140864582258,-0.08741678673702813,0.16537375000674992,0.1780242559344113,-0.3437064992974795,0.2044382103258397,0.2693974611310053,0.2965636599369286,0.805109219646944,0.9134417478708705,0.028317252941529154,0.2768936491580056,0.6427090121603154,0.643872718615423,0.2617854332723439
speed_median,0.044156492038874624,0.09888473740147324,-0.2422055321155304,0.23789720263195527,0.05167758841871841,0.9782384200432882,-0.10482351687405833,0.524601876920008,0.5543238853048019,1.0,0.09892247778227056,0.9286130825996253,-0.5598034146490493,,0.2841135218845799,0.6699860962371903,-0.7777380837349558,-0.653626626234938,,0.2836267551727151,,0.7278679436249775,-0.5764401304899118,0.5389715940756195,0.1826969240660271,0.5690304654150449,0.9624051820204543,-0.20665331427108813,0.49611916984763343,0.5259788596964794,0.914616062495916,-0.7094136576183889,-0.8848436474196282,-0.6199996123281465,0.9245650399833948,0.9208409739890759,-0.7777380837349558,,0.2836267551727151,0.13414416564658704,-0.14769993739754517,0.006932643733173999,0.06580122228737321,-0.3877558405233973,-0.6312393770472279,,0.053980331776609526,-0.3964540485678736,-0.7042410304346336,0.07599255783494822,0.077596639906559,-0.5327460622522279,-0.7109860993889139,0.22752158200564662,,-0.5966855501334537,-0.6530118227153536,0.2836267551727151,0.023283427645344468,-0.7341089033304578,-0.8110226611028684,-0.29463983793518134,-0.7135921043461521,-0.6957356697415447,0.044156492038874756,0.09758355712795108,-0.35033493165255974,0.2780124598226508,0.7625629691137478,0.8703955095413328,0.8851759294545353,0.6913030337242557,0.19677016294340163,0.8668582453574674,0.2768130143198735,0.2788795325019518,0.03715927028952269
