n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_min,brake_max,brake_active_frac,brake_on_count,first_brake_frac_pos,last_brake_frac_pos,rpm_mean,rpm_std,rpm_min,rpm_max,gear_mean,gear_std,gear_min,gear_max,gear_change_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,drs_active_frac,lap_key,Driver,season,round,LapNumber,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,Team,session_key,event_name,analysis_team,leader_driver
342,187.37719298245614,72.70831821026795,73.0,336.0,103.0,179.5,294.0,263.0,61.58187134502924,44.73326642369799,0.0,100.0,0.28362573099415206,0.5058479532163743,0.21052631578947367,0.21637426900584794,0.412375651189235,0.0,1.0,0.21637426900584794,11,0.026392961876832845,0.9501466275659824,10092.169590643274,1480.2779224702742,6496.0,12451.0,4.815789473684211,1.9202537839683806,2,8,56,-0.30791788856304986,12.410700864422566,9.082111436950147,0.0,18.21537811850196,6.357771260997067,-3.070381231671554,626.611415169041,482.88269794721407,1.0,2018_r04_Q_BOT_lap19,BOT,2018,4,19.0,101.837,35.499,41.155,25.183,ULTRASOFT,2.0,Mercedes,2018_4_Q,Azerbaijan Grand Prix,Mercedes,HAM
342,187.67543859649123,72.85386839308119,70.0,337.0,102.0,179.5,295.90000000000003,267.0,63.29824561403509,42.63882205775884,0.0,100.0,0.2222222222222222,0.49707602339181284,0.2807017543859649,0.23684210526315788,0.4257675128472596,0.0,1.0,0.23684210526315788,12,0.026392961876832845,0.9472140762463344,10170.140350877193,1480.4455650759185,6533.0,12421.0,4.821637426900585,1.925382151990895,2,8,50,-0.2903225806451613,12.686289271645629,9.252199413489736,0.0,16.53801325289532,6.504398826979473,-3.7038123167155423,618.807156801659,484.63049853372434,1.0,2018_r04_Q_HAM_lap19,HAM,2018,4,19.0,101.677,35.296,41.158,25.223,ULTRASOFT,2.0,Mercedes,2018_4_Q,Azerbaijan Grand Prix,Mercedes,HAM
343,188.59475218658892,69.61583536655607,72.0,326.0,105.0,184.0,293.8,254.0,62.64139941690962,44.53072046017864,0.0,100.0,0.26239067055393583,0.5160349854227405,0.22157434402332363,0.23615160349854228,0.4253368809888141,0.0,1.0,0.23615160349854228,11,0.023391812865497075,0.9444444444444444,9994.862973760934,1323.8509224208894,6636.0,11935.0,4.737609329446064,1.8067327297837308,2,8,53,-0.24561403508771928,11.669114612465851,8.836257309941521,0.0,17.383883728607255,6.497076023391813,-1.9152046783625731,570.6827997156624,439.7865497076023,1.0,2018_r04_Q_RIC_lap19,RIC,2018,4,19.0,101.911,35.629,40.863,25.419,ULTRASOFT,2.0,Red Bull Racing,2018_4_Q,Azerbaijan Grand Prix,Red Bull Racing,VER
343,188.1078717201166,70.4068172027047,75.0,328.0,103.2,182.0,293.8,253.0,62.20699708454811,44.014959684678246,0.0,100.0,0.119533527696793,0.5102040816326531,0.37026239067055394,0.24489795918367346,0.4306549188710953,0.0,1.0,0.24489795918367346,11,0.023391812865497075,0.9473684210526315,10087.714285714286,1386.8442320522547,6698.0,12226.0,4.641399416909621,1.8055244400844728,2,8,52,-0.2543859649122807,11.825325526826044,8.874269005847953,0.0,18.01123793863463,6.47953216374269,-2.0497076023391814,570.2788949713707,434.52923976608184,1.0,2018_r04_Q_VER_lap18,VER,2018,4,18.0,101.994,35.765,40.936,25.293,ULTRASOFT,2.0,Red Bull Racing,2018_4_Q,Azerbaijan Grand Prix,Red Bull Racing,VER
257,225.84824902723736,65.50009189259006,83.0,325.0,136.2,233.0,312.4,242.0,74.72373540856032,39.807612789417774,0.0,100.0,0.1867704280155642,0.6536964980544747,0.15953307392996108,0.14396887159533073,0.35174315775468523,0.0,1.0,0.14396887159533073,6,0.12890625,0.92578125,10540.665369649805,1188.939599794757,6183.0,12187.0,5.821011673151751,1.7519704720740745,3,8,30,-0.28125,10.375262812641063,6.5390625,0.0,15.06040126538831,4.8203125,4.69140625,455.25208109092983,318.70703125,1.0,2018_r05_Q_BOT_lap12,BOT,2018,5,12.0,76.213,21.528,28.366,26.319,SUPERSOFT,2.0,Mercedes,2018_5_Q,Spanish Grand Prix,Mercedes,HAM
256,225.83203125,65.51598449903238,82.0,323.0,133.5,234.0,313.0,241.0,75.375,38.48595363832083,0.0,100.0,0.14453125,0.625,0.23046875,0.1640625,0.3710577091631594,0.0,1.0,0.1640625,6,0.13333333333333333,0.9333333333333333,10625.57421875,999.7352484628093,7461.0,12119.0,5.82421875,1.829057234655892,2,8,31,-0.2980392156862745,10.598868796349713,6.698039215686275,0.0,15.972663655507446,5.207843137254902,3.854901960784314,457.62692241990527,317.7372549019608,1.0,2018_r05_Q_HAM_lap15,HAM,2018,5,15.0,76.173,21.531,28.316,26.326,SUPERSOFT,2.0,Mercedes,2018_5_Q,Spanish Grand Prix,Mercedes,HAM
258,223.89922480620154,61.868235151792675,83.0,315.0,137.8,231.0,304.0,232.0,75.90310077519379,40.054271427757634,0.0,100.0,0.18604651162790697,0.6627906976744186,0.1511627906976744,0.15891472868217055,0.36630713720940333,0.0,1.0,0.15891472868217055,6,0.14007782101167315,0.9416342412451362,10505.480620155038,864.850933834991,7751.0,11846.0,5.538759689922481,1.678558306618799,2,8,27,-0.3229571984435798,9.606759207496413,6.143968871595331,0.0,17.098976577561594,4.747081712062257,-2.431906614785992,418.73485540881506,293.9260700389105,1.0,2018_r05_Q_RIC_lap16,RIC,2018,5,16.0,76.818,21.972,28.687,26.159,SOFT,2.0,Red Bull Racing,2018_5_Q,Spanish Grand Prix,Red Bull Racing,VER
259,224.17760617760618,62.45500178937608,85.0,318.0,136.8,232.0,306.0,233.0,74.16988416988417,40.579356892396476,0.0,100.0,0.10810810810810811,0.6563706563706564,0.23552123552123552,0.13513513513513514,0.34252974900661687,0.0,1.0,0.13513513513513514,6,0.13953488372093023,0.9263565891472868,10516.092664092665,839.2238795829483,7926.0,11796.0,5.598455598455598,1.705257922521748,2,8,28,-0.2596899224806202,9.97732853665652,6.127906976744186,0.0,16.51105042061885,4.744186046511628,1.0271317829457365,433.7157742137794,295.11240310077517,1.0,2018_r05_Q_VER_lap12,VER,2018,5,12.0,76.816,21.9,28.609,26.307,SUPERSOFT,2.0,Red Bull Racing,2018_5_Q,Spanish Grand Prix,Red Bull Racing,VER
241,169.8423236514523,69.58382260203503,47.0,291.0,84.0,168.0,270.0,244.0,53.83402489626556,44.8422866367901,0.0,100.0,0.3278008298755187,0.4190871369294606,0.25311203319502074,0.25311203319502074,0.43569946625657635,0.0,1.0,0.25311203319502074,11,0.025,0.9666666666666667,9977.323651452281,1598.947589764367,5307.0,12262.0,4.149377593360996,1.9478860407278753,1,7,35,-0.5291666666666667,11.404285297730073,8.4875,0.0,19.49831019392219,7.575,2.2666666666666666,616.451985097189,488.26666666666665,1.0,2018_r06_Q_BOT_lap24,BOT,2018,6,24.0,71.441,18.745,33.702,18.994,HYPERSOFT,2.0,Mercedes,2018_6_Q,Monaco Grand Prix,Mercedes,HAM
240,170.3875,69.38694373043855,46.0,292.0,81.9,168.0,271.0,246.0,56.28333333333333,43.969880016609494,0.0,100.0,0.2875,0.4083333333333333,0.30416666666666664,0.2375,0.42644045825313814,0.0,1.0,0.2375,12,0.02510460251046025,0.9748953974895398,10175.358333333334,1640.5437245206713,5075.0,12522.0,4.125,1.9558409463786621,1,7,29,-0.5188284518828452,11.724725234093352,8.518828451882845,0.0,19.685980166759553,7.97489539748954,2.8661087866108788,660.9080197495326,521.1087866108786,1.0,2018_r06_Q_HAM_lap21,HAM,2018,6,21.0,71.232,18.594,33.446,19.192,HYPERSOFT,2.0,Mercedes,2018_6_Q,Monaco Grand Prix,Mercedes,HAM
239,212.20502092050208,71.90414236308051,64.0,317.0,109.6,223.0,302.20000000000005,253.0,71.418410041841,41.278525100059014,0.0,100.0,0.20502092050209206,0.6108786610878661,0.18410041841004185,0.17573221757322174,0.3813909023931418,0.0,1.0,0.17573221757322174,6,0.03361344537815126,0.7899159663865546,10301.54811715481,1505.1023209817301,5806.0,12517.0,5.573221757322176,1.95158696385988,2,8,36,0.06302521008403361,11.743398292986413,7.869747899159663,0.0,14.015964375809688,4.285714285714286,2.3781512605042017,567.0672422580388,420.84033613445376,1.0,2018_r07_Q_BOT_lap16,BOT,2018,7,16.0,70.857,19.423,22.693,28.741,HYPERSOFT,2.0,Mercedes,2018_7_Q,Canadian Grand Prix,Mercedes,HAM
239,210.66108786610877,72.26420793443603,61.0,314.0,108.8,222.0,301.0,253.0,73.93305439330544,40.65808078437124,0.0,100.0,0.200836820083682,0.6150627615062761,0.18410041841004185,0.17154811715481172,0.37777837527612923,0.0,1.0,0.17154811715481172,6,0.037815126050420166,0.7899159663865546,10344.941422594142,1328.569175985127,5320.0,12301.0,5.468619246861925,2.0328340985100026,2,8,36,0.06722689075630252,11.943418710958156,7.949579831932773,0.0,15.120891184416694,4.546218487394958,2.46218487394958,548.0070649998236,391.546218487395,1.0,2018_r07_Q_HAM_lap20,HAM,2018,7,20.0,70.996,19.43,22.697,28.869,HYPERSOFT,2.0,Mercedes,2018_7_Q,Canadian Grand Prix,Mercedes,HAM
239,212.03347280334728,69.47207081095908,67.0,316.0,111.8,223.0,299.0,249.0,72.68200836820084,41.771679956277524,0.0,100.0,0.20502092050209206,0.6234309623430963,0.17154811715481172,0.17573221757322174,0.3813909023931418,0.0,1.0,0.17573221757322174,6,0.029411764705882353,0.7899159663865546,10246.790794979079,1194.1908542546705,6110.0,12122.0,5.347280334728033,1.8788693768774758,2,8,35,0.07142857142857142,11.220796265713435,7.684873949579832,0.0,16.214022165025323,4.61344537815126,2.563025210084034,503.8599470309514,371.5378151260504,1.0,2018_r07_Q_RIC_lap17,RIC,2018,7,17.0,71.116,19.523,22.672,28.921,HYPERSOFT,2.0,Red Bull Racing,2018_7_Q,Canadian Grand Prix,Red Bull Racing,VER
239,212.29707112970712,70.3466180570036,67.0,317.0,109.0,224.0,300.0,250.0,71.55230125523012,41.689886337494784,0.0,100.0,0.13807531380753138,0.6108786610878661,0.2510460251046025,0.18410041841004185,0.38837942544510246,0.0,1.0,0.18410041841004185,5,0.03361344537815126,0.7899159663865546,10310.740585774058,1232.8168740841222,6230.0,12120.0,5.372384937238493,1.8785137838394157,2,8,34,0.07983193277310924,11.904593162651913,7.7521008403361344,0.0,14.66561177640985,4.65546218487395,2.76890756302521,505.14294375784107,377.3151260504202,1.0,2018_r07_Q_VER_lap15,VER,2018,7,15.0,70.937,19.42,22.715,28.802,HYPERSOFT,2.0,Red Bull Racing,2018_7_Q,Canadian Grand Prix,Red Bull Racing,VER
304,237.00328947368422,68.52286353785486,89.0,330.0,139.3,247.0,319.0,241.0,72.57565789473684,40.05442913455538,0.0,100.0,0.18421052631578946,0.6118421052631579,0.20394736842105263,0.13157894736842105,0.3385897861006643,0.0,1.0,0.13157894736842105,9,0.04950495049504951,0.9240924092409241,10504.049342105263,1072.3811300029315,6782.0,12161.0,6.180921052631579,1.793874194978597,3,8,32,-0.20462046204620463,8.79443561497482,5.478547854785479,0.0,15.289697002788712,5.438943894389439,0.1419141914191419,408.09429056573464,280.5181518151815,1.0,2018_r08_Q_BOT_lap16,BOT,2018,8,16.0,90.147,22.408,27.711,40.028,ULTRASOFT,2.0,Mercedes,2018_8_Q,French Grand Prix,Mercedes,HAM
303,237.34323432343234,68.40278797497618,88.0,331.0,140.0,246.0,320.0,243.0,72.8019801980198,40.062704114506474,0.0,100.0,0.1551155115511551,0.594059405940594,0.2508250825082508,0.132013201320132,0.3390650953695997,0.0,1.0,0.132013201320132,8,0.04966887417218543,0.9304635761589404,10637.83498349835,1077.1632319702182,6792.0,12090.0,6.052805280528053,1.7521558296460826,3,8,27,-0.23178807947019867,8.349861206882997,5.503311258278146,0.0,13.66203362573441,4.410596026490066,-0.7947019867549668,397.22041410339887,275.1655629139073,1.0,2018_r08_Q_HAM_lap18,HAM,2018,8,18.0,90.029,22.276,27.821,39.932,ULTRASOFT,2.0,Mercedes,2018_8_Q,French Grand Prix,Mercedes,HAM
306,235.11764705882354,66.01191558374654,96.0,327.0,137.5,244.5,314.5,231.0,72.27450980392157,41.07398128114087,0.0,100.0,0.16339869281045752,0.6241830065359477,0.21241830065359477,0.1437908496732026,0.35145226858895773,0.0,1.0,0.1437908496732026,8,0.05245901639344262,0.9377049180327869,10289.441176470587,945.2315657667649,7092.0,11868.0,6.0,1.7101433167820836,3,8,29,-0.2262295081967213,7.922608838155262,5.177049180327868,0.0,16.73536281115688,5.285245901639344,-1.2852459016393443,405.553513016172,270.4131147540984,1.0,2018_r08_Q_RIC_lap15,RIC,2018,8,15.0,90.895,22.601,28.011,40.283,ULTRASOFT,2.0,Red Bull Racing,2018_8_Q,French Grand Prix,Red Bull Racing,VER
305,236.11475409836066,67.29420342418248,99.0,327.0,133.8,244.0,316.6,228.0,71.54426229508196,40.91171706999335,0.0,100.0,0.09836065573770492,0.6,0.3016393442622951,0.17704918032786884,0.3823376171584372,0.0,1.0,0.17704918032786884,8,0.049342105263157895,0.9375,10325.232786885246,1002.0077516904746,7331.0,11876.0,6.0131147540983605,1.7129033725700533,3,8,28,-0.2236842105263158,8.239963286487033,5.381578947368421,0.0,14.983819656053944,4.815789473684211,-0.6578947368421053,412.8351320734478,275.5394736842105,1.0,2018_r08_Q_VER_lap15,VER,2018,8,15.0,90.705,22.568,27.841,40.296,ULTRASOFT,2.0,Red Bull Racing,2018_8_Q,French Grand Prix,Red Bull Racing,VER
213,240.27699530516432,68.29392142890002,73.0,328.0,134.4,253.0,319.8,255.0,75.61971830985915,39.932619969845774,0.0,100.0,0.18779342723004694,0.676056338028169,0.13615023474178403,0.13615023474178403,0.3437559137912453,0.0,1.0,0.13615023474178403,4,0.07547169811320754,0.7971698113207547,10717.671361502347,1071.2901431136997,6840.0,12079.0,6.183098591549296,1.8350095816540464,2,8,30,-0.07075471698113207,11.03976841385245,7.089622641509434,0.0,15.944215549178736,4.716981132075472,-2.5849056603773586,475.02712056124903,325.8867924528302,1.0,2018_r09_Q_BOT_lap16,BOT,2018,9,16.0,63.13,16.018,28.013,19.099,ULTRASOFT,2.0,Mercedes,2018_9_Q,Austrian Grand Prix,Mercedes,HAM
213,240.19718309859155,69.19543413575194,72.0,328.0,132.0,253.0,321.0,256.0,77.25352112676056,39.06696656632208,0.0,100.0,0.1596244131455399,0.6948356807511737,0.14553990610328638,0.14553990610328638,0.3534750859278335,0.0,1.0,0.14553990610328638,5,0.07547169811320754,0.8867924528301887,10791.50234741784,1154.4053791782137,6463.0,12721.0,6.093896713615023,1.8760180452924045,2,8,26,-0.07075471698113207,11.330857645064933,7.278301886792453,0.0,15.199151884545357,4.764150943396227,3.6226415094339623,472.6557709144905,330.8867924528302,1.0,2018_r09_Q_HAM_lap19,HAM,2018,9,19.0,63.149,16.025,28.011,19.113,ULTRASOFT,2.0,Mercedes,2018_9_Q,Austrian Grand Prix,Mercedes,HAM
216,238.09259259259258,62.58263925061632,80.0,313.0,138.5,251.5,309.0,233.0,78.4675925925926,38.56638934014399,0.0,100.0,0.14351851851851852,0.7083333333333334,0.14814814814814814,0.12962962962962962,0.33667574884774193,0.0,1.0,0.12962962962962962,4,0.07906976744186046,0.8046511627906977,10542.851851851852,711.7735570774558,7819.0,11684.0,6.0,1.8095354665358627,2,8,27,-0.05581395348837209,9.94689878702119,6.474418604651163,0.0,16.075173870079013,4.53953488372093,-2.0372093023255813,422.80856509908546,285.47906976744184,1.0,2018_r09_Q_RIC_lap18,RIC,2018,9,18.0,63.996,16.351,28.137,19.508,ULTRASOFT,2.0,Red Bull Racing,2018_9_Q,Austrian Grand Prix,Red Bull Racing,VER
215,238.2046511627907,64.69269539970242,78.0,320.0,134.20000000000002,251.0,312.0,242.0,75.98139534883721,40.43408883726673,0.0,100.0,0.14418604651162792,0.6976744186046512,0.15813953488372093,0.13953488372093023,0.3473124686506999,0.0,1.0,0.13953488372093023,4,0.07476635514018691,0.7990654205607477,10603.93488372093,729.4711728380628,7638.0,11900.0,5.986046511627907,1.832925932617593,2,8,28,-0.06074766355140187,10.818652446258211,6.789719626168225,0.0,17.114362636414604,4.719626168224299,-2.149532710280374,406.5364365571761,283.1682242990654,1.0,2018_r09_Q_VER_lap17,VER,2018,9,17.0,63.84,16.222,28.182,19.436,ULTRASOFT,2.0,Red Bull Racing,2018_9_Q,Austrian Grand Prix,Red Bull Racing,VER
290,252.0655172413793,69.78468504645252,85.0,322.0,131.0,284.5,313.1,237.0,78.78275862068965,37.613004533149685,0.0,100.0,0.15172413793103448,0.7068965517241379,0.1413793103448276,0.11724137931034483,0.32226379780430436,0.0,1.0,0.11724137931034483,6,0.12802768166089964,1.0,10618.868965517242,1033.2135260356442,6438.0,12240.0,6.558620689655172,1.894723549670047,3,8,23,0.14186851211072665,6.920978422872963,4.5432525951557095,0.0,13.689259780329007,3.5916955017301038,0.30103806228373703,411.94902938521255,259.85121107266434,1.0,2018_r10_Q_BOT_lap11,BOT,2018,10,11.0,86.217,27.702,34.817,23.698,SOFT,2.0,Mercedes,2018_10_Q,British Grand Prix,Mercedes,HAM
289,252.92387543252596,69.4024676669512,88.0,322.0,135.6,287.0,314.2,234.0,79.9515570934256,36.359858522870425,0.0,100.0,0.13494809688581316,0.71280276816609,0.1522491349480969,0.10726643598615918,0.3099884657600466,0.0,1.0,0.10726643598615918,6,0.13194444444444445,0.8263888888888888,10616.484429065744,1106.3738696813336,6472.0,12422.0,6.546712802768166,1.8291803123661756,3,8,23,0.16319444444444445,7.077305797815143,4.517361111111111,0.0,12.576733122233078,3.701388888888889,1.0729166666666667,395.4045494564222,240.94097222222223,1.0,2018_r10_Q_HAM_lap14,HAM,2018,10,14.0,85.892,27.52,34.708,23.664,SOFT,2.0,Mercedes,2018_10_Q,British Grand Prix,Mercedes,HAM
293,248.53924914675767,67.12804159162874,87.0,319.0,131.2,278.0,308.0,232.0,78.49829351535836,37.932313958990385,0.0,100.0,0.14334470989761092,0.7133105802047781,0.14334470989761092,0.11604095563139932,0.32082197250643424,0.0,1.0,0.11604095563139932,6,0.13356164383561644,0.8287671232876712,10278.911262798634,1137.8544844202095,6529.0,11805.0,6.406143344709897,1.6866406406270429,3,8,20,0.18835616438356165,6.5855826104792285,4.277397260273973,0.0,13.431767237933384,3.780821917808219,-0.8595890410958904,361.07118812974403,228.30479452054794,1.0,2018_r10_Q_RIC_lap10,RIC,2018,10,10.0,87.099,28.08,35.214,23.805,SOFT,2.0,Red Bull Racing,2018_10_Q,British Grand Prix,Red Bull Racing,VER
292,251.2431506849315,67.01853198855981,90.0,320.0,134.3,283.0,311.0,230.0,78.9041095890411,37.806766565966946,0.0,100.0,0.0821917808219178,0.7191780821917808,0.19863013698630136,0.10273972602739725,0.3041398677786806,0.0,1.0,0.10273972602739725,4,0.13402061855670103,1.0,10299.681506849314,1074.34246074322,6641.0,11739.0,6.5,1.7100873151478415,3,8,21,0.15120274914089346,6.948417601806606,4.378006872852234,-0.054982817869415807,15.222614786822257,4.0,0.9209621993127147,370.28756384515714,227.9037800687285,1.0,2018_r10_Q_VER_lap13,VER,2018,10,13.0,86.602,27.846,35.029,23.727,SOFT,2.0,Red Bull Racing,2018_10_Q,British Grand Prix,Red Bull Racing,VER
