experiment,model,importance_type,feature,importance
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_abs_max,0.17839843424016538
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__Sector2TimeSeconds,0.17007344314700115
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__brake_p90,0.1606741398717643
experiment_a_with_time_features,logistic_regression,mean_abs_coef,cat__Compound_MEDIUM,0.15995379642210233
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__last_full_throttle_frac_pos,0.14568959064032436
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__LapTimeSeconds,0.14345248690733375
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__sector_sum_seconds,0.14345248690733356
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__Sector1TimeSeconds,0.1366413344690223
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__sector1_share,0.13203950222332833
experiment_a_with_time_features,logistic_regression,mean_abs_coef,cat__Compound_HARD,0.12770134654501172
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__Sector3TimeSeconds,0.1140904755182619
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__sector3_share,0.10825226904738262
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__TyreLife,0.0927253831925232
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__sector2_share,0.08695231058205104
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__first_full_throttle_frac_pos,0.02086394243115488
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_zero_frac,0.04027893726013729
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_max,0.03516321340931571
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_mid_frac,0.026727608704912406
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_diff_std,0.022912228401870488
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_median,0.022793230497003103
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_diff_mean,0.022530878723443375
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_median,0.021886898505284764
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_std,0.02180042496137584
experiment_a_with_time_features,random_forest,feature_importance,num__brake_diff_std,0.021494602118990472
experiment_a_with_time_features,random_forest,feature_importance,num__brake_diff_abs_mean,0.02148859053622798
experiment_a_with_time_features,random_forest,feature_importance,num__brake_mean,0.020786525076507564
experiment_a_with_time_features,random_forest,feature_importance,num__brake_std,0.020506183647121298
experiment_a_with_time_features,random_forest,feature_importance,num__gear_mean,0.01978131230021795
experiment_a_with_time_features,random_forest,feature_importance,num__brake_active_frac,0.01970944295477201
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_diff_abs_max,0.019261681427887353
experiment_a_with_time_features,random_forest,feature_importance,num__gear_change_count,0.019232137010434337
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_low_frac,0.01834152583087863
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_diff_abs_max,0.01813391739083382
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_diff_abs_mean,0.01703745311550452
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_diff_abs_mean,0.016952580863742087
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_min,0.016774970672701107
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_p75,0.01663450227004205
experiment_a_with_time_features,random_forest,feature_importance,num__speed_diff_abs_max,0.016446780101510954
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_diff_std,0.016406614541977043
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_mean,0.016229979581382937
experiment_a_with_time_features,random_forest,feature_importance,num__gear_std,0.016102626070173535
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_std,0.01593829280549418
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_full_frac,0.015921452076511664
experiment_a_with_time_features,random_forest,feature_importance,num__speed_diff_mean,0.01554318895386406
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_p10,0.014860187880883488
experiment_a_with_time_features,random_forest,feature_importance,num__speed_diff_std,0.014672687154157886
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_mean,0.014223170888816934
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_p25,0.014164474660117242
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_high_frac,0.014154726302509812
experiment_a_with_time_features,random_forest,feature_importance,num__speed_diff_abs_mean,0.013786217868457068
experiment_a_with_time_features,random_forest,feature_importance,num__rpm_cv,0.013740324173661826
experiment_a_with_time_features,random_forest,feature_importance,num__last_brake_frac_pos,0.013402703132749948
experiment_a_with_time_features,random_forest,feature_importance,num__Sector1TimeSeconds,0.012446554870273525
experiment_a_with_time_features,random_forest,feature_importance,num__sector2_share,0.01242362280284135
experiment_a_with_time_features,random_forest,feature_importance,num__speed_std,0.012383320623857155
experiment_a_with_time_features,random_forest,feature_importance,num__first_brake_frac_pos,0.012347057745725398
experiment_a_with_time_features,random_forest,feature_importance,num__speed_p90,0.012084596379536334
experiment_a_with_time_features,random_forest,feature_importance,num__brake_on_count,0.011982323566501574
experiment_a_with_time_features,random_forest,feature_importance,num__sector3_share,0.011911274757701684
experiment_a_with_time_features,random_forest,feature_importance,num__speed_cv,0.01189955062635955
experiment_a_with_time_features,random_forest,feature_importance,num__speed_range,0.011726173919184832
experiment_a_with_time_features,random_forest,feature_importance,num__speed_p25,0.011724110943154748
experiment_a_with_time_features,random_forest,feature_importance,num__speed_max,0.01172230621654138
experiment_a_with_time_features,random_forest,feature_importance,num__speed_mean,0.01169450980125113
experiment_a_with_time_features,random_forest,feature_importance,num__speed_median,0.011571520328659796
experiment_a_with_time_features,random_forest,feature_importance,num__sector1_share,0.011389086817750266
experiment_a_with_time_features,random_forest,feature_importance,num__sector_sum_seconds,0.011341377679737653
experiment_a_with_time_features,random_forest,feature_importance,num__Sector2TimeSeconds,0.011264911206667734
experiment_a_with_time_features,random_forest,feature_importance,num__speed_p10,0.011190628317385513
experiment_a_with_time_features,random_forest,feature_importance,num__n_samples,0.011135945821634264
experiment_a_with_time_features,random_forest,feature_importance,num__LapTimeSeconds,0.011120371412751334
experiment_a_with_time_features,random_forest,feature_importance,num__speed_p75,0.011106054649772795
experiment_a_with_time_features,random_forest,feature_importance,num__speed_min,0.01108320201804537
experiment_a_with_time_features,random_forest,feature_importance,num__last_full_throttle_frac_pos,0.011036282202139773
experiment_a_with_time_features,random_forest,feature_importance,num__Sector3TimeSeconds,0.01099930201285458
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_p90,0.007936103414175194
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_diff_mean,0.005760118968647009
experiment_a_with_time_features,random_forest,feature_importance,num__gear_median,0.0051151405940152855
experiment_a_with_time_features,random_forest,feature_importance,num__TyreLife,0.002193607547514895
experiment_a_with_time_features,random_forest,feature_importance,num__gear_min,0.002113895767169582
experiment_a_with_time_features,random_forest,feature_importance,num__throttle_max,0.0020392989124376234
experiment_a_with_time_features,random_forest,feature_importance,cat__Compound_SOFT,0.0003860425798707477
experiment_a_with_time_features,random_forest,feature_importance,cat__Compound_MEDIUM,0.00035485687785323706
experiment_a_with_time_features,random_forest,feature_importance,num__brake_p90,0.00023535196533935009
experiment_a_with_time_features,random_forest,feature_importance,num__gear_max,0.00022394653679881632
experiment_a_with_time_features,random_forest,feature_importance,cat__Compound_HARD,0.00011139900075557473
experiment_a_with_time_features,random_forest,feature_importance,num__first_full_throttle_frac_pos,5.442536773456355e-05
experiment_a_with_time_features,random_forest,feature_importance,num__brake_max,4.27225464974921e-05
experiment_a_with_time_features,random_forest,feature_importance,num__brake_diff_abs_max,2.673332938995942e-05
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_p75,0.0545719712972641
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_median,0.04608271270990372
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_p10,0.03754739463329315
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_max,0.031530994921922684
experiment_a_with_time_features,xgboost,feature_importance,num__brake_active_frac,0.03065827675163746
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_p90,0.029785118997097015
experiment_a_with_time_features,xgboost,feature_importance,cat__Compound_SOFT,0.029768776148557663
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_diff_abs_max,0.029566291719675064
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_zero_frac,0.0278859231621027
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_diff_mean,0.024855170398950577
experiment_a_with_time_features,xgboost,feature_importance,num__brake_on_count,0.02320878580212593
