subset_name,model,fold,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
balanced_top5,cnn,1,0.9232142857142858,0.9130434782608695,0.9211424324467803,0.9064467766116941,0.9224441817653373,0.9109824638638198
balanced_top5,cnn,2,0.9212880143112702,0.8848920863309353,0.9180928923293454,0.8770614692653673,0.9189785914365747,0.8770108135019236
balanced_top5,cnn,3,0.9422382671480144,0.875,0.9400871568694935,0.8747400109469075,0.9402473583011497,0.8737246394261305
balanced_top5,cnn,4,0.9713261648745519,0.9071428571428571,0.9715904547726136,0.9059310344827587,0.9706397081831246,0.9062094343254004
balanced_top5,cnn,5,0.9500891265597148,0.9416058394160584,0.949629165009332,0.9350931677018635,0.9490391530593673,0.9376154604968164
balanced_top5,gru,1,0.28214285714285714,0.30434782608695654,0.2955736051388225,0.3217177125722853,0.2562189478836675,0.2788708988769435
balanced_top5,gru,2,0.32021466905187834,0.302158273381295,0.3264954257565095,0.3076461769115443,0.2972870205302455,0.28481160529277505
balanced_top5,gru,3,0.34115523465703973,0.2638888888888889,0.3370389217485322,0.2625086663017698,0.34633410654216157,0.25425698952068027
balanced_top5,gru,4,0.3333333333333333,0.3,0.34260182408795603,0.3063349753694582,0.32076221638365854,0.2770759434132928
balanced_top5,gru,5,0.32620320855614976,0.31386861313868614,0.33279778478107885,0.3248661383593917,0.3072246283586606,0.2865093147943451
balanced_top5,lstm,1,0.3410714285714286,0.34057971014492755,0.34303566688659853,0.34550224887556225,0.33899522563015794,0.31846775793345206
balanced_top5,lstm,2,0.29874776386404295,0.31654676258992803,0.298432212465196,0.31244377811094454,0.2766367118588802,0.29126518642647675
balanced_top5,lstm,3,0.3104693140794224,0.2847222222222222,0.299009744847621,0.2780131362889984,0.2530443610089637,0.22353615291472068
balanced_top5,lstm,4,0.36379928315412186,0.34285714285714286,0.36751311844077966,0.3444039408866995,0.36665377209116634,0.33823648781669774
balanced_top5,lstm,5,0.3315508021390374,0.30656934306569344,0.32118440779610197,0.2940886699507389,0.24966515728213787,0.23019524934709615
balanced_top5,hybrid_cnn_tabular,1,0.9482142857142857,0.9130434782608695,0.9454902585337368,0.9095523666738059,0.9466120383459197,0.9106480536392253
balanced_top5,hybrid_cnn_tabular,2,0.9660107334525939,0.8920863309352518,0.9651613988923906,0.8893553223388306,0.9657069259243173,0.8906242455751663
balanced_top5,hybrid_cnn_tabular,3,0.9783393501805054,0.9305555555555556,0.9779493288070409,0.9321674876847291,0.9778495261023876,0.9307475585515512
balanced_top5,hybrid_cnn_tabular,4,0.9498207885304659,0.8571428571428571,0.9500624687656172,0.8563054187192117,0.9494742714330343,0.8548547583029384
balanced_top5,hybrid_cnn_tabular,5,0.9679144385026738,0.8613138686131386,0.9666438209466696,0.8515420860998073,0.9678961423719178,0.8516131660509503
balanced_top6,cnn,1,0.8547904191616766,0.8606060606060606,0.8475035779324719,0.8553997726411519,0.8480769400598042,0.8548750504384595
balanced_top6,cnn,2,0.8895612708018155,0.7965116279069767,0.8850440334124624,0.7906951286261631,0.8855948205686012,0.7922242784375539
balanced_top6,cnn,3,0.8323353293413174,0.7757575757575758,0.8240542819317865,0.7707002979991485,0.8253743506108447,0.7704709009543915
balanced_top6,cnn,4,0.9238805970149254,0.8834355828220859,0.9192982819742893,0.8786384783798579,0.9207534864036703,0.8793480944911604
balanced_top6,cnn,5,0.8827067669172932,0.7976190476190477,0.8801644326084936,0.7971014492753623,0.8815950044639546,0.7953256704980842
balanced_top6,gru,1,0.2245508982035928,0.21818181818181817,0.21681019346830935,0.20894909688013139,0.15836513790678552,0.15008443978569763
balanced_top6,gru,2,0.30257186081694404,0.29069767441860467,0.2945369103036611,0.2831937602627258,0.24480128569764423,0.24045469240985348
balanced_top6,gru,3,0.2874251497005988,0.28484848484848485,0.2825731695347145,0.27772456364410386,0.22304252614787345,0.21606135799684187
balanced_top6,gru,4,0.21791044776119403,0.22085889570552147,0.21227104348481804,0.21467980295566502,0.19070874177019337,0.20077608572516045
balanced_top6,gru,5,0.2857142857142857,0.2857142857142857,0.2929372144886355,0.30134932533733133,0.2655283474306754,0.25033236535554904
balanced_top6,lstm,1,0.2904191616766467,0.26666666666666666,0.2946555031999409,0.26657635467980295,0.24804946534983763,0.2225298748929657
balanced_top6,lstm,2,0.25718608169440244,0.23255813953488372,0.26700038138825327,0.24019157088122609,0.1841874708294853,0.16115687872153392
balanced_top6,lstm,3,0.3278443113772455,0.32727272727272727,0.32357813992524986,0.32058854831843336,0.28853494196824586,0.27726132907053963
balanced_top6,lstm,4,0.30149253731343284,0.25766871165644173,0.304676117892319,0.25771483305966064,0.29949071444553743,0.2688034388976365
balanced_top6,lstm,5,0.2962406015037594,0.27976190476190477,0.30296816358859463,0.29860069965017494,0.2608650268704762,0.23688243913022902
balanced_top6,hybrid_cnn_tabular,1,0.6437125748502994,0.896969696969697,0.6505945001750282,0.8934065934065933,0.6306558107257305,0.8934121969699227
balanced_top6,hybrid_cnn_tabular,2,0.8139183055975794,0.7325581395348837,0.8089729829195093,0.7243787629994526,0.8093731564331529,0.7190254892381365
balanced_top6,hybrid_cnn_tabular,3,0.9101796407185628,0.8,0.9077489352512923,0.7960036185610898,0.9083667986419474,0.7925526393072032
balanced_top6,hybrid_cnn_tabular,4,0.9194029850746268,0.8773006134969326,0.9174958326834708,0.8758675424192667,0.9180405347299837,0.8761560302073143
balanced_top6,hybrid_cnn_tabular,5,0.9082706766917293,0.8095238095238095,0.9061806697729303,0.8085957021489255,0.9066245059200669,0.8078526506645304
