subset_name,config_name,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,full_model,64,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8727272727272727,0.8727272727272727,0.8738264633916808,0.11351125938281903,0.11232013571501143
distinctive_top5,full_model,64,2,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8424265010351967,0.15446205170975824,0.14826555261694996
distinctive_top5,full_model,64,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13403260928795002
distinctive_top5,full_model,64,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,full_model,64,5,0.9908675799086758,0.990909090909091,0.9908027956233537,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.12049720953830545,0.12157636987518894
distinctive_top5,compact_no_context,61,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8909090909090909,0.8909090909090909,0.8914624505928852,0.09991659716430368,0.09922960305926143
distinctive_top5,compact_no_context,61,2,0.981651376146789,0.9813953488372092,0.9815858651152769,0.8,0.8,0.8085714285714285,0.18165137614678895,0.1730144365438484
distinctive_top5,compact_no_context,61,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8739130434782609,0.11809841534612187,0.11688975214509278
distinctive_top5,compact_no_context,61,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,compact_no_context,61,5,0.9863013698630136,0.9863636363636363,0.9862573410778992,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.1159309994926433,0.11703091532973442
distinctive_top5,compact_no_context_no_phase,57,1,0.9862385321100917,0.9860465116279069,0.9860428226686546,0.8545454545454545,0.8545454545454545,0.8568831168831169,0.13169307756463722,0.1291597057855377
distinctive_top5,compact_no_context_no_phase,57,2,0.9862385321100917,0.9860465116279069,0.9859784387806588,0.8727272727272727,0.8727272727272728,0.8732806324110672,0.11351125938281903,0.11269780636959159
distinctive_top5,compact_no_context_no_phase,57,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8756643356643355,0.11809841534612187,0.11513845995901817
distinctive_top5,compact_no_context_no_phase,57,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8287502352719744,0.16210045662100447,0.16670372314207693
distinctive_top5,compact_no_context_no_phase,57,5,0.9863013698630136,0.9862579281183933,0.9862532299741602,0.8703703703703703,0.8690909090909091,0.8692640692640692,0.1159309994926433,0.11698916071009102
