subset_name,model,n_samples,n_drivers,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_train_macro_f1,mean_test_macro_f1,mean_accuracy_gap,mean_macro_f1_gap
balanced_top5,cnn,698,5,0.9040114613180515,0.9003730882492638,0.9011575144365971,0.9416311717215674,0.904336852230144,0.9402697985491107,0.9011085623228181,0.03729431949142337,0.03916123622629264
balanced_top5,hybrid_cnn_tabular,698,5,0.8911174785100286,0.8887800417972833,0.8886834058901609,0.962059919276105,0.8908284181015345,0.9615077808355152,0.8876975564239663,0.07123150117457056,0.07381022441154894
balanced_top5,lstm,698,5,0.31805157593123207,0.3141575630917324,0.2998327332208794,0.32912771836161064,0.31825503617598283,0.2969990455742612,0.2803401668876887,0.010872682185627813,0.01665887868657251
balanced_top5,gru,698,5,0.29656160458452724,0.3031636110319496,0.28797017013039766,0.32060986054825164,0.2968527202991653,0.30556538393967875,0.27630495037960734,0.023757140249086317,0.02926043356007141
balanced_top6,hybrid_cnn_tabular,833,6,0.8223289315726291,0.8183013081001587,0.8184159921297525,0.8390968365865596,0.8232704519050646,0.8346121612901763,0.8177998012774215,0.015826384681494998,0.01681236001275488
balanced_top6,cnn,833,6,0.8223289315726291,0.8167736006881775,0.8178223351907241,0.8766548766474056,0.8227859789423494,0.872278920421375,0.81844879896393,0.05386889770505621,0.053830121457445035
balanced_top6,lstm,833,6,0.2725090036014406,0.2760460755236095,0.25007346335656416,0.29463653871309736,0.27278562997852485,0.25622552389271647,0.23332679214258095,0.021850908734572516,0.022898731750135515
balanced_top6,gru,833,6,0.2605042016806723,0.25702565097157576,0.2427145011363674,0.26363452843932306,0.26006023177374293,0.21648920779063435,0.2115417882546205,0.0035742966655801234,0.004947419536013853
