model_family,oof_accuracy,oof_macro_f1,accuracy_vs_handcrafted,macro_f1_vs_handcrafted
handcrafted_compact_logreg,0.8177203507152746,0.8177186595151428,0.0,0.0
cnn,0.847946469773881,0.846558437390881,0.030226119058606393,0.028839777875738215
hybrid_cnn_tabular,0.8567143516382095,0.856407149159734,0.038994000922934924,0.03868848964459126
gru,0.5710659898477157,0.563887156158874,-0.24665436086755888,-0.2538315033562688
lstm,0.36479003230272267,0.32161568527727347,-0.45293031841255194,-0.4961029742378693
