setup,model,fold,epoch,loss,val_loss,accuracy,val_accuracy
race_2025_top5,cnn,1,1,1.4707061052322388,1.65609872341156,0.30178940296173096,0.2678571343421936
race_2025_top5,cnn,1,2,1.0859241485595703,1.109622597694397,0.5278733372688293,0.5517857074737549
race_2025_top5,cnn,1,3,0.7477502822875977,0.6210896968841553,0.6961458921432495,0.7303571701049805
race_2025_top5,cnn,1,4,0.5235418677330017,0.3815401494503021,0.7924982905387878,0.862500011920929
race_2025_top5,cnn,1,5,0.4303429126739502,0.2755312919616699,0.837233304977417,0.9125000238418579
race_2025_top5,cnn,1,6,0.35451915860176086,0.22412621974945068,0.8644184470176697,0.9339285492897034
race_2025_top5,cnn,1,7,0.31315961480140686,0.22942984104156494,0.8768066167831421,0.9321428537368774
race_2025_top5,cnn,1,8,0.26850804686546326,0.2529180645942688,0.9064005613327026,0.925000011920929
race_2025_top5,cnn,1,9,0.23628124594688416,0.3095509707927704,0.9105299115180969,0.9071428775787354
race_2025_top5,cnn,1,10,0.2336042821407318,0.21268245577812195,0.9112181663513184,0.9339285492897034
race_2025_top5,cnn,1,11,0.17148326337337494,0.40438365936279297,0.9373709559440613,0.8696428537368774
race_2025_top5,cnn,1,12,0.17110425233840942,0.45369043946266174,0.9387474060058594,0.8732143044471741
race_2025_top5,cnn,1,13,0.16408713161945343,0.2573884427547455,0.9401238560676575,0.9214285612106323
race_2025_top5,cnn,1,14,0.22131800651550293,0.33786192536354065,0.9242945909500122,0.8946428298950195
race_2025_top5,cnn,1,15,0.134457066655159,0.560950517654419,0.9552649855613708,0.8446428775787354
race_2025_top5,cnn,1,16,0.13594448566436768,0.5780173540115356,0.9518238306045532,0.8428571224212646
race_2025_top5,cnn,1,17,0.12247911095619202,0.30456939339637756,0.960770845413208,0.925000011920929
race_2025_top5,cnn,1,18,0.13299261033535004,0.3763717710971832,0.9576737880706787,0.8946428298950195
race_2025_top5,cnn,2,1,1.5202099084854126,1.437361240386963,0.2702500820159912,0.3529411852359772
race_2025_top5,cnn,2,2,1.1502039432525635,1.297158122062683,0.5046659111976624,0.5264706015586853
race_2025_top5,cnn,2,3,0.7879801392555237,1.2443517446517944,0.6886898279190063,0.5823529362678528
race_2025_top5,cnn,2,4,0.5527838468551636,0.9840281009674072,0.7965658903121948,0.7029411792755127
race_2025_top5,cnn,2,5,0.414177268743515,0.9514331817626953,0.8536767363548279,0.7573529481887817
race_2025_top5,cnn,2,6,0.33139172196388245,0.8915231227874756,0.8880178928375244,0.7602941393852234
race_2025_top5,cnn,2,7,0.26372942328453064,0.9475523829460144,0.9089212417602539,0.770588219165802
race_2025_top5,cnn,2,8,0.25719645619392395,1.1031527519226074,0.9051885008811951,0.7132353186607361
race_2025_top5,cnn,2,9,0.22642001509666443,0.8560366630554199,0.921612560749054,0.7588235139846802
race_2025_top5,cnn,2,10,0.18014667928218842,1.1184771060943604,0.9343038201332092,0.7088235020637512
race_2025_top5,cnn,2,11,0.19494125247001648,0.7142895460128784,0.9313176274299622,0.770588219165802
race_2025_top5,cnn,2,12,0.18078064918518066,0.8955651521682739,0.933184027671814,0.7867646813392639
race_2025_top5,cnn,2,13,0.17986251413822174,1.0448673963546753,0.9343038201332092,0.7279411554336548
race_2025_top5,cnn,2,14,0.1511346846818924,0.9727421402931213,0.9421426057815552,0.7411764860153198
race_2025_top5,cnn,2,15,0.15369610488414764,0.7757100462913513,0.9462485909461975,0.7470588088035583
race_2025_top5,cnn,2,16,0.13490939140319824,0.9075049757957458,0.9529675245285034,0.7411764860153198
race_2025_top5,cnn,2,17,0.1660790592432022,0.893168568611145,0.9376633167266846,0.7926470637321472
race_2025_top5,cnn,2,18,0.10501596331596375,0.7396416664123535,0.9596864581108093,0.800000011920929
race_2025_top5,cnn,2,19,0.14099198579788208,0.8795945048332214,0.9507278800010681,0.7941176295280457
race_2025_top5,cnn,3,1,1.5469104051589966,1.425794005393982,0.25482040643692017,0.27230048179626465
race_2025_top5,cnn,3,2,1.243238091468811,1.1148111820220947,0.40869563817977905,0.44757434725761414
race_2025_top5,cnn,3,3,0.9971981644630432,0.7553101778030396,0.5697542428970337,0.68544602394104
race_2025_top5,cnn,3,4,0.7173286080360413,0.6068778038024902,0.7134215235710144,0.7762128114700317
race_2025_top5,cnn,3,5,0.6104182600975037,0.7462411522865295,0.7527410387992859,0.701095461845398
race_2025_top5,cnn,3,6,0.5145863890647888,0.5505596399307251,0.8094518184661865,0.7871674299240112
race_2025_top5,cnn,3,7,0.396703839302063,0.4131315052509308,0.8593572974205017,0.8403756022453308
race_2025_top5,cnn,3,8,0.39909422397613525,0.794001579284668,0.8514177799224854,0.68544602394104
race_2025_top5,cnn,3,9,0.3470214903354645,0.43770936131477356,0.8733459115028381,0.8278560042381287
race_2025_top5,cnn,3,10,0.30745336413383484,0.6466513276100159,0.8914933800697327,0.7339593172073364
race_2025_top5,cnn,3,11,0.27579188346862793,0.4394420087337494,0.8952741026878357,0.8247261643409729
race_2025_top5,cnn,3,12,0.23178616166114807,0.30817103385925293,0.916824221611023,0.8873239159584045
race_2025_top5,cnn,3,13,0.16156764328479767,0.36514395475387573,0.9493383765220642,0.8904538154602051
race_2025_top5,cnn,3,14,0.1855759620666504,0.23820197582244873,0.9308128356933594,0.9186228513717651
race_2025_top5,cnn,3,15,0.13564880192279816,0.40963682532310486,0.9557656049728394,0.876369297504425
race_2025_top5,cnn,3,16,0.15745924413204193,0.3174351155757904,0.9421550035476685,0.876369297504425
race_2025_top5,cnn,3,17,0.10314799845218658,0.24048274755477905,0.9637051224708557,0.9264475703239441
race_2025_top5,cnn,3,18,0.12779642641544342,0.23845039308071136,0.9561436772346497,0.9217527508735657
race_2025_top5,cnn,3,19,0.1049274206161499,0.30891403555870056,0.9674858450889587,0.8967136144638062
race_2025_top5,cnn,3,20,0.10745649039745331,0.29826343059539795,0.9625709056854248,0.9014084339141846
race_2025_top5,cnn,3,21,0.09010437875986099,0.3199824392795563,0.9705104231834412,0.8998435139656067
race_2025_top5,cnn,3,22,0.09848146885633469,0.38872191309928894,0.9659735560417175,0.8779342770576477
race_2025_top5,cnn,4,1,1.5636698007583618,1.4181617498397827,0.2557491362094879,0.3629032373428345
race_2025_top5,cnn,4,2,1.1960595846176147,1.3275179862976074,0.45331010222435,0.49865591526031494
race_2025_top5,cnn,4,3,0.9363335967063904,1.173048973083496,0.5979093909263611,0.5631720423698425
race_2025_top5,cnn,4,4,0.7164216637611389,1.0068460702896118,0.7229965329170227,0.6451612710952759
race_2025_top5,cnn,4,5,0.5346701741218567,0.8521503806114197,0.799651563167572,0.6827957034111023
race_2025_top5,cnn,4,6,0.4922250509262085,0.7119162678718567,0.8170731663703918,0.7553763389587402
race_2025_top5,cnn,4,7,0.37470299005508423,0.6392697691917419,0.8641114830970764,0.7836021780967712
race_2025_top5,cnn,4,8,0.3181793987751007,0.5738189816474915,0.8811846971511841,0.7970430254936218
race_2025_top5,cnn,4,9,0.2671225368976593,0.664046049118042,0.9031358957290649,0.7849462628364563
race_2025_top5,cnn,4,10,0.2063300758600235,0.508355975151062,0.9306620359420776,0.8293010592460632
race_2025_top5,cnn,4,11,0.18890097737312317,0.4727930724620819,0.9313588738441467,0.8400537371635437
race_2025_top5,cnn,4,12,0.19250823557376862,0.505646288394928,0.9355400800704956,0.8427419066429138
race_2025_top5,cnn,4,13,0.17056503891944885,0.3492179811000824,0.9400696754455566,0.8776881694793701
race_2025_top5,cnn,4,14,0.10491993278265,0.3540448546409607,0.9665505290031433,0.8830645084381104
