driver,n_samples,precision,recall,f1,mean_pred_confidence,mean_true_class_probability,mean_confidence_when_correct,mean_confidence_when_incorrect
VER,55,0.9444444444444444,0.9272727272727272,0.9357798165137615,0.9109191066475377,0.8724851561129118,0.9259061860188211,0.7198338446636702
LEC,55,0.9423076923076923,0.8909090909090909,0.9158878504672897,0.9184401909027377,0.8585677681643166,0.9451859411798389,0.7000165636397447
OCO,54,0.8867924528301887,0.8703703703703703,0.8785046728971962,0.8679280368480375,0.7928171319052482,0.9018635777697823,0.6400751192306073
SAI,54,0.7758620689655172,0.8333333333333334,0.8035714285714286,0.8599496061463752,0.7492979066368788,0.8730413710542305,0.7944907816070987
ALB,55,0.7678571428571429,0.7818181818181819,0.7747747747747747,0.8309307046041433,0.7391972326565168,0.8879667177344832,0.6265516575537584
