teammate_driver,n_shared_sessions,mean_style_distance,median_style_distance,q75_style_distance
GAS,12,0.19210063643733774,0.1603123139432335,0.22965604142605986
RIC,16,0.30464400414122417,0.18033533133503543,0.21235279875524404
ALB,23,0.2751148363131874,0.1961078144128759,0.23197728212647817
PER,70,0.28830012147884415,0.19733099666160595,0.2494000048917997
TSU,19,0.2148714034064787,0.2146333866474627,0.23966142059451262
LAW,2,0.28370249844866274,0.28370249844866274,0.296450612707696
