Driver,n_laps,lap_time_mean,speed_mean_mean,speed_std_mean,throttle_full_frac_mean,brake_active_frac_mean,gear_change_count_mean,drs_active_frac_mean
ALB,55,83.45116363636365,220.32537561513323,69.35962235037039,0.5838165155683953,0.18492582814138128,36.89090909090909,1.0
ALO,55,83.15583636363637,220.7654541060419,69.15753916167364,0.6254009389066016,0.17140086824895762,45.03636363636364,1.0
GAS,55,83.43263636363636,220.55246609988157,68.95444646223744,0.6120658370067497,0.16198329774634998,38.2,1.0
HAM,55,82.94556363636364,221.38469446869593,69.25129023397484,0.6106542232970068,0.18001383114077193,38.85454545454545,1.0
HUL,55,83.48392727272727,220.60311808625482,69.77622837780223,0.614231790302479,0.1733623584805505,38.50909090909091,1.0
LEC,55,82.58374545454545,222.60841428055056,69.17471375404104,0.617286308687444,0.1743624009135758,37.45454545454545,1.0
NOR,55,82.71361818181818,222.6122749504022,68.3601271155232,0.6149249212556885,0.15697439627570184,38.61818181818182,1.0
PIA,55,82.7388,222.60664321145885,68.69877411412565,0.604142156503396,0.15690515800505295,37.836363636363636,1.0
RUS,55,82.74287272727273,218.3598398719042,67.46183375422608,0.6129281735844668,0.16701430859570165,38.345454545454544,0.9818181818181818
VER,55,82.44756363636364,222.86160468408406,69.15791258859194,0.632259072938834,0.17007386455324208,35.63636363636363,1.0
OCO,54,83.59822222222222,220.16152198787125,69.21895559259347,0.6032430937360432,0.19986763177934339,38.03703703703704,1.0
SAI,54,82.78755555555556,221.44580163202957,69.33930658743881,0.6111936256690853,0.18762530259492274,35.48148148148148,1.0
STR,54,83.95612962962963,219.38882157308996,69.4753233847388,0.627460636620451,0.17468238947180112,40.55555555555556,1.0
TSU,54,83.58338888888888,220.25244232772928,69.48887598161424,0.6134075504988385,0.15949865751816036,36.592592592592595,1.0
