model,n_samples,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
hybrid_cnn_tabular,273,0.9789409744040887,0.9156228956228956,0.06331807878119303,0.9788387637544279,0.9146880039868599,0.06415075976756804,0.9157509157509157,0.9154208754208755,0.9147439815086875
cnn,273,0.9643165347073855,0.8974410774410775,0.0668754572663081,0.9641373229684908,0.8941395725047899,0.06999775046370085,0.8974358974358975,0.8967676767676768,0.895241272348728
gru,273,0.5879225838884001,0.4944781144781144,0.0934444694102857,0.5410225941580519,0.4445324094254296,0.09649018473262222,0.4945054945054945,0.49252525252525253,0.45946590633695655
lstm,273,0.43238657785597584,0.36942760942760944,0.06295896842836644,0.3720566731110836,0.3170433391170233,0.05501333399406022,0.36996336996337,0.36848484848484847,0.33652347652347653
