setup,model,n_samples,n_drivers,n_groups,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
long_qualifying_top5,cnn,698,5,146,0.8481375358166189,0.8444254456793642,0.844694450936603
long_qualifying_top5,hybrid_cnn_tabular,698,5,146,0.9068767908309456,0.9050659415471328,0.905607314120855
long_qualifying_top5,gru,698,5,146,0.3022922636103152,0.2998346315822805,0.30443269819377305
long_qualifying_top5,lstm,698,5,146,0.32664756446991405,0.32597503245622367,0.32853580119996534
