model_family,oof_accuracy,oof_macro_f1,accuracy_vs_handcrafted,macro_f1_vs_handcrafted
handcrafted_compact_logreg,0.8608058608058609,0.8617037086448901,0.0,0.0
hybrid_cnn_tabular,0.9157509157509157,0.9147439815086875,0.05494505494505486,0.05304027286379742
cnn,0.8974358974358975,0.895241272348728,0.03663003663003661,0.03353756370383787
gru,0.4945054945054945,0.45946590633695655,-0.36630036630036633,-0.40223780230793355
lstm,0.36996336996337,0.33652347652347653,-0.4908424908424909,-0.5251802321214136
