setup,model,fold,epoch,loss,val_loss,accuracy,val_accuracy
long_qualifying_top5,cnn,1,1,1.6216899156570437,1.607841730117798,0.1689189225435257,0.2068965584039688
long_qualifying_top5,cnn,1,2,1.6076202392578125,1.604040265083313,0.2117117047309875,0.2758620679378509
long_qualifying_top5,cnn,1,3,1.604921579360962,1.5961204767227173,0.2274774760007858,0.2413793057203292
long_qualifying_top5,cnn,1,4,1.590225338935852,1.5569097995758057,0.2545045018196106,0.4051724076271057
long_qualifying_top5,cnn,1,5,1.5504213571548462,1.4732321500778198,0.3265765905380249,0.3965517282485962
long_qualifying_top5,cnn,1,6,1.475028157234192,1.4208678007125854,0.3648648560047149,0.3793103396892547
long_qualifying_top5,cnn,1,7,1.4228590726852417,1.3500858545303345,0.3671171069145202,0.3965517282485962
long_qualifying_top5,cnn,1,8,1.3340705633163452,1.2705854177474976,0.4549549520015716,0.4310344755649566
long_qualifying_top5,cnn,1,9,1.284209370613098,1.2442570924758911,0.4436936974525451,0.4913793206214905
long_qualifying_top5,cnn,1,10,1.2034856081008911,1.2046633958816528,0.477477490901947,0.4482758641242981
long_qualifying_top5,cnn,1,11,1.1523375511169434,1.194087028503418,0.5045045018196106,0.4913793206214905
long_qualifying_top5,cnn,1,12,1.1253600120544434,1.096138834953308,0.5270270109176636,0.5775862336158752
long_qualifying_top5,cnn,1,13,1.0522537231445312,1.1053258180618286,0.5292792916297913,0.5862069129943848
long_qualifying_top5,cnn,1,14,1.0546320676803589,1.1226593255996704,0.5495495200157166,0.568965494632721
long_qualifying_top5,cnn,1,15,1.007173776626587,1.075714349746704,0.5743243098258972,0.568965494632721
long_qualifying_top5,cnn,1,16,0.9461305141448976,1.114794135093689,0.5990990996360779,0.568965494632721
long_qualifying_top5,cnn,1,17,0.9339088797569276,1.108015537261963,0.6036036014556885,0.5775862336158752
long_qualifying_top5,cnn,1,18,0.9684093594551086,0.99690181016922,0.6148648858070374,0.6206896305084229
long_qualifying_top5,cnn,1,19,0.9127605557441713,0.8913419842720032,0.6238738894462585,0.6896551847457886
long_qualifying_top5,cnn,1,20,0.8131347298622131,0.8208194375038147,0.6711711883544922,0.7586206793785095
long_qualifying_top5,cnn,1,21,0.7677305340766907,0.8893190026283264,0.6869369149208069,0.6982758641242981
long_qualifying_top5,cnn,1,22,0.7245541214942932,0.8903384208679199,0.7184684872627258,0.732758641242981
long_qualifying_top5,cnn,1,23,0.6798856854438782,0.884902834892273,0.7387387156486511,0.7413793206214905
long_qualifying_top5,cnn,1,24,0.7447001934051514,1.066125512123108,0.6959459185600281,0.6206896305084229
long_qualifying_top5,cnn,1,25,0.772775411605835,1.032273530960083,0.6891891956329346,0.6206896305084229
long_qualifying_top5,cnn,1,26,0.8601903319358826,0.7371804714202881,0.6396396160125732,0.7758620977401733
long_qualifying_top5,cnn,1,27,0.6689315438270569,0.7259895205497742,0.7635135054588318,0.732758641242981
long_qualifying_top5,cnn,1,28,0.5991784334182739,0.7674639225006104,0.7702702879905701,0.7586206793785095
long_qualifying_top5,cnn,1,29,0.5754038691520691,0.8146759271621704,0.7815315127372742,0.7931034564971924
long_qualifying_top5,cnn,1,30,0.5258488655090332,0.8436508178710938,0.7995495200157166,0.7758620977401733
