subset_name,n_drivers,n_samples,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
distinctive_top5,5,273,0.990842444807507,0.8571717171717171,0.1336707276357899,0.9908106781863568,0.8575802747976662,0.13323040338869072,0.8571428571428571,0.856969696969697,0.8580513925457577
distinctive_top6,6,327,0.9808926325641251,0.831888111888112,0.14900452067601316,0.9809581251715951,0.831468576789302,0.1494895483822932,0.8318042813455657,0.831705948372615,0.8330209682932853
confusion_pair_GAS_TSU,2,109,0.9128787878787878,0.8069264069264068,0.10595238095238095,0.9128591313377907,0.8042992347088458,0.10855989662894508,0.8073394495412844,0.8075757575757576,0.8072745642839101
confusion_pair_HUL_RUS,2,110,0.9159090909090908,0.7727272727272728,0.14318181818181816,0.9158570585424807,0.7707629845364399,0.14509407400604066,0.7727272727272727,0.7727272727272727,0.7718031698614223
distinctive_top8,8,437,0.9639557920589439,0.7667450365726227,0.1972107554863211,0.9640815679119571,0.7647625244193765,0.1993190434925806,0.7665903890160183,0.7667087542087543,0.7669948012858803
confusion_pair_NOR_PIA,2,110,0.8454545454545455,0.709090909090909,0.13636363636363638,0.8453987347182119,0.7064197450147106,0.13897898970350117,0.7090909090909091,0.7090909090909091,0.7089947089947091
confusion_union_top3_pairs,6,329,0.8571580827284249,0.5866200466200466,0.2705380361083783,0.8571874574434503,0.5791347626541345,0.27805269478931577,0.5866261398176292,0.5869248035914703,0.5847399653403301
