subset_name,penalty,C,class_weight,feature,importance
distinctive_top6,l2,1.0,balanced,num__gear_change_count,0.48474605641798196
distinctive_top6,l2,1.0,balanced,num__throttle_p10,0.483765595508395
distinctive_top6,l2,1.0,balanced,num__brake_std,0.47980408158175064
distinctive_top6,l2,1.0,balanced,num__rpm_diff_abs_mean,0.4627869579601744
distinctive_top6,l2,1.0,balanced,num__rpm_max,0.4588249114214702
distinctive_top6,l2,1.0,balanced,num__gear_median,0.41364476649880827
distinctive_top6,l2,1.0,balanced,num__throttle_low_frac,0.40495860296372554
distinctive_top6,l2,1.0,balanced,num__rpm_mean,0.39016401954239077
distinctive_top6,l2,1.0,balanced,num__throttle_p25,0.38776469963314986
distinctive_top6,l2,1.0,balanced,num__throttle_median,0.37774327803603663
distinctive_top6,l2,1.0,balanced,num__speed_diff_std,0.3678125017414476
distinctive_top6,l2,1.0,balanced,num__speed_std,0.3651687647553576
distinctive_top6,l2,1.0,balanced,num__gear_std,0.34912576789444466
distinctive_top6,l2,1.0,balanced,num__last_full_throttle_frac_pos,0.33754027084772337
distinctive_top6,l2,1.0,balanced,num__throttle_high_frac,0.3362797717825441
distinctive_top6,l2,1.0,balanced,num__speed_p90,0.33178951481212604
distinctive_top6,l2,1.0,balanced,num__throttle_mean,0.32653520644643186
distinctive_top6,l2,1.0,balanced,num__rpm_diff_mean,0.319036175645344
distinctive_top6,l2,1.0,balanced,num__brake_diff_abs_mean,0.30994809251453176
distinctive_top6,l2,1.0,balanced,num__rpm_min,0.30116610251766346
distinctive_top6,l2,1.0,balanced,num__brake_diff_std,0.2720247081578951
distinctive_top6,l2,1.0,balanced,num__brake_on_count,0.2703929180334193
distinctive_top6,l2,1.0,balanced,num__speed_median,0.2654806669009167
distinctive_top6,l2,1.0,balanced,num__rpm_std,0.2563869931802073
distinctive_top6,l2,1.0,balanced,num__speed_diff_abs_mean,0.2341072674996345
distinctive_top6,l2,1.0,balanced,num__gear_min,0.23297446666990032
distinctive_top6,l2,1.0,balanced,num__speed_diff_mean,0.22816500226104916
distinctive_top6,l2,1.0,balanced,num__last_brake_frac_pos,0.22370617035828644
distinctive_top6,l2,1.0,balanced,num__gear_max,0.2218713029702044
distinctive_top6,l2,1.0,balanced,num__rpm_cv,0.2094590886412567
distinctive_top6,l2,1.0,balanced,num__throttle_p75,0.2091340006200566
distinctive_top6,l2,1.0,balanced,num__speed_cv,0.2037964089960599
distinctive_top6,l2,1.0,balanced,num__first_brake_frac_pos,0.2035539086788076
