subset_name,event_name,n_drivers,n_samples,n_sessions,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap
distinctive_top5,Austrian Grand Prix,5,15,3,1.0,0.5333333333333333,0.4666666666666666,1.0,0.45555555555555555,0.5444444444444444
distinctive_top5,Bahrain Grand Prix,5,15,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5822222222222222,0.4177777777777778
distinctive_top5,Italian Grand Prix,5,15,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5888888888888889,0.41111111111111115
distinctive_top5,Japanese Grand Prix,5,15,3,1.0,0.6,0.39999999999999997,1.0,0.5222222222222223,0.47777777777777786
distinctive_top5,Mexico City Grand Prix,5,15,3,1.0,0.7333333333333334,0.26666666666666666,1.0,0.6444444444444444,0.3555555555555556
distinctive_top5,Miami Grand Prix,5,15,3,1.0,0.7999999999999999,0.19999999999999998,1.0,0.7333333333333334,0.2666666666666667
distinctive_top5,Monaco Grand Prix,5,15,3,1.0,0.6,0.4000000000000001,1.0,0.5,0.5
distinctive_top5,Qatar Grand Prix,5,15,3,1.0,0.39999999999999997,0.6,1.0,0.25999999999999995,0.7400000000000001
distinctive_top5,Singapore Grand Prix,5,15,3,1.0,0.39999999999999997,0.6,1.0,0.3444444444444445,0.6555555555555556
distinctive_top5,United States Grand Prix,5,15,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5888888888888889,0.41111111111111115
distinctive_top6,Austrian Grand Prix,6,18,3,1.0,0.3888888888888889,0.6111111111111112,1.0,0.3148148148148148,0.6851851851851852
distinctive_top6,Bahrain Grand Prix,6,18,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5925925925925926,0.40740740740740744
distinctive_top6,Italian Grand Prix,6,18,3,1.0,0.7777777777777778,0.2222222222222222,1.0,0.7222222222222222,0.27777777777777785
