n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_min,brake_max,brake_active_frac,brake_on_count,first_brake_frac_pos,last_brake_frac_pos,rpm_mean,rpm_std,rpm_min,rpm_max,gear_mean,gear_std,gear_min,gear_max,gear_change_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,drs_active_frac,lap_key,Driver,season,round,event_name,session_name,LapNumber,LapTimeSeconds,Compound,TyreLife,Team,Stint,SessionPart,stint_median_lap_seconds,lap_time_delta_to_stint_median,session_key,TrackStatus,lap_time_not_null,dry_session,accurate,not_deleted,not_fastf1_generated,track_status_green,not_pit_in_out,within_2s_of_stint_median,within_3s_of_stint_median
371,194.9757412398922,76.37165141367431,58.0,320.0,92.0,197.0,297.0,262.0,64.0,41.28313574932623,0.0,100.0,0.16172506738544473,0.30997304582210244,0.5283018867924528,0.22911051212938005,0.4208280334055792,0.0,1.0,0.22911051212938005,10,0.04594594594594595,0.9486486486486486,9780.22911051213,1813.7827736719762,5085.0,12474.0,5.15633423180593,1.8254452359927977,2,8,43,-0.013513513513513514,9.918493366282927,6.629729729729729,0.0,14.051974757305317,5.183783783783784,-0.5378378378378378,493.0745749932737,355.8081081081081,0.0,2025_r02_R_HAM_lap10,HAM,2025,2,Chinese Grand Prix,R,10.0,98.566,MEDIUM,10.0,Ferrari,1.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
356,197.73033707865167,76.48481599029417,58.0,319.0,93.0,202.5,298.0,261.0,65.82865168539325,40.7708314594544,0.0,100.0,0.14325842696629212,0.2612359550561798,0.5955056179775281,0.23314606741573032,0.4234295804382649,0.0,1.0,0.23314606741573032,9,0.056338028169014086,0.952112676056338,9848.688202247191,1753.130831904999,5242.0,12173.0,5.22191011235955,1.8670373466723378,2,8,43,-0.005633802816901409,10.461928386857535,6.912676056338028,0.0,14.505405187757319,5.171830985915493,-0.6957746478873239,533.7152458780439,389.3718309859155,0.0,2025_r02_R_HAM_lap11,HAM,2025,2,Chinese Grand Prix,R,11.0,98.505,MEDIUM,11.0,Ferrari,1.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
363,196.99724517906336,76.26746692874372,58.0,317.0,92.2,201.0,299.0,259.0,63.57300275482093,41.32497590775142,0.0,100.0,0.15426997245179064,0.22865013774104684,0.6170798898071626,0.2369146005509642,0.42577632817838024,0.0,1.0,0.2369146005509642,10,0.058011049723756904,0.9530386740331491,9862.793388429753,1717.9061965915537,5107.0,12422.0,5.192837465564739,1.9113656693914864,2,8,43,-0.0055248618784530384,10.704283574479446,6.8397790055248615,0.0027624309392265192,13.912368920077393,5.140883977900552,0.08839779005524862,492.21533576527537,357.6022099447514,0.0,2025_r02_R_HAM_lap12,HAM,2025,2,Chinese Grand Prix,R,12.0,98.73,MEDIUM,12.0,Ferrari,1.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
366,197.4863387978142,79.58435572318182,59.0,351.0,91.0,198.5,298.5,292.0,62.243169398907106,41.81653857531181,0.0,100.0,0.17486338797814208,0.25956284153005466,0.5655737704918032,0.273224043715847,0.44622494366835064,0.0,1.0,0.273224043715847,10,0.0547945205479452,0.9616438356164384,9790.357923497268,1843.94902769715,5289.0,12462.0,5.218579234972678,1.8480005197785738,2,8,44,-0.005479452054794521,10.5570128039929,6.865753424657535,0.0,14.001569770706285,5.156164383561644,0.336986301369863,498.48916669780147,362.52876712328765,0.1830601092896175,2025_r02_R_HAM_lap15,HAM,2025,2,Chinese Grand Prix,R,15.0,97.695,HARD,2.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
366,197.39890710382514,81.05641126414051,58.0,343.0,89.0,201.5,309.5,285.0,62.68852459016394,41.60388851041528,0.0,100.0,0.14207650273224043,0.2923497267759563,0.5655737704918032,0.2540983606557377,0.4359491375982383,0.0,1.0,0.2540983606557377,12,0.057534246575342465,0.9561643835616438,9813.237704918032,1881.7325536896947,5136.0,12339.0,5.183060109289618,1.9477665275109448,2,8,43,-0.019178082191780823,10.551921047095343,7.021917808219178,-0.0027397260273972603,13.733831378803659,5.301369863013699,-0.547945205479452,530.4433880653004,368.9808219178082,0.21311475409836064,2025_r02_R_HAM_lap16,HAM,2025,2,Chinese Grand Prix,R,16.0,97.942,HARD,3.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
363,197.0137741046832,77.73536584185872,54.0,341.0,95.0,197.0,300.0,287.0,62.81818181818182,41.381462206701215,0.0,100.0,0.12947658402203857,0.25895316804407714,0.6115702479338843,0.256198347107438,0.43713517928626616,0.0,1.0,0.256198347107438,9,0.052486187845303865,0.9806629834254144,9918.055096418733,1643.9528572790641,6157.0,12253.0,5.12396694214876,1.9105851462612455,1,8,46,-0.212707182320442,10.019734204922253,6.6602209944751385,0.0027624309392265192,14.119101346004669,5.483425414364641,3.9889502762430937,495.89408315266303,351.3867403314917,0.14325068870523416,2025_r02_R_HAM_lap17,HAM,2025,2,Chinese Grand Prix,R,17.0,97.531,HARD,4.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
358,195.81005586592178,76.7811667902119,54.0,338.0,89.7,198.5,297.0,284.0,64.69553072625699,40.634388606113056,0.0,100.0,0.11731843575418995,0.2737430167597765,0.6089385474860335,0.22625698324022347,0.41899300502087133,0.0,1.0,0.22625698324022347,9,0.058823529411764705,0.9663865546218487,9819.039106145252,1811.908218819157,4730.0,12246.0,5.162011173184357,1.8369101995218229,2,8,42,-0.0700280112044818,10.809542353776573,6.837535014005602,0.0028011204481792717,14.537340258610085,5.100840336134453,0.9663865546218487,528.2322373916339,379.6442577030812,0.13687150837988826,2025_r02_R_HAM_lap18,HAM,2025,2,Chinese Grand Prix,R,18.0,97.834,HARD,5.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
355,198.2112676056338,76.03602987258158,60.0,321.0,93.4,204.0,301.0,261.0,64.7718309859155,40.98492620484453,0.0,100.0,0.14647887323943662,0.2591549295774648,0.5943661971830986,0.23661971830985915,0.4256067243252635,0.0,1.0,0.23661971830985915,10,0.05649717514124294,0.9463276836158192,9863.394366197183,1796.680991202657,5271.0,12186.0,5.247887323943662,1.8165792614848775,2,8,38,-0.002824858757062147,11.151416934465884,6.9576271186440675,-0.002824858757062147,14.437419626858066,5.358757062146893,-0.3107344632768362,522.2254617649415,377.2316384180791,0.0,2025_r02_R_HAM_lap19,HAM,2025,2,Chinese Grand Prix,R,19.0,97.075,HARD,6.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
369,196.97018970189703,73.38286792285703,62.0,316.0,97.0,203.0,297.0,254.0,63.61788617886179,41.93632342842576,0.0,100.0,0.15176151761517614,0.33062330623306235,0.5176151761517616,0.2086720867208672,0.4069112488778072,0.0,1.0,0.2086720867208672,10,0.057065217391304345,0.9565217391304348,9842.0027100271,1676.6793925252146,5542.0,12029.0,5.230352303523035,1.8008301634854031,2,8,40,-0.016304347826086956,10.368667717148906,6.565217391304348,-0.002717391304347826,14.783173777240432,5.519021739130435,3.385869565217391,479.7770349730437,343.82608695652175,0.13821138211382114,2025_r02_R_HAM_lap2,HAM,2025,2,Chinese Grand Prix,R,2.0,98.172,MEDIUM,2.0,Ferrari,1.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
363,196.32231404958677,76.02996808935971,59.0,323.0,90.4,200.0,296.8,264.0,64.25068870523415,41.04451791874078,0.0,100.0,0.14049586776859505,0.21212121212121213,0.6473829201101928,0.25068870523415976,0.4340078156477675,0.0,1.0,0.25068870523415976,10,0.058011049723756904,0.9502762430939227,9820.027548209366,1795.4358984762841,5302.0,12304.0,5.206611570247934,1.8142347916111297,2,8,41,-0.013812154696132596,10.524859233334851,6.787292817679558,0.0027624309392265192,13.790779090236482,5.058011049723757,-0.6740331491712708,490.7980429219774,356.48618784530385,0.0,2025_r02_R_HAM_lap20,HAM,2025,2,Chinese Grand Prix,R,20.0,97.469,HARD,7.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
358,194.58379888268158,77.10012018347817,58.0,320.0,89.0,198.5,298.3,262.0,62.497206703910614,41.10461808641437,0.0,100.0,0.14804469273743018,0.26256983240223464,0.5893854748603352,0.2430167597765363,0.42950542171356615,0.0,1.0,0.2430167597765363,10,0.047619047619047616,0.9551820728291317,9680.463687150837,1783.5190492276206,5016.0,12136.0,5.226256983240224,1.871706769420198,2,8,40,-0.0196078431372549,10.742761182457194,6.7703081232493,0.0,13.702292107117117,5.495798319327731,-0.8263305322128851,495.11444379135514,362.89915966386553,0.0,2025_r02_R_HAM_lap21,HAM,2025,2,Chinese Grand Prix,R,21.0,99.319,HARD,8.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
365,196.4027397260274,75.42931698355189,59.0,322.0,92.0,199.0,299.0,263.0,62.62739726027397,41.89676369085773,0.0,100.0,0.22465753424657534,0.2219178082191781,0.5534246575342465,0.2356164383561644,0.42496601771501047,0.0,1.0,0.2356164383561644,9,0.057692307692307696,0.9532967032967034,9714.117808219178,1796.7449291645987,5068.0,12166.0,5.273972602739726,1.841674718422908,2,8,42,-0.01098901098901099,10.194790983953053,6.675824175824176,-0.0027472527472527475,14.449207824544551,4.887362637362638,-1.1483516483516483,490.9026598597023,347.72527472527474,0.0,2025_r02_R_HAM_lap22,HAM,2025,2,Chinese Grand Prix,R,22.0,97.457,HARD,9.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
365,195.86849315068494,76.49566689716384,63.0,320.0,91.4,201.0,300.0,257.0,62.05205479452055,41.741617930663836,0.0,100.0,0.19726027397260273,0.22465753424657534,0.5780821917808219,0.2273972602739726,0.41972658354877673,0.0,1.0,0.2273972602739726,10,0.057692307692307696,0.945054945054945,9792.547945205479,1763.9012272773512,5437.0,12142.0,5.205479452054795,1.8453900396975929,2,8,37,-0.01098901098901099,9.655777477167964,6.686813186813187,0.0,13.450040195747283,4.824175824175824,-1.1181318681318682,487.89606760382617,356.5796703296703,0.0,2025_r02_R_HAM_lap23,HAM,2025,2,Chinese Grand Prix,R,23.0,97.3,HARD,10.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
368,197.8125,75.95549504493033,62.0,318.0,92.7,206.0,301.0,256.0,64.0461956521739,41.882676885434165,0.0,100.0,0.20380434782608695,0.2798913043478261,0.5163043478260869,0.23369565217391305,0.4237569541214999,0.0,1.0,0.23369565217391305,9,0.05722070844686648,0.9564032697547684,9837.366847826086,1702.3873551626932,5398.0,12208.0,5.258152173913044,1.8737215757784016,2,8,41,-0.02997275204359673,10.221678225074415,6.623978201634878,0.0027247956403269754,14.965260069529222,4.994550408719346,2.446866485013624,475.28748479984966,345.15531335149865,0.0,2025_r02_R_HAM_lap24,HAM,2025,2,Chinese Grand Prix,R,24.0,97.197,HARD,11.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
376,196.91489361702128,76.94859369034619,61.0,318.0,92.0,198.5,298.0,257.0,63.4468085106383,41.88482417838113,0.0,100.0,0.17819148936170212,0.31382978723404253,0.5079787234042553,0.25,0.433589667773576,0.0,1.0,0.25,9,0.058666666666666666,0.968,9737.80585106383,1726.9145825833446,5402.0,12073.0,5.26595744680851,1.898353149667117,2,8,42,-0.016,10.106373273764586,6.442666666666667,0.0,13.674207736437651,4.9013333333333335,1.8693333333333333,482.0222513484299,347.656,0.0,2025_r02_R_HAM_lap25,HAM,2025,2,Chinese Grand Prix,R,25.0,97.504,HARD,12.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
377,195.86737400530504,76.6255639092829,61.0,318.0,92.0,197.0,301.0,257.0,62.47480106100796,41.64809549073679,0.0,100.0,0.15649867374005305,0.2546419098143236,0.5888594164456233,0.2493368700265252,0.43320408873113,0.0,1.0,0.2493368700265252,9,0.05053191489361702,0.9547872340425532,9805.214854111406,1755.9323291836693,5304.0,12187.0,5.1697612732095495,1.8516347568149565,2,8,40,-0.026595744680851064,9.848144873366175,6.51063829787234,-0.0026595744680851063,13.2329888123508,4.88563829787234,-1.6675531914893618,496.85244340521314,356.7898936170213,0.0,2025_r02_R_HAM_lap26,HAM,2025,2,Chinese Grand Prix,R,26.0,97.555,HARD,13.0,Ferrari,2.0,,,,2025_2_R,1,True,True,True,True,True,True,True,True,True
