experiment,model,n_features,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_balanced_accuracy,mean_test_balanced_accuracy,mean_balanced_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
experiment_a_with_time_features,logistic_regression,72,0.8606425060508162,0.6344113402936932,0.226231165757123,0.8608124433705827,0.6351948051948051,0.22561763817577765,0.8600294265239701,0.6310310240176786,0.2289984025062914,0.6344647519582245,0.6348484848484847,0.633262920873489
experiment_b_without_time_features,logistic_regression,64,0.8541166874580174,0.6396400984636278,0.2144765889943896,0.8542736333434007,0.6402597402597403,0.21401389308366045,0.8536546054432905,0.6371611103634259,0.21649349507986462,0.639686684073107,0.63994708994709,0.6391971328086237
