driver,feature,coef,abs_coef
ALB,num__gear_mean,5.386982786604242,5.386982786604242
ALB,num__throttle_full_frac,-2.725184677811505,2.725184677811505
ALB,num__throttle_p25,-2.4906985909234067,2.4906985909234067
ALB,num__throttle_diff_abs_mean,-1.73410950732217,1.73410950732217
ALB,num__speed_p10,1.5206287333275819,1.5206287333275819
ALB,num__gear_max,-1.2555533071567988,1.2555533071567988
ALB,num__rpm_median,-1.0619498910337979,1.0619498910337979
ALB,num__rpm_diff_abs_mean,-1.0333519836778702,1.0333519836778702
ALB,num__rpm_mean,1.0148923064278799,1.0148923064278799
ALB,num__speed_std,-0.9884955243970559,0.9884955243970559
ALB,num__speed_p75,-0.9289037085102348,0.9289037085102348
ALB,num__rpm_max,0.8830142178344579,0.8830142178344579
ALB,num__gear_median,0.7501515347082827,0.7501515347082827
ALB,num__speed_diff_std,0.7346167654934497,0.7346167654934497
ALB,num__speed_min,0.6379857060128907,0.6379857060128907
ALB,num__gear_change_count,0.608090880158331,0.608090880158331
ALB,num__throttle_diff_abs_max,0.6041923482793886,0.6041923482793886
ALB,num__rpm_std,-0.563872207046627,0.563872207046627
ALB,num__throttle_zero_frac,0.41140009623215484,0.41140009623215484
ALB,num__rpm_diff_mean,-0.34877554513782894,0.34877554513782894
ALB,num__throttle_high_frac,-0.26291937919911595,0.26291937919911595
ALB,num__throttle_median,-0.21206613074128325,0.21206613074128325
ALB,num__throttle_mean,-0.18488892368911572,0.18488892368911572
ALB,num__throttle_diff_std,0.16076006941192786,0.16076006941192786
ALB,num__throttle_low_frac,0.1349081900418039,0.1349081900418039
ALB,num__throttle_p75,0.12912360184094754,0.12912360184094754
ALB,num__speed_diff_abs_max,0.06780187517922559,0.06780187517922559
ALB,num__speed_range,-0.05238455405977182,0.05238455405977182
ALB,num__speed_mean,0.0,0.0
ALB,num__speed_max,0.0,0.0
ALB,num__speed_median,0.0,0.0
ALB,num__throttle_std,0.0,0.0
ALB,num__throttle_max,0.0,0.0
ALB,num__brake_mean,0.0,0.0
ALB,num__brake_std,0.0,0.0
ALB,num__brake_max,0.0,0.0
ALB,num__rpm_min,0.0,0.0
ALB,num__gear_std,0.0,0.0
ALB,num__gear_min,0.0,0.0
ALB,num__throttle_mid_frac,0.0,0.0
ALB,num__brake_active_frac,0.0,0.0
ALB,num__brake_on_count,0.0,0.0
ALB,num__speed_diff_mean,0.0,0.0
ALB,num__speed_diff_abs_mean,0.0,0.0
ALB,num__throttle_diff_mean,0.0,0.0
ALB,num__brake_diff_std,0.0,0.0
ALB,num__brake_diff_abs_mean,0.0,0.0
ALB,num__brake_diff_abs_max,0.0,0.0
ALB,num__rpm_diff_std,0.0,0.0
ALB,num__rpm_diff_abs_max,0.0,0.0
ALB,num__speed_cv,0.0,0.0
ALB,num__rpm_cv,0.0,0.0
ALB,num__speed_p25,0.0,0.0
ALB,num__speed_p90,0.0,0.0
ALB,num__throttle_p10,0.0,0.0
ALB,num__throttle_p90,0.0,0.0
ALB,num__brake_p90,0.0,0.0
LEC,num__throttle_zero_frac,-4.7007351271141395,4.7007351271141395
LEC,num__throttle_p10,1.9200301777487152,1.9200301777487152
LEC,num__throttle_max,-1.8105336087884754,1.8105336087884754
LEC,num__speed_diff_abs_mean,1.089895604461898,1.089895604461898
LEC,num__throttle_p75,-0.4100139538850506,0.4100139538850506
LEC,num__throttle_diff_mean,0.3513529531457482,0.3513529531457482
LEC,num__rpm_diff_mean,0.29647619815268744,0.29647619815268744
LEC,num__speed_p25,-0.24841751963108233,0.24841751963108233
LEC,num__speed_diff_abs_max,-0.22938420013941413,0.22938420013941413
