subset_name,model_family,oof_accuracy,oof_macro_f1,accuracy_vs_handcrafted,macro_f1_vs_handcrafted
balanced_top5,handcrafted_compact_logreg,0.828080229226361,0.8266693376437738,0.0,0.0
balanced_top5,cnn,0.9040114613180515,0.9011575144365971,0.0759312320916905,0.07448817679282327
balanced_top5,gru,0.29656160458452724,0.28797017013039766,-0.5315186246418337,-0.5386991675133761
balanced_top5,lstm,0.31805157593123207,0.2998327332208794,-0.510028653295129,-0.5268366044228945
balanced_top5,hybrid_cnn_tabular,0.8911174785100286,0.8886834058901609,0.0630372492836676,0.06201406824638711
balanced_top6,handcrafted_compact_logreg,0.7923169267707083,0.790548219513392,0.0,0.0
balanced_top6,cnn,0.8223289315726291,0.8178223351907241,0.03001200480192079,0.027274115677332067
balanced_top6,gru,0.2605042016806723,0.2427145011363674,-0.531812725090036,-0.5478337183770247
balanced_top6,lstm,0.2725090036014406,0.25007346335656416,-0.5198079231692677,-0.5404747561568279
balanced_top6,hybrid_cnn_tabular,0.8223289315726291,0.8184159921297525,0.03001200480192079,0.02786777261636042
