subset_name,n_drivers,n_samples,fold,train_groups,test_groups,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,5,273,1,44,11,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.15446205170975824,0.15235213270352999
distinctive_top5,5,273,2,44,11,0.9908256880733946,0.9908033826638478,0.9908027537033621,0.8727272727272727,0.8727272727272728,0.8722153209109731,0.11809841534612187,0.11858743279238904
distinctive_top5,5,273,3,44,11,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13407948686721072
distinctive_top5,5,273,4,44,11,1.0,1.0,1.0,0.8333333333333334,0.8345454545454546,0.8323771880293618,0.16666666666666663,0.16762281197063822
distinctive_top5,5,273,5,44,11,0.9817351598173516,0.9817124735729387,0.9817089103736608,0.8888888888888888,0.8872727272727273,0.8881987577639752,0.09284627092846276,0.09351015260968565
distinctive_top6,6,327,1,44,11,0.9846743295019157,0.9846723044397464,0.9847138515414154,0.803030303030303,0.8030303030303031,0.80331088664422,0.1816440264716127,0.18140296489719543
distinctive_top6,6,327,2,44,11,0.9846743295019157,0.984584214235377,0.9847108798887185,0.8333333333333334,0.8333333333333334,0.830607315389924,0.15134099616858232,0.15410356449879448
distinctive_top6,6,327,3,44,11,0.9656488549618321,0.965644820295983,0.965936622066827,0.8615384615384616,0.8621212121212122,0.8637832927306611,0.10411039342337047,0.10215332933616583
distinctive_top6,6,327,4,44,11,0.9961832061068703,0.9962121212121212,0.996168582375479,0.7692307692307693,0.7712121212121211,0.7689661503600123,0.226952436876101,0.22720243201546675
distinctive_top6,6,327,5,44,11,0.9732824427480916,0.9732205778717407,0.9732606899855355,0.8923076923076924,0.890909090909091,0.890675238821692,0.08097475044039926,0.08258545116384353
distinctive_top8,8,437,1,44,11,0.9570200573065902,0.9569899577167019,0.9573168473550937,0.7386363636363636,0.7386363636363635,0.7343002559035168,0.2183836936702266,0.22301659145157693
distinctive_top8,8,437,2,44,11,0.9656160458452722,0.9655787526427061,0.9656405735163293,0.7272727272727273,0.7272727272727273,0.725227821695213,0.23834331857254487,0.2404127518211162
distinctive_top8,8,437,3,44,11,0.9685714285714285,0.968617864693446,0.968773844504746,0.7816091954022989,0.7818181818181817,0.783100351453346,0.18696223316912963,0.18567349305140002
distinctive_top8,8,437,4,44,11,0.9742857142857143,0.9742996828752644,0.9743635229266938,0.7586206896551724,0.759090909090909,0.7535491469314999,0.21566502463054193,0.22081437599519393
distinctive_top8,8,437,5,44,11,0.9542857142857143,0.9544133192389006,0.9543130512569228,0.8275862068965517,0.8272727272727273,0.827635046113307,0.12669950738916258,0.12667800514361582
confusion_union_top3_pairs,6,329,1,44,11,0.8555133079847909,0.8555320648343905,0.8553119587793817,0.5303030303030303,0.5303030303030303,0.5143397997970711,0.3252102776817606,0.3409721589823106
confusion_union_top3_pairs,6,329,2,44,11,0.8973384030418251,0.8975510923185341,0.8974440815975105,0.5757575757575758,0.5757575757575757,0.5687590187590187,0.3215808272842493,0.32868506283849186
confusion_union_top3_pairs,6,329,3,44,11,0.8371212121212122,0.837121212121212,0.8371649208626296,0.5846153846153846,0.5803030303030302,0.5818518518518518,0.2525058275058275,0.25531306901077777
confusion_union_top3_pairs,6,329,4,44,11,0.8555133079847909,0.8555320648343904,0.8557201786993737,0.696969696969697,0.6969696969696969,0.7001465620573172,0.15854361101509384,0.1555736166420565
confusion_union_top3_pairs,6,329,5,44,11,0.8403041825095057,0.8403805496828753,0.8402961472783561,0.5454545454545454,0.5454545454545455,0.5305765808054138,0.29484963705496026,0.3097195664729423
confusion_pair_NOR_PIA,2,110,1,44,11,0.8522727272727273,0.8522727272727273,0.8521008403361344,0.7727272727272727,0.7727272727272727,0.7684210526315789,0.07954545454545459,0.08367978770455553
confusion_pair_NOR_PIA,2,110,2,44,11,0.8068181818181818,0.8068181818181819,0.8067932325971845,0.8181818181818182,0.8181818181818181,0.8166666666666667,-0.011363636363636465,-0.009873434069482157
confusion_pair_NOR_PIA,2,110,3,44,11,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.6818181818181818,0.6818181818181819,0.681159420289855,0.15909090909090917,0.15974967061923595
confusion_pair_NOR_PIA,2,110,4,44,11,0.8409090909090909,0.8409090909090909,0.8408268733850129,0.5909090909090909,0.5909090909090908,0.5900621118012422,0.25,0.2507647615837707
confusion_pair_NOR_PIA,2,110,5,44,11,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.6818181818181818,0.6818181818181819,0.6757894736842105,0.20454545454545459,0.21057416267942586
confusion_pair_GAS_TSU,2,109,1,44,11,0.9080459770114943,0.9080338266384778,0.9080338266384778,0.7272727272727273,0.7272727272727273,0.717948717948718,0.18077324973876696,0.1900851086897598
confusion_pair_GAS_TSU,2,109,2,44,11,0.896551724137931,0.8964059196617336,0.8964970257766027,0.8636363636363636,0.8636363636363636,0.8610526315789473,0.0329153605015674,0.03544439419765544
confusion_pair_GAS_TSU,2,109,3,44,11,0.8977272727272727,0.8977272727272727,0.8977140643161565,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.13582251082251084,0.13580930241139466
confusion_pair_GAS_TSU,2,109,4,44,11,0.9310344827586207,0.9312896405919662,0.9310253699788583,0.7727272727272727,0.7727272727272727,0.7722567287784678,0.15830721003134796,0.15876864120039047
confusion_pair_GAS_TSU,2,109,5,44,11,0.9310344827586207,0.9310253699788583,0.9310253699788583,0.9090909090909091,0.9090909090909092,0.9083333333333333,0.021943573667711602,0.022692036645524993
confusion_pair_HUL_RUS,2,110,1,44,11,0.9318181818181818,0.9318181818181819,0.9316770186335404,0.6818181818181818,0.6818181818181819,0.681159420289855,0.25,0.25051759834368537
confusion_pair_HUL_RUS,2,110,2,44,11,1.0,1.0,1.0,0.8636363636363636,0.8636363636363636,0.8610526315789473,0.13636363636363635,0.1389473684210527
confusion_pair_HUL_RUS,2,110,3,44,11,0.8977272727272727,0.8977272727272727,0.8976082740788623,0.7727272727272727,0.7727272727272727,0.7684210526315789,0.125,0.12918722144728345
confusion_pair_HUL_RUS,2,110,4,44,11,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.045454545454545414,0.045454545454545414
confusion_pair_HUL_RUS,2,110,5,44,11,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.7272727272727273,0.7272727272727273,0.725,0.15909090909090906,0.16136363636363638
