subset_name,penalty,C,class_weight,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,l2,0.05,none,1,0.9036697247706422,0.903276955602537,0.903082256436378,0.8727272727272727,0.8727272727272728,0.874095238095238,0.03094245204336954,0.028987018341139925
distinctive_top5,l2,0.05,none,2,0.8990825688073395,0.8987315010570824,0.898879613162921,0.7818181818181819,0.7818181818181819,0.7790416753345815,0.11726438698915764,0.11983793782833951
distinctive_top5,l2,0.05,none,3,0.9128440366972477,0.9124735729386891,0.9122672226032247,0.8363636363636363,0.8363636363636363,0.8387878787878789,0.07648040033361136,0.07347934381534582
distinctive_top5,l2,0.05,none,4,0.9223744292237442,0.9220930232558141,0.9220693601414729,0.8148148148148148,0.8145454545454547,0.8121212121212121,0.10755961440892947,0.10994814802026076
distinctive_top5,l2,0.05,none,5,0.8949771689497716,0.8948202959830865,0.8946881824304558,0.8518518518518519,0.850909090909091,0.8515435822758477,0.04312531709791978,0.04314460015460808
distinctive_top5,l2,0.05,balanced,1,0.908256880733945,0.9079281183932346,0.90787606739127,0.8727272727272727,0.8727272727272728,0.874095238095238,0.035529608006672264,0.03378082929603199
distinctive_top5,l2,0.05,balanced,2,0.8944954128440367,0.8941860465116278,0.8942020853591538,0.8,0.8,0.8003312629399586,0.09449541284403662,0.0938708224191952
distinctive_top5,l2,0.05,balanced,3,0.9128440366972477,0.9124735729386891,0.9122672226032247,0.8363636363636363,0.8363636363636363,0.8387878787878789,0.07648040033361136,0.07347934381534582
distinctive_top5,l2,0.05,balanced,4,0.9223744292237442,0.9220930232558141,0.9220693601414729,0.8148148148148148,0.8145454545454547,0.8121212121212121,0.10755961440892947,0.10994814802026076
distinctive_top5,l2,0.05,balanced,5,0.8904109589041096,0.8902748414376322,0.8900257230692012,0.8518518518518519,0.850909090909091,0.8515435822758477,0.038559107052257735,0.03848214079335355
distinctive_top5,l2,0.1,none,1,0.9174311926605505,0.9171247357293868,0.9169561398702643,0.8727272727272727,0.8727272727272728,0.874095238095238,0.044703919933277825,0.04286090177502622
distinctive_top5,l2,0.1,none,2,0.926605504587156,0.9261099365750528,0.925799808143938,0.8363636363636363,0.8363636363636363,0.8374741200828157,0.09024186822351965,0.08832568806112229
distinctive_top5,l2,0.1,none,3,0.9357798165137615,0.9355179704016914,0.9357610901909024,0.8545454545454545,0.8545454545454545,0.8561904761904762,0.08123436196830702,0.0795706140004262
distinctive_top5,l2,0.1,none,4,0.9269406392694064,0.9266384778012686,0.92653112642463,0.8148148148148148,0.8145454545454547,0.8121212121212121,0.11212582445459163,0.11440991430341785
distinctive_top5,l2,0.1,none,5,0.9223744292237442,0.9221987315010571,0.9220009875182289,0.8333333333333334,0.8327272727272728,0.8336853002070393,0.08904109589041087,0.08831568731118955
distinctive_top5,l2,0.1,balanced,1,0.9174311926605505,0.9171247357293868,0.9169561398702643,0.8727272727272727,0.8727272727272728,0.874095238095238,0.044703919933277825,0.04286090177502622
distinctive_top5,l2,0.1,balanced,2,0.926605504587156,0.9261099365750528,0.9257199322416714,0.8363636363636363,0.8363636363636363,0.8374741200828157,0.09024186822351965,0.08824581215885563
distinctive_top5,l2,0.1,balanced,3,0.9357798165137615,0.9355179704016914,0.9357610901909024,0.8545454545454545,0.8545454545454545,0.8561904761904762,0.08123436196830702,0.0795706140004262
distinctive_top5,l2,0.1,balanced,4,0.9315068493150684,0.9312896405919663,0.9313702090338343,0.8148148148148148,0.8145454545454547,0.8121212121212121,0.11669203450025367,0.11924899691262214
distinctive_top5,l2,0.1,balanced,5,0.9223744292237442,0.9221987315010571,0.9220009875182289,0.8333333333333334,0.8327272727272728,0.8336853002070393,0.08904109589041087,0.08831568731118955
distinctive_top5,l2,0.25,none,1,0.944954128440367,0.9447145877378436,0.9448336383438276,0.8545454545454545,0.8545454545454545,0.8551515151515151,0.09040867389491247,0.0896821231923125
distinctive_top5,l2,0.25,none,2,0.9357798165137615,0.9352008456659618,0.9349145602015906,0.8545454545454545,0.8545454545454545,0.854978354978355,0.08123436196830702,0.07993620522323563
distinctive_top5,l2,0.25,none,3,0.963302752293578,0.9630021141649049,0.9631251710210208,0.8545454545454545,0.8545454545454545,0.8561904761904762,0.10875729774812348,0.10693469483054463
distinctive_top5,l2,0.25,none,4,0.958904109589041,0.9588794926004228,0.9590257830915409,0.8148148148148148,0.8145454545454547,0.8121212121212121,0.14408929477422627,0.14690457097032872
distinctive_top5,l2,0.25,none,5,0.954337899543379,0.9543340380549683,0.9543869536120602,0.8518518518518519,0.850909090909091,0.8498268398268399,0.10248604769152714,0.10456011378522023
distinctive_top5,l2,0.25,balanced,1,0.944954128440367,0.9447145877378436,0.9448336383438276,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.10859049207673066,0.10649371739521096
distinctive_top5,l2,0.25,balanced,2,0.9357798165137615,0.9352008456659618,0.9349145602015906,0.8545454545454545,0.8545454545454545,0.854978354978355,0.08123436196830702,0.07993620522323563
distinctive_top5,l2,0.25,balanced,3,0.963302752293578,0.9630021141649049,0.9631251710210208,0.8545454545454545,0.8545454545454545,0.8561904761904762,0.10875729774812348,0.10693469483054463
