dataset,group_type,group_name,speed_mean,speed_max,speed_std,speed_min,throttle_mean,throttle_std,throttle_zero_frac,throttle_mid_frac,throttle_full_frac,throttle_diff_std,throttle_diff_abs_mean,brake_active_frac,brake_on_count,brake_std,gear_mean,gear_std,gear_change_count,rpm_mean,rpm_std,rpm_max,rpm_diff_std,speed_q90
short_qualifying_2023_2025,Team,AlphaTauri,216.21418521254964,324.06666666666666,69.5220217267285,72.8,71.36805418244968,40.81993718830821,0.20047319142659983,0.1179381513076843,0.6016013087011939,18.04732117180655,5.82980511083723,0.160118001359553,18.333333333333332,0.3636997751761968,5.312454909321221,1.825383363799609,38.266666666666666,10477.483019435393,1349.6198624940073,12462.266666666666,511.73594161184104,
short_qualifying_2023_2025,Team,Alpine,219.5918785277599,327.7011494252874,69.37097841723451,77.0,71.89124484051521,40.151766184936584,0.186875920220841,0.13167170961350583,0.6054632704683197,17.00982428565505,5.713181449913956,0.17705197153312704,19.96551724137931,0.3783269644491215,5.461875775846432,1.77661379664841,38.701149425287355,10384.35841336461,1249.4249372981253,12071.563218390804,483.70429632509723,
short_qualifying_2023_2025,Team,Aston Martin,220.0834526676987,327.55045871559633,69.31497354741234,74.42201834862385,71.59482129857818,39.83022466916733,0.16387780307373728,0.13250069964838626,0.6264213396088758,17.549680077715728,6.013856915902158,0.17302657601073326,20.119266055045873,0.37455941324893094,5.659546788285573,1.8499321368008028,42.81651376146789,10481.298474294783,1286.1741130409605,12178.908256880733,483.03786785181666,
short_qualifying_2023_2025,Team,Ferrari,222.13909340066468,328.697247706422,69.23790083603019,77.1559633027523,73.72776983316851,37.49807298774835,0.08911537502396202,0.1573822756259017,0.6145938954217502,16.050952764953102,5.716451079660126,0.18285973742841405,21.110091743119266,0.3836652864731938,5.666788406218991,1.734637134085853,37.12844036697248,10489.048096917999,1291.2484169772745,12208.155963302752,495.34537808030757,
short_qualifying_2023_2025,Team,Haas F1 Team,220.62086049795352,328.6727272727273,69.55845856576634,76.32727272727273,71.77713152746658,39.879107919186566,0.1531239294459255,0.14196420812359903,0.6102461959642413,16.894095851753928,5.824792848390204,0.18479105839795454,21.727272727272727,0.38572661810093156,5.620777532419653,1.7270272091631174,37.96363636363636,10446.469153432456,1340.1926505289248,12188.381818181819,495.38601468391664,
short_qualifying_2023_2025,Team,Kick Sauber,223.34720719454526,328.72727272727275,68.50092612662169,79.22727272727273,73.20539207842783,39.47847500285399,0.17186094072456812,0.1379824486248953,0.6264841479534916,17.797820270880894,6.065425184167131,0.1668106124224779,19.272727272727273,0.3707491970945023,5.652791377015402,1.7365754144775556,37.18181818181818,10554.14199717857,1264.0569791873643,12372.59090909091,488.50305052174457,
short_qualifying_2023_2025,Team,McLaren,222.60945908093055,326.0090909090909,68.52945061482443,77.83636363636364,70.77924682360846,40.39911757335794,0.18370819976883007,0.12263401294188209,0.6095335388795423,17.0994532973247,5.814211558682852,0.15693977714037738,17.727272727272727,0.36033214397326807,5.596645343461801,1.8233398517751198,38.22727272727273,10497.9506302716,1200.728346977105,12198.272727272728,488.83130924189476,
short_qualifying_2023_2025,Team,Mercedes,218.68441148177953,323.72727272727275,68.35376697478412,75.29545454545455,72.04248052260634,38.8101524637167,0.17060074741128675,0.1402139494812733,0.610791829556819,16.212835609262573,5.5476128232370545,0.16931585929268847,18.704545454545453,0.3695723429024881,5.62145524906992,1.810127450510995,39.04545454545455,10423.092445747327,1305.456586129991,12228.818181818182,486.9813506620052,
short_qualifying_2023_2025,Team,RB,219.91905451266814,328.72222222222223,69.77883979173357,77.11111111111111,72.58625963082439,40.22737187019874,0.19388791623372958,0.11887311337935283,0.6139071049252668,17.434231807591043,5.571216396512517,0.16243621163922997,17.666666666666668,0.36634184413302706,5.434076647348139,1.832949349268525,37.0,10509.914617952703,1293.571364270375,12364.944444444445,493.12536238702484,
short_qualifying_2023_2025,Team,Racing Bulls,230.8087719298246,332.5,70.32222645136096,80.5,74.47953216374269,39.217438025350724,0.1511695906432748,0.10555555555555549,0.6418128654970761,16.671775926488337,5.262566601957788,0.1491228070175438,18.0,0.35484599414280243,5.778362573099415,1.7570766082453835,36.5,10516.626315789475,1307.705031224297,12237.5,455.9305746717946,
