team,leader_driver,teammate_driver,season,round,session_key,event_name,leader_lap_key,teammate_lap_key,LapTimeSeconds_leader,LapTimeSeconds_teammate,LapTimeSeconds_leader_minus_teammate,LapTimeSeconds_abs_gap,speed_mean_leader,speed_mean_teammate,speed_mean_leader_minus_teammate,speed_mean_abs_gap,speed_min_leader,speed_min_teammate,speed_min_leader_minus_teammate,speed_min_abs_gap,speed_q10_leader,speed_q10_teammate,speed_q10_leader_minus_teammate,speed_q10_abs_gap,speed_q50_leader,speed_q50_teammate,speed_q50_leader_minus_teammate,speed_q50_abs_gap,speed_q90_leader,speed_q90_teammate,speed_q90_leader_minus_teammate,speed_q90_abs_gap,speed_std_leader,speed_std_teammate,speed_std_leader_minus_teammate,speed_std_abs_gap,throttle_mean_leader,throttle_mean_teammate,throttle_mean_leader_minus_teammate,throttle_mean_abs_gap,throttle_zero_frac_leader,throttle_zero_frac_teammate,throttle_zero_frac_leader_minus_teammate,throttle_zero_frac_abs_gap,throttle_full_frac_leader,throttle_full_frac_teammate,throttle_full_frac_leader_minus_teammate,throttle_full_frac_abs_gap,throttle_mid_frac_leader,throttle_mid_frac_teammate,throttle_mid_frac_leader_minus_teammate,throttle_mid_frac_abs_gap,throttle_diff_abs_mean_leader,throttle_diff_abs_mean_teammate,throttle_diff_abs_mean_leader_minus_teammate,throttle_diff_abs_mean_abs_gap,brake_active_frac_leader,brake_active_frac_teammate,brake_active_frac_leader_minus_teammate,brake_active_frac_abs_gap,brake_on_count_leader,brake_on_count_teammate,brake_on_count_leader_minus_teammate,brake_on_count_abs_gap,first_brake_frac_pos_leader,first_brake_frac_pos_teammate,first_brake_frac_pos_leader_minus_teammate,first_brake_frac_pos_abs_gap,last_brake_frac_pos_leader,last_brake_frac_pos_teammate,last_brake_frac_pos_leader_minus_teammate,last_brake_frac_pos_abs_gap,rpm_mean_leader,rpm_mean_teammate,rpm_mean_leader_minus_teammate,rpm_mean_abs_gap,rpm_std_leader,rpm_std_teammate,rpm_std_leader_minus_teammate,rpm_std_abs_gap,rpm_diff_abs_mean_leader,rpm_diff_abs_mean_teammate,rpm_diff_abs_mean_leader_minus_teammate,rpm_diff_abs_mean_abs_gap,gear_mean_leader,gear_mean_teammate,gear_mean_leader_minus_teammate,gear_mean_abs_gap,gear_change_count_leader,gear_change_count_teammate,gear_change_count_leader_minus_teammate,gear_change_count_abs_gap
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,2018_r10_Q_VER_lap13,2018_r10_Q_RIC_lap10,86.602,87.099,-0.4969999999999999,0.4969999999999999,251.2431506849315,248.53924914675767,2.703901538173824,2.703901538173824,90.0,87.0,3.0,3.0,134.3,131.2,3.1000000000000227,3.1000000000000227,283.0,278.0,5.0,5.0,311.0,308.0,3.0,3.0,67.01853198855981,67.12804159162874,-0.1095096030689291,0.1095096030689291,78.9041095890411,78.49829351535836,0.4058160736827432,0.4058160736827432,0.0821917808219178,0.14334470989761092,-0.06115292907569311,0.06115292907569311,0.7191780821917808,0.7133105802047781,0.005867501987002699,0.005867501987002699,0.19863013698630136,0.14334470989761092,0.05528542708869044,0.05528542708869044,4.0,3.780821917808219,0.2191780821917808,0.2191780821917808,0.10273972602739725,0.11604095563139932,-0.013301229604002068,0.013301229604002068,4,6,-2,2,0.13402061855670103,0.13356164383561644,0.0004589747210845818,0.0004589747210845818,1.0,0.8287671232876712,0.17123287671232879,0.17123287671232879,10299.681506849314,10278.911262798634,20.77024405068005,20.77024405068005,1074.34246074322,1137.8544844202095,-63.51202367698943,63.51202367698943,227.9037800687285,228.30479452054794,-0.4010144518194352,0.4010144518194352,6.5,6.406143344709897,0.09385665529010279,0.09385665529010279,21,20,1,1
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,2018_r14_Q_VER_lap8,2018_r14_Q_RIC_lap2,80.333,81.28,-0.9470000000000027,0.9470000000000027,252.75925925925927,250.5839416058394,2.175317653419853,2.175317653419853,69.0,68.0,1.0,1.0,128.0,126.80000000000001,1.1999999999999886,1.1999999999999886,268.0,267.5,0.5,0.5,333.0,327.0,6.0,6.0,75.01309307899695,73.38948655986351,1.623606519133432,1.623606519133432,78.93333333333334,78.62773722627738,0.30559610705596185,0.30559610705596185,0.14074074074074075,0.145985401459854,-0.005244660719113253,0.005244660719113253,0.7333333333333333,0.7299270072992701,0.0034063260340632118,0.0034063260340632118,0.1259259259259259,0.12408759124087591,0.0018383346850499999,0.0018383346850499999,4.401486988847584,3.9926739926739927,0.4088129961735909,0.4088129961735909,0.12222222222222222,0.10948905109489052,0.012733171127331702,0.012733171127331702,5,5,0,0,0.13011152416356878,0.13186813186813187,-0.0017566077045630957,0.0017566077045630957,0.862453531598513,0.8498168498168498,0.012636681781663217,0.012636681781663217,10697.481481481482,10586.28102189781,111.20045958367155,111.20045958367155,992.612435752837,946.6521564718469,45.96027928099011,45.96027928099011,260.40520446096656,261.5970695970696,-1.191865136103047,1.191865136103047,6.266666666666667,6.306569343065694,-0.039902676399027115,0.039902676399027115,29,29,0,0
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,2018_r15_Q_VER_lap9,2018_r15_Q_RIC_lap11,96.334,96.996,-0.6619999999999919,0.6619999999999919,190.51384615384615,189.4754601226994,1.0383860311467572,1.0383860311467572,66.0,68.0,-2.0,2.0,105.0,104.5,0.5,0.5,184.0,181.5,2.5,2.5,285.0,284.5,0.5,0.5,64.5055550218736,65.515689340704,-1.0101343188303957,1.0101343188303957,62.418461538461536,60.693251533742334,1.7252100047192016,1.7252100047192016,0.24307692307692308,0.2668711656441718,-0.023794242567248713,0.023794242567248713,0.5015384615384615,0.46932515337423314,0.03221330816422835,0.03221330816422835,0.2553846153846154,0.26380368098159507,-0.008419065596979691,0.008419065596979691,7.481481481481482,6.993846153846154,0.4876353276353278,0.4876353276353278,0.21846153846153846,0.2147239263803681,0.0037376120811703495,0.0037376120811703495,11,11,0,0,0.046296296296296294,0.04923076923076923,-0.002934472934472937,0.002934472934472937,1.0,0.96,0.040000000000000036,0.040000000000000036,10028.347692307692,9914.576687116565,113.77100519112719,113.77100519112719,1322.7673686075686,1188.9895691886672,133.7777994189014,133.7777994189014,422.58641975308643,410.66769230769233,11.918727445394097,11.918727445394097,4.7784615384615385,4.806748466257669,-0.02828692779613018,0.02828692779613018,42,44,-2,2
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,2018_r16_Q_VER_lap2,2018_r16_Q_RIC_lap2,93.314,93.247,0.06699999999999307,0.06699999999999307,237.72929936305732,238.05414012738854,-0.32484076433121345,0.32484076433121345,108.0,103.0,5.0,5.0,151.9,155.3,-3.4000000000000057,3.4000000000000057,247.0,247.5,-0.5,0.5,308.7,311.0,-2.3000000000000114,2.3000000000000114,54.895776662273256,55.75797997638898,-0.8622033141157246,0.8622033141157246,78.85031847133757,78.97770700636943,-0.1273885350318551,0.1273885350318551,0.14012738853503184,0.15286624203821655,-0.01273885350318471,0.01273885350318471,0.732484076433121,0.7165605095541401,0.015923566878980888,0.015923566878980888,0.12738853503184713,0.1305732484076433,-0.0031847133757961776,0.0031847133757961776,4.9904153354632586,4.996805111821086,-0.006389776357827337,0.006389776357827337,0.1305732484076433,0.12101910828025478,0.009554140127388533,0.009554140127388533,7,7,0,0,0.1853035143769968,0.18210862619808307,0.003194888178913724,0.003194888178913724,0.9329073482428115,0.9265175718849841,0.006389776357827448,0.006389776357827448,10483.633757961783,10484.968152866242,-1.3343949044592591,1.3343949044592591,789.0634293072882,757.9028187627949,31.160610544493238,31.160610544493238,252.77635782747603,269.2044728434505,-16.42811501597447,16.42811501597447,6.015923566878981,6.006369426751593,0.009554140127388422,0.009554140127388422,30,35,-5,5
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,2018_r18_Q_VER_lap2,2018_r18_Q_RIC_lap10,94.766,93.494,1.2720000000000056,1.2720000000000056,207.1473354231975,209.67619047619047,-2.5288550529929807,2.5288550529929807,79.0,84.0,-5.0,5.0,102.8,103.80000000000001,-1.0000000000000142,1.0000000000000142,215.0,223.0,-8.0,8.0,297.0,300.0,-3.0,3.0,69.92197077882376,70.5323472664778,-0.6103764876540367,0.6103764876540367,70.47021943573668,71.2063492063492,-0.7361297706125214,0.7361297706125214,0.18181818181818182,0.20634920634920634,-0.024531024531024515,0.024531024531024515,0.6018808777429467,0.6190476190476191,-0.01716674130467233,0.01716674130467233,0.21630094043887146,0.1746031746031746,0.04169776583569687,0.04169776583569687,5.012578616352202,5.025477707006369,-0.012899090654167722,0.012899090654167722,0.1536050156739812,0.14603174603174604,0.0075732696422351475,0.0075732696422351475,7,7,0,0,0.0880503144654088,0.08598726114649681,0.0020630533189119893,0.0020630533189119893,0.9371069182389937,0.9235668789808917,0.013540039258101988,0.013540039258101988,9843.347962382446,9895.514285714286,-52.16632333183952,52.16632333183952,1366.6806990875423,1302.0537998582106,64.62689922933168,64.62689922933168,329.37106918238993,321.2547770700637,8.11629211232622,8.11629211232622,5.420062695924765,5.466666666666667,-0.046603970741902145,0.046603970741902145,33,34,-1,1
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,2018_r19_Q_VER_lap11,2018_r19_Q_RIC_lap14,74.785,74.759,0.02599999999999625,0.02599999999999625,218.3968253968254,218.6613545816733,-0.2645291848479019,0.2645291848479019,79.0,80.0,-1.0,1.0,107.0,106.0,1.0,1.0,225.0,225.0,0.0,0.0,326.9,326.0,0.8999999999999773,0.8999999999999773,80.26848169255699,81.03501009167438,-0.7665283991173908,0.7665283991173908,66.2579365079365,66.27490039840637,-0.016963890469867238,0.016963890469867238,0.23015873015873015,0.22310756972111553,0.007051160437614612,0.007051160437614612,0.5476190476190477,0.5697211155378487,-0.022102067918800983,0.022102067918800983,0.2222222222222222,0.20717131474103587,0.015050907481186343,0.015050907481186343,6.717131474103586,6.44,0.2771314741035855,0.2771314741035855,0.19444444444444445,0.1752988047808765,0.019145639663567943,0.019145639663567943,8,8,0,0,0.1952191235059761,0.196,-0.0007808764940239188,0.0007808764940239188,1.0,1.0,0.0,0.0,10187.079365079366,10212.637450199203,-25.558085119837415,25.558085119837415,1416.7973766298035,1418.0465577800585,-1.2491811502550263,1.2491811502550263,339.8247011952191,334.368,5.456701195219125,5.456701195219125,5.503968253968254,5.49402390438247,0.009944349585784273,0.009944349585784273,23,24,-1,1
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,2018_r01_Q_VER_lap17,2018_r01_Q_RIC_lap16,81.879,82.152,-0.27299999999999613,0.27299999999999613,239.12363636363636,236.84057971014494,2.2830566534914283,2.2830566534914283,103.0,100.0,3.0,3.0,156.8,154.0,2.8000000000000114,2.8000000000000114,258.0,255.5,2.5,2.5,301.0,297.5,3.5,3.5,56.00670568440096,56.24508012447105,-0.23837444007008912,0.23837444007008912,81.42545454545454,79.76449275362319,1.6609617918313546,1.6609617918313546,0.10909090909090909,0.14492753623188406,-0.03583662714097498,0.03583662714097498,0.7490909090909091,0.7318840579710145,0.017206851119894617,0.017206851119894617,0.14181818181818182,0.12318840579710146,0.01862977602108036,0.01862977602108036,5.145985401459854,5.069090909090909,0.07689449236894497,0.07689449236894497,0.12,0.13043478260869565,-0.010434782608695653,0.010434782608695653,5,6,-1,1,0.051094890510948905,0.04727272727272727,0.0038221632382216333,0.0038221632382216333,0.9416058394160584,0.9381818181818182,0.0034240212342401266,0.0034240212342401266,10626.690909090908,10539.144927536232,87.54598155467647,87.54598155467647,696.0362456144253,774.8992056516971,-78.86296003727182,78.86296003727182,269.5,274.3018181818182,-4.8018181818181915,4.8018181818181915,6.036363636363636,5.992753623188406,0.043610013175229945,0.043610013175229945,29,31,-2,2
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,2018_r20_Q_VER_lap12,2018_r20_Q_RIC_lap12,67.778,67.78,-0.001999999999995339,0.001999999999995339,214.27510917030568,214.44736842105263,-0.17225925074694715,0.17225925074694715,93.0,94.0,-1.0,1.0,122.8,122.0,0.7999999999999972,0.7999999999999972,223.0,223.0,0.0,0.0,308.40000000000003,310.90000000000003,-2.5,2.5,67.13307248732853,67.78432915791008,-0.6512566705815459,0.6512566705815459,67.02620087336244,67.82456140350877,-0.7983605301463257,0.7983605301463257,0.20087336244541484,0.2543859649122807,-0.05351260246686587,0.05351260246686587,0.5458515283842795,0.5657894736842105,-0.01993794529993098,0.01993794529993098,0.25327510917030566,0.17982456140350878,0.07345054776679688,0.07345054776679688,6.254385964912281,6.352422907488987,-0.09803694257670603,0.09803694257670603,0.20087336244541484,0.19736842105263158,0.0035049413927832618,0.0035049413927832618,7,7,0,0,0.043859649122807015,0.04405286343612335,-0.00019321431331633526,0.00019321431331633526,0.956140350877193,0.960352422907489,-0.004212072030296055,0.004212072030296055,10339.532751091703,10352.780701754386,-13.247950662682342,13.247950662682342,1071.3688264551356,1040.7210120028205,30.64781445231506,30.64781445231506,330.5219298245614,350.6387665198238,-20.11683669526235,20.11683669526235,5.296943231441048,5.337719298245614,-0.04077606680456558,0.04077606680456558,24,27,-3,3
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,2018_r21_Q_VER_lap11,2018_r21_Q_RIC_lap15,95.589,95.401,0.1880000000000024,0.1880000000000024,212.98136645962734,213.0373831775701,-0.05601671794275376,0.05601671794275376,72.0,72.0,0.0,0.0,105.1,106.0,-0.9000000000000057,0.9000000000000057,233.0,231.0,2.0,2.0,307.0,309.0,-2.0,2.0,76.44043327078552,76.37574777460998,0.06468549617554231,0.06468549617554231,69.83229813664596,69.62305295950156,0.20924517714439617,0.20924517714439617,0.18944099378881987,0.2087227414330218,-0.01928174764420193,0.01928174764420193,0.6086956521739131,0.6105919003115264,-0.0018962481376133544,0.0018962481376133544,0.20186335403726707,0.1806853582554517,0.021177995781815367,0.021177995781815367,5.806853582554517,5.13125,0.6756035825545172,0.6756035825545172,0.17701863354037267,0.16822429906542055,0.00879433447495212,0.00879433447495212,7,8,-1,1,0.04984423676012461,0.05,-0.0001557632398753936,0.0001557632398753936,1.0,0.975,0.025000000000000022,0.025000000000000022,10165.925465838509,10184.093457943925,-18.167992105416488,18.167992105416488,1173.2395603961036,1097.4097588131417,75.82980158296186,75.82980158296186,349.41121495327104,336.68125,12.729964953271065,12.729964953271065,5.385093167701863,5.367601246105919,0.01749192159594415,0.01749192159594415,36,34,2,2
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,2018_r02_Q_VER_lap3,2018_r02_Q_RIC_lap11,129.86,88.398,41.46200000000002,41.46200000000002,138.03432494279176,214.0771812080537,-76.04285626526195,76.04285626526195,55.0,76.0,-21.0,21.0,81.0,101.7,-20.700000000000003,20.700000000000003,130.0,227.5,-97.5,97.5,205.40000000000003,301.0,-95.59999999999997,95.59999999999997,54.35831859750061,69.28867114420665,-14.930352546706033,14.930352546706033,26.91075514874142,70.7248322147651,-43.814077066023685,43.814077066023685,0.41647597254004576,0.20134228187919462,0.21513369066085114,0.21513369066085114,0.06864988558352403,0.5973154362416108,-0.5286655506580867,0.5286655506580867,0.5148741418764302,0.20134228187919462,0.3135318599972356,0.3135318599972356,4.174311926605505,4.707070707070707,-0.5327587804652021,0.5327587804652021,0.2700228832951945,0.18456375838926176,0.08545912490593277,0.08545912490593277,10,7,3,3,0.06880733944954129,0.09764309764309764,-0.028835758193556355,0.028835758193556355,1.0,0.9595959595959596,0.04040404040404044,0.04040404040404044,9143.274599542334,10281.352348993289,-1138.0777494509548,1138.0777494509548,1071.6995944537907,1054.095763580889,17.603830872901653,17.603830872901653,343.48853211009174,355.95286195286195,-12.464329842770212,12.464329842770212,3.4096109839816933,5.355704697986577,-1.946093714004884,1.946093714004884,41,39,2,2
