event_name,n_samples,n_sessions,n_drivers_present,n_seasons,subset_name,expected_samples_if_full,full_coverage
United States Grand Prix,6,3,2,3,confusion_pair_GAS_TSU,6,True
Abu Dhabi Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Australian Grand Prix,2,1,2,1,confusion_pair_HUL_RUS,2,True
Austrian Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Azerbaijan Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Bahrain Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Belgian Grand Prix,2,1,2,1,confusion_pair_HUL_RUS,2,True
British Grand Prix,2,1,2,1,confusion_pair_HUL_RUS,2,True
Canadian Grand Prix,2,1,2,1,confusion_pair_HUL_RUS,2,True
Chinese Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Dutch Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Emilia Romagna Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Hungarian Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Italian Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Japanese Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Las Vegas Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
Mexico City Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Miami Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Monaco Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Qatar Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Saudi Arabian Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Singapore Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
Spanish Grand Prix,4,2,2,2,confusion_pair_HUL_RUS,4,True
São Paulo Grand Prix,2,1,2,1,confusion_pair_HUL_RUS,2,True
United States Grand Prix,6,3,2,3,confusion_pair_HUL_RUS,6,True
