subset_name,n_events,mean_event_test_accuracy,median_event_test_accuracy,mean_event_test_macro_f1,median_event_test_macro_f1,mean_event_macro_f1_gap
confusion_pair_HUL_RUS,12,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.3333333333333333
confusion_pair_GAS_TSU,12,0.638888888888889,0.6666666666666666,0.5462962962962963,0.5555555555555555,0.4537037037037037
distinctive_top5,10,0.6066666666666667,0.6333333333333333,0.522,0.5522222222222222,0.47800000000000004
confusion_pair_NOR_PIA,12,0.625,0.5833333333333333,0.5092592592592592,0.49999999999999994,0.49074074074074076
distinctive_top6,10,0.5722222222222222,0.5833333333333333,0.47870370370370374,0.4722222222222222,0.5212962962962964
distinctive_top8,10,0.5,0.5208333333333333,0.40986111111111106,0.4236111111111111,0.5901388888888889
confusion_union_top3_pairs,12,0.5,0.5277777777777777,0.40524691358024684,0.44166666666666665,0.5947530864197531
