subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,full_model,full,64,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8727272727272727,0.8727272727272727,0.8738264633916808,0.11351125938281903,0.11232013571501143
distinctive_top5,full_model,full,64,2,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8424265010351967,0.15446205170975824,0.14826555261694996
distinctive_top5,full_model,full,64,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13403260928795002
distinctive_top5,full_model,full,64,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,full_model,full,64,5,0.9908675799086758,0.990909090909091,0.9908027956233537,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.12049720953830545,0.12157636987518894
distinctive_top5,only_context,family_only,3,1,0.22935779816513763,0.22875264270613105,0.17071408167175153,0.14545454545454545,0.14545454545454545,0.09059656218402426,0.08390325271059218,0.08011751948772727
distinctive_top5,only_context,family_only,3,2,0.21559633027522937,0.2156448202959831,0.16217231687030348,0.21818181818181817,0.21818181818181817,0.1476931476931477,-0.0025854879065888015,0.014479169177155776
distinctive_top5,only_context,family_only,3,3,0.21559633027522937,0.21511627906976744,0.19356833084616748,0.21818181818181817,0.21818181818181817,0.172408293460925,-0.0025854879065888015,0.02116003738524247
distinctive_top5,only_context,family_only,3,4,0.2146118721461187,0.21363636363636362,0.15414202166120322,0.2037037037037037,0.21090909090909093,0.14252297410192147,0.010908168442415017,0.011619047559281753
distinctive_top5,only_context,family_only,3,5,0.2328767123287671,0.2329809725158562,0.2097856106692631,0.14814814814814814,0.14545454545454545,0.09163763066202091,0.08472856418061897,0.11814798000724219
distinctive_top5,only_speed,family_only,11,1,0.26605504587155965,0.2654334038054968,0.25226704456585214,0.2909090909090909,0.2909090909090909,0.2644717051779175,-0.024854045037531247,-0.012204660612065377
distinctive_top5,only_speed,family_only,11,2,0.25229357798165136,0.2515856236786469,0.24542244200003288,0.2,0.2,0.16536796536796536,0.05229357798165135,0.08005447663206752
distinctive_top5,only_speed,family_only,11,3,0.2706422018348624,0.269661733615222,0.26032646032646034,0.23636363636363636,0.2363636363636364,0.225622435535479,0.034278565471226013,0.034704024790981336
