team,leader_driver,teammate_driver,season,round,session_key,event_name,LapTimeSeconds_std_signed_gap,LapTimeSeconds_std_abs_gap,speed_min_std_signed_gap,speed_min_std_abs_gap,speed_mean_std_signed_gap,speed_mean_std_abs_gap,throttle_full_frac_std_signed_gap,throttle_full_frac_std_abs_gap,throttle_mid_frac_std_signed_gap,throttle_mid_frac_std_abs_gap,throttle_diff_abs_mean_std_signed_gap,throttle_diff_abs_mean_std_abs_gap,brake_active_frac_std_signed_gap,brake_active_frac_std_abs_gap,brake_on_count_std_signed_gap,brake_on_count_std_abs_gap,rpm_diff_abs_mean_std_signed_gap,rpm_diff_abs_mean_std_abs_gap,gear_change_count_std_signed_gap,gear_change_count_std_abs_gap,mean_style_distance_proxy,mean_signed_proxy
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,-0.04648596722672397,0.04648596722672397,0.19195385641464635,0.19195385641464635,0.1171108845088907,0.1171108845088907,0.06200866571049132,0.06200866571049132,0.657470130430757,0.657470130430757,0.18995955905833248,0.18995955905833248,-0.2723293978197425,0.2723293978197425,-0.8349763496671128,0.8349763496671128,-0.0060009864465372514,0.0060009864465372514,0.13296893920428485,0.13296893920428485,0.2511264736487519,0.019167933416728615
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,-0.08857587719055882,0.08857587719055882,0.06398461880488213,0.06398461880488213,0.09421695682449308,0.09421695682449308,0.03599857875038709,0.03599857875038709,0.021862002498710145,0.021862002498710145,0.35431433523768313,0.35431433523768313,0.26069896759008204,0.26069896759008204,0.0,0.0,-0.017835682717677114,0.017835682717677114,0.0,0.0,0.09374870196144736,0.07246638997980018
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,-0.06191893421346257,0.06191893421346257,-0.12796923760976425,0.12796923760976425,0.044974384182422715,0.044974384182422715,0.3404352076589689,0.3404352076589689,-0.10012193895638136,0.10012193895638136,0.42262890017360516,0.42262890017360516,0.07652387618680473,0.07652387618680473,0.0,0.0,0.17835796574230872,0.17835796574230872,-0.2659378784085697,0.2659378784085697,0.1618868323132288,0.050697234475593225
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,0.0062667199279480565,0.0062667199279480565,0.3199230940244106,0.3199230940244106,-0.014069443246467401,0.014069443246467401,0.16828271003650253,0.16828271003650253,-0.037873523437022015,0.037873523437022015,-0.005537958391077464,0.005537958391077464,0.19561148142231202,0.19561148142231202,0.0,0.0,-0.2458387599392745,0.2458387599392745,-0.6648446960214243,0.6648446960214243,0.16582483864464387,-0.02780803756240925
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,0.11897414549777295,0.11897414549777295,-0.3199230940244106,0.3199230940244106,-0.1095293034415763,0.1095293034415763,-0.1814207690526378,0.1814207690526378,0.49588177185801263,0.49588177185801263,-0.011179519176443659,0.011179519176443659,0.1550551356978225,0.1550551356978225,0.0,0.0,0.12145636832095418,0.12145636832095418,-0.13296893920428485,0.13296893920428485,0.16463890462739156,0.013634579647520902
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,0.0024318614645767586,0.0024318614645767586,-0.06398461880488213,0.06398461880488213,-0.011457239244324176,0.011457239244324176,-0.23357806169020295,0.23357806169020295,0.1789897017324686,0.1789897017324686,0.24018721258743148,0.24018721258743148,0.39198785944454895,0.39198785944454895,0.0,0.0,0.08165688235609511,0.08165688235609511,-0.13296893920428485,0.13296893920428485,0.1337242376528815,0.04532646586414267
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,-0.025534545378059288,0.025534545378059288,0.19195385641464635,0.19195385641464635,0.0988833285160478,0.0988833285160478,0.18184465576445108,0.18184465576445108,0.2215506312509094,0.2215506312509094,0.06664372513141213,0.06664372513141213,-0.21364175710123826,0.21364175710123826,-0.4174881748335564,0.4174881748335564,-0.07185687622251065,0.07185687622251065,-0.2659378784085697,0.2659378784085697,0.17553354290214013,-0.02335830348664674
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,-0.00018706626650549552,0.00018706626650549552,-0.06398461880488213,0.06398461880488213,-0.007460860883802233,0.007460860883802233,-0.21070728016728546,0.21070728016728546,0.8734949472846767,0.8734949472846767,-0.08496768562379776,0.08496768562379776,0.07176017611206156,0.07176017611206156,0.0,0.0,-0.3010386877773412,0.3010386877773412,-0.39890681761285457,0.39890681761285457,0.20125081405332074,-0.012199789373973063
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,0.017584229051557782,0.017584229051557782,0.0,0.0,-0.0024261857515683,0.0024261857515683,-0.020039842701352655,0.020039842701352655,0.2518547903518057,0.2518547903518057,0.5855391987963041,0.5855391987963041,0.1800552191857901,0.1800552191857901,-0.4174881748335564,0.4174881748335564,0.1904977409239881,0.1904977409239881,0.2659378784085697,0.2659378784085697,0.19314232600044928,0.10515148534315381
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,3.8780707709344675,3.8780707709344675,-1.3436769949025245,1.3436769949025245,-3.2935541594542967,3.2935541594542967,-5.587019054450478,5.587019054450478,3.728610661827541,3.728610661827541,-0.4617369675361629,0.4617369675361629,1.749690270501943,1.749690270501943,1.2524645245006691,1.2524645245006691,-0.18652264054890785,0.18652264054890785,0.2659378784085697,0.2659378784085697,2.1747283923065557,0.00022642892808209526
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,-0.014217036254449561,0.014217036254449561,-0.06398461880488213,0.06398461880488213,-0.027395096320681715,0.027395096320681715,0.12279314765419504,0.12279314765419504,0.8931319351525633,0.8931319351525633,0.06782573399887298,0.06782573399887298,-0.18808979554794608,0.18808979554794608,0.0,0.0,0.045418083543147435,0.045418083543147435,-0.13296893920428485,0.13296893920428485,0.1555824386481023,0.07025134142165344
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,0.007763250059996008,0.007763250059996008,0.19195385641464635,0.19195385641464635,-0.021087676926721175,0.021087676926721175,-0.061621890322404164,0.061621890322404164,1.7682408289226552,1.7682408289226552,-0.015205096284274083,0.015205096284274083,0.1790729013603671,0.1790729013603671,0.0,0.0,-0.07867308911479208,0.07867308911479208,-0.13296893920428485,0.13296893920428485,0.24565875286101413,0.18374741449051885
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,-0.00018706626650549552,0.00018706626650549552,0.12796923760976425,0.12796923760976425,0.012057202592522414,0.012057202592522414,-0.0678479864062042,0.0678479864062042,1.0032147826606637,1.0032147826606637,-0.002509645789748664,0.002509645789748664,-0.48686343923526637,0.48686343923526637,0.0,0.0,0.017752897914348705,0.017752897914348705,0.13296893920428485,0.13296893920428485,0.18513711976793085,0.07365549222838592
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,-0.01674243085228106,0.01674243085228106,0.0,0.0,0.011416922073247338,0.011416922073247338,-0.13265465510827207,0.13265465510827207,0.9454118862982149,0.9454118862982149,0.0364155667312461,0.0364155667312461,0.17133055834478703,0.17133055834478703,-0.4174881748335564,0.4174881748335564,0.0864546511909383,0.0864546511909383,-0.13296893920428485,0.13296893920428485,0.19508837846368282,0.05511753846400393
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,-0.01777129531806328,0.01777129531806328,0.19195385641464635,0.19195385641464635,0.04318651611445164,0.04318651611445164,-0.25556974185674364,0.25556974185674364,1.0610421998635584,1.0610421998635584,-0.4068734207347727,0.4068734207347727,0.6809311191012001,0.6809311191012001,0.0,0.0,0.07671347084902533,0.07671347084902533,-0.13296893920428485,0.13296893920428485,0.28670105594567463,0.12406437652290177
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,-0.014591168787462545,0.014591168787462545,-0.12796923760976425,0.12796923760976425,0.004853460115846604,0.004853460115846604,-0.11264505435389163,0.11264505435389163,0.11882043218519303,0.11882043218519303,0.15608340328744613,0.15608340328744613,0.20280018932413704,0.20280018932413704,0.0,0.0,-0.03458067975568399,0.03458067975568399,0.13296893920428485,0.13296893920428485,0.09053125646237101,0.03257402836101052
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,-0.029369403841431916,0.029369403841431916,-0.06398461880488213,0.06398461880488213,0.029326232401641356,0.029326232401641356,-0.00971713751527175,0.00971713751527175,0.25379879425175117,0.25379879425175117,-0.004751476812110232,0.004751476812110232,0.2920398764817576,0.2920398764817576,0.4174881748335564,0.4174881748335564,0.014648385571906291,0.014648385571906291,0.0,0.0,0.1115124100514309,0.08994788265669167
