lap_key,Driver,Team,season,round,session_key,event_name,analysis_team,speed_mean_session_z,speed_min_session_z,speed_q10_session_z,speed_q50_session_z,speed_q90_session_z,speed_std_session_z,throttle_mean_session_z,throttle_zero_frac_session_z,throttle_full_frac_session_z,throttle_mid_frac_session_z,throttle_diff_abs_mean_session_z,brake_active_frac_session_z,brake_on_count_session_z,rpm_mean_session_z,rpm_std_session_z,rpm_diff_abs_mean_session_z,gear_mean_session_z,gear_change_count_session_z,PC1,PC2,explained_var_pc1,explained_var_pc2
2018_r10_Q_BOT_lap11,BOT,Mercedes,2018,10,2018_10_Q,British Grand Prix,Mercedes,0.4598390715127182,-1.2009611535381535,-0.8855412282509909,0.36239674910609065,0.5589982161961348,0.9912152983623237,-0.3960678891200708,0.7555367650214172,-1.2256249478976913,-0.6512329537142937,-1.0234483609409548,0.9188788044711036,0.5,0.87143144422517,-1.2227223374758123,1.3725847264651387,0.8048538521161316,0.8333333333333334,-0.7035447090635267,0.943611551566987,0.18784905675827218,0.16362449554120512
2018_r10_Q_HAM_lap14,HAM,Mercedes,2018,10,2018_10_Q,British Grand Prix,Mercedes,0.9121890651873987,0.2401922307076307,1.1260585988870544,1.0212999292989826,0.9622100442720136,0.7301584114049487,1.4451601282388167,0.2200966227569085,-0.048668227641930156,-0.24722742609833545,-0.38839442739916763,-0.5089759690618082,0.5,0.8588668682097459,0.41167568311580455,0.11265182013398292,0.6329461544613968,0.8333333333333334,2.3521706636726742,0.4222929988602155,0.18784905675827218,0.16362449554120512
2018_r10_Q_RIC_lap10,RIC,Red Bull Racing,2018,10,2018_10_Q,British Grand Prix,Red Bull Racing,-1.3984846058863358,-0.2401922307076307,-0.7980803662015155,-1.3507515193954287,-1.310438441246643,-0.8232889792213529,-0.8441905844474175,0.48809093997740055,0.05252562419787851,-0.578183726861124,0.07147155700461072,0.7470451785006822,0.5,-0.919870339043095,1.114950870906121,-0.7292590738796678,-1.3963787899784972,-1.1666666666666667,-2.8344870627593663,-0.6883572882574432,0.18784905675827218,0.16362449554120512
2018_r10_Q_VER_lap13,VER,Red Bull Racing,2018,10,2018_10_Q,British Grand Prix,Red Bull Racing,0.02645646918620398,1.2009611535381535,0.5575629955654396,-0.032945159009644606,-0.21076981922148455,-0.8980847305459292,-0.2049016546713732,-1.4637243277557261,1.2217675513417428,1.4766441066737541,1.3403712313355143,-1.1569480139099737,-1.5,-0.8104279733918114,-0.3039042165461083,-0.7559774727194519,-0.04142121659900564,-0.5,1.1858611081501989,-0.6775472621697533,0.18784905675827218,0.16362449554120512
2018_r14_Q_BOT_lap17,BOT,Mercedes,2018,14,2018_14_Q,Italian Grand Prix,Mercedes,0.48177899901315024,0.8660254037844387,-1.4331279864860695,0.9667550799532344,0.17520819645198876,0.24780343292208626,-0.30803895167638473,1.1973262115615613,0.8971773473220325,-1.0546487117382326,-0.9417534600160022,0.851104238792663,0.0,0.2625854319323953,0.7225349294807007,0.06699189413345055,1.2847665636384893,0.5,0.2185469561650485,-0.40423212603054964,0.18784905675827218,0.16362449554120512
2018_r14_Q_HAM_lap18,HAM,Mercedes,2018,14,2018_14_Q,Italian Grand Prix,Mercedes,1.095632263329526,-0.8660254037844387,0.3619010066884022,0.7519206177414045,1.0693741645517627,1.095309138851064,1.4524895953632693,-1.1602198765387959,-1.4189240733298485,1.3555611423343208,0.8071432095029686,0.3578090469195064,0.0,1.2747355317179077,0.9863197144474638,1.3896345925837452,0.2598919388276593,-1.5,1.378667629525062,2.803614847208568,0.18784905675827218,0.16362449554120512
2018_r14_Q_RIC_lap2,RIC,Red Bull Racing,2018,14,2018_14_Q,Italian Grand Prix,Red Bull Racing,-1.1908037500295134,-0.8660254037844387,0.1881885234779708,-0.9667550799532344,-1.3472906140962824,-1.3184394510539132,-0.8372746962002614,0.3128162193837675,0.10984777158426931,-0.19993317346310815,-0.7849155914975227,-1.4461390635071343,0.0,-1.0180801507301924,-1.0044683155877683,-0.6861977811625092,-0.5615614732540082,0.5,-1.2955762059521316,-1.5659128578971562,0.18784905675827218,0.16362449554120512
2018_r14_Q_VER_lap8,VER,Red Bull Racing,2018,14,2018_14_Q,Italian Grand Prix,Red Bull Racing,-0.38660751231314183,0.8660254037844387,0.8830384563197047,-0.7519206177414045,0.10270825309254467,-0.024673120719236972,-0.30717594748664767,-0.3499225544065259,0.41189895442353686,-0.10097925713297796,0.9195258420105601,0.23722577779496307,0.0,-0.5192408129201025,-0.7043863283403956,-0.7704287055546867,-0.9830970292121405,0.5,-0.3016383797379768,-0.8334698632808678,0.18784905675827218,0.16362449554120512
2018_r15_Q_BOT_lap19,BOT,Mercedes,2018,15,2018_15_Q,Singapore Grand Prix,Mercedes,-0.940879711937504,-0.4629100498862757,-0.8985125712889843,-1.1933806196561039,0.9415429185569044,1.0506373724592566,-1.2930880253183152,1.3446142822584128,-0.8522695390882846,-0.4580664018242239,-0.45846354567297753,0.9410564859583138,0.8660254037844387,-0.06991844410074953,0.5395185679746056,0.5028542447244726,0.9319294969471623,0.0,-2.6185079663715465,1.0994230543556387,0.18784905675827218,0.16362449554120512
2018_r15_Q_HAM_lap14,HAM,Mercedes,2018,15,2018_15_Q,Singapore Grand Prix,Mercedes,1.064834543740795,1.3887301496588271,-0.760279868013765,-0.27539552761294706,0.7753882858703844,0.5273628908301837,0.9075783574093007,-0.6765449158196912,-0.6240714955797318,1.4802877673139347,0.9397335166841034,0.7624537326464107,0.8660254037844387,1.3470349347802164,1.0411893163910801,1.1385107664463066,0.76110539901783,0.0,1.0488843726177584,2.6077751605814323,0.18784905675827218,0.16362449554120512
