experiment,model,n_features,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
experiment_a_with_time_features,logistic_regression,72,0.6082760376878024,0.0394936739209338,0.6083116883116882,0.039196797518924756,0.6002641247671425,0.034187632116735873,0.608355091383812,0.6085377585377584,0.6056262749933085
experiment_a_with_time_features,hist_gradient_boosting,72,0.40069603599015363,0.042290054197155466,0.401038961038961,0.04149142323490097,0.3955144339718685,0.03472797546091853,0.4007832898172324,0.4008417508417509,0.3986668436873942
experiment_a_with_time_features,xgboost,72,0.3837619896443426,0.04103991694719913,0.38376623376623364,0.03959708100886136,0.37601634154983443,0.034165859129731524,0.3838120104438642,0.3838864838864839,0.3818512632644763
experiment_a_with_time_features,random_forest,72,0.34722858840505894,0.06503979087829742,0.3483116883116883,0.06426865836970824,0.33378725304527335,0.05991055511297619,0.3472584856396867,0.34771524771524775,0.3377067702180575
experiment_b_without_time_features,logistic_regression,64,0.6174178762414056,0.0362242404490746,0.6174025974025974,0.0361846243119887,0.6103226680813839,0.02984298248472241,0.6174934725848564,0.6176767676767678,0.6159817474952075
experiment_b_without_time_features,hist_gradient_boosting,64,0.4124777183600713,0.03147848927117476,0.4128571428571428,0.030232834590903205,0.40617872441878083,0.022909616332280336,0.412532637075718,0.41250601250601254,0.4110340827355593
experiment_b_without_time_features,xgboost,64,0.4059502588914354,0.03878674644824895,0.406103896103896,0.037188011786200126,0.3980435284195001,0.03157680668386951,0.40600522193211486,0.40603655603655603,0.40447453161640945
experiment_b_without_time_features,random_forest,64,0.35244885833121126,0.0365517418130283,0.3536363636363636,0.03541670593855201,0.3370878614176033,0.03146057748771341,0.3524804177545692,0.35305435305435307,0.3416297112866435
