dataset,feature_config,result_name,target,team_model,driver_model,n_samples,n_drivers,n_teams,n_groups,n_features,accuracy,balanced_accuracy,macro_f1
long_qualifying_2018_2025_top5,no_time_features,direct_driver,Driver,,random_forest_regularized,698,5,11,146,43,0.6289398280802292,0.6234623666128368,0.6194880563128552
long_qualifying_2018_2025_top5,no_time_features,direct_team,Team,random_forest_regularized,,698,5,11,146,43,0.5988538681948424,0.24372037472649513,0.22845196899443254
long_qualifying_2018_2025_top5,no_time_features,direct_driver,Driver,,hist_gradient_boosting_regularized,698,5,11,146,43,0.6891117478510028,0.6849541654792438,0.6849005597236624
long_qualifying_2018_2025_top5,no_time_features,direct_team,Team,hist_gradient_boosting_regularized,,698,5,11,146,43,0.660458452722063,0.37106778734133544,0.38147289644599386
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_driver,Driver,,logistic_l2,698,5,11,146,40,0.8080229226361032,0.8051234919730217,0.805942825629457
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_team,Team,logistic_l2,,698,5,11,146,40,0.7879656160458453,0.5098011355269724,0.5347760795660843
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_driver,Driver,,random_forest_regularized,698,5,11,146,40,0.6217765042979942,0.6168010829296096,0.6135248967236794
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_team,Team,random_forest_regularized,,698,5,11,146,40,0.6074498567335244,0.24990281146722274,0.23334722923996865
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_driver,Driver,,hist_gradient_boosting_regularized,698,5,11,146,40,0.7020057306590258,0.6979725942813717,0.6976339298856662
long_qualifying_2018_2025_top5,style_core_no_time_context,direct_team,Team,hist_gradient_boosting_regularized,,698,5,11,146,40,0.6547277936962751,0.3403996222344215,0.34892607935552217
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,logistic_l2,698,5,11,146,40,0.7879656160458453,0.5098011355269724,0.5347760795660843
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,logistic_l2,698,5,11,146,40,0.7936962750716332,0.7891704664196827,0.7894614424020177
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,random_forest_regularized,logistic_l2,698,5,11,146,40,0.6074498567335244,0.24990281146722274,0.23334722923996865
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,random_forest_regularized,logistic_l2,698,5,11,146,40,0.6074498567335244,0.5945652449257465,0.5714149894682019
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,hist_gradient_boosting_regularized,logistic_l2,698,5,11,146,40,0.6547277936962751,0.3403996222344215,0.34892607935552217
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,hist_gradient_boosting_regularized,logistic_l2,698,5,11,146,40,0.6762177650429799,0.6689550679205851,0.6631419088179413
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,random_forest_regularized,698,5,11,146,40,0.7879656160458453,0.5098011355269724,0.5347760795660843
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,random_forest_regularized,698,5,11,146,40,0.7636103151862464,0.7597110604477375,0.760389375651376
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,hist_gradient_boosting_regularized,698,5,11,146,40,0.7879656160458453,0.5098011355269724,0.5347760795660843
long_qualifying_2018_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,hist_gradient_boosting_regularized,698,5,11,146,40,0.7664756446991404,0.7625942022101897,0.7635315233663449
race_2025_clean_laps_top5,all_telemetry_features,direct_driver,Driver,,logistic_l2,4334,5,4,18,45,0.7939547761882787,0.7946478905554786,0.7928917573682359
race_2025_clean_laps_top5,all_telemetry_features,direct_team,Team,logistic_l2,,4334,5,4,18,45,0.8322565759113982,0.8326520212042943,0.8241864799747348
race_2025_clean_laps_top5,all_telemetry_features,direct_driver,Driver,,random_forest_regularized,4334,5,4,18,45,0.613290263036456,0.6109952177880311,0.6091639573332148
race_2025_clean_laps_top5,all_telemetry_features,direct_team,Team,random_forest_regularized,,4334,5,4,18,45,0.6788186432856483,0.6313645872414393,0.6385222170311654
race_2025_clean_laps_top5,all_telemetry_features,direct_driver,Driver,,hist_gradient_boosting_regularized,4334,5,4,18,45,0.656898938624827,0.6561118646532007,0.6560192448539611
race_2025_clean_laps_top5,all_telemetry_features,direct_team,Team,hist_gradient_boosting_regularized,,4334,5,4,18,45,0.701661282879557,0.6763128148759514,0.6786658609381204
