dataset,task,target,feature_config,n_samples,n_classes,n_groups,n_features,min_class_count,max_class_count,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap
long_qualifying_2018_2025_top5,predict_team,Team,style_core_no_time_context,621,6,146,40,33,219,0.8711755233494364,0.7699065098720487,0.7883730590632233,0.9359886674377662,0.8711689210644467,0.06481974637331955
long_qualifying_2018_2025_top5,predict_team,Team,all_telemetry_features,621,6,146,47,33,219,0.8631239935587761,0.7515309884612303,0.7717638921478889,0.9448386256281429,0.8632068114894338,0.08163181413870912
long_qualifying_2018_2025_top5,predict_team,Team,no_time_features,621,6,146,43,33,219,0.8615136876006442,0.7523800113607381,0.765746740024417,0.9424249239397472,0.8614900378814168,0.08093488605833044
race_2025_clean_laps_top5,predict_team,Team,all_telemetry_features,4334,4,18,45,799,1742,0.8322565759113982,0.8326520212042943,0.8241864799747348,0.9615553831558439,0.8333492726868938,0.12820611046895003
race_2025_clean_laps_top5,predict_team,Team,no_time_features,4334,4,18,44,799,1742,0.8299492385786802,0.8331511023751811,0.8233336862946733,0.9603412598088745,0.83103988477207,0.1293013750368045
race_2025_clean_laps_top5,predict_team,Team,style_core_no_time_context,4334,4,18,40,799,1742,0.8299492385786802,0.8325989472401385,0.8231034232442938,0.9571811503650369,0.8308734271400382,0.12630772322499872
short_qualifying_2023_2025,predict_team,Team,style_core_no_time_context,709,8,24,62,55,110,0.7503526093088858,0.7359309810304353,0.7340314845852283,0.8945042669522133,0.751115027907172,0.1433892390450413
short_qualifying_2023_2025,predict_team,Team,all_telemetry_features,709,8,24,73,55,110,0.7376586741889986,0.7242974438620595,0.7231392456396257,0.8980266187150635,0.7381073481891812,0.15991927052588228
short_qualifying_2023_2025,predict_team,Team,no_time_features,709,8,24,65,55,110,0.7376586741889986,0.7202327424873691,0.7186630403167873,0.8928567365099875,0.738053072586624,0.15480366392336353
