team,leader_driver,teammate_driver,season,round,session_key,event_name,feature,leader_minus_teammate,abs_gap
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,LapTimeSeconds,0.02599999999999625,0.02599999999999625
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,speed_min,-1.0,1.0
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,speed_mean,-0.2645291848479019,0.2645291848479019
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,throttle_full_frac,-0.022102067918800983,0.022102067918800983
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,throttle_mid_frac,0.015050907481186343,0.015050907481186343
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,throttle_diff_abs_mean,0.2771314741035855,0.2771314741035855
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,brake_active_frac,0.019145639663567943,0.019145639663567943
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,rpm_diff_abs_mean,5.456701195219125,5.456701195219125
Red Bull Racing,VER,RIC,2018,19,2018_19_Q,Mexican Grand Prix,gear_change_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,LapTimeSeconds,-0.27299999999999613,0.27299999999999613
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,speed_min,3.0,3.0
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,speed_mean,2.2830566534914283,2.2830566534914283
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,throttle_full_frac,0.017206851119894617,0.017206851119894617
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,throttle_mid_frac,0.01862977602108036,0.01862977602108036
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,throttle_diff_abs_mean,0.07689449236894497,0.07689449236894497
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,brake_active_frac,-0.010434782608695653,0.010434782608695653
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,brake_on_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,rpm_diff_abs_mean,-4.8018181818181915,4.8018181818181915
Red Bull Racing,VER,RIC,2018,1,2018_1_Q,Australian Grand Prix,gear_change_count,-2.0,2.0
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,LapTimeSeconds,-0.001999999999995339,0.001999999999995339
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,speed_min,-1.0,1.0
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,speed_mean,-0.17225925074694715,0.17225925074694715
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,throttle_full_frac,-0.01993794529993098,0.01993794529993098
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,throttle_mid_frac,0.07345054776679688,0.07345054776679688
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,throttle_diff_abs_mean,-0.09803694257670603,0.09803694257670603
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,brake_active_frac,0.0035049413927832618,0.0035049413927832618
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,rpm_diff_abs_mean,-20.11683669526235,20.11683669526235
Red Bull Racing,VER,RIC,2018,20,2018_20_Q,Brazilian Grand Prix,gear_change_count,-3.0,3.0
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,LapTimeSeconds,0.1880000000000024,0.1880000000000024
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,speed_min,0.0,0.0
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,speed_mean,-0.05601671794275376,0.05601671794275376
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,throttle_full_frac,-0.0018962481376133544,0.0018962481376133544
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,throttle_mid_frac,0.021177995781815367,0.021177995781815367
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,throttle_diff_abs_mean,0.6756035825545172,0.6756035825545172
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,brake_active_frac,0.00879433447495212,0.00879433447495212
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,brake_on_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,rpm_diff_abs_mean,12.729964953271065,12.729964953271065
Red Bull Racing,VER,RIC,2018,21,2018_21_Q,Abu Dhabi Grand Prix,gear_change_count,2.0,2.0
