subset_name,penalty,C,class_weight,n_drivers,n_samples,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
distinctive_top5,l1,2.0,none,5,273,0.9899250136148465,0.8571717171717171,0.13275329644312933,0.9898601002540344,0.8586588368153585,0.13120126343867594,0.8571428571428571,0.856969696969697,0.8584197001277438
distinctive_top5,l1,2.0,balanced,5,273,0.9899250136148465,0.8571717171717171,0.13275329644312933,0.9898601002540344,0.8581272350837569,0.13173286517027769,0.8571428571428571,0.856969696969697,0.8581504198584635
distinctive_top5,l2,1.0,none,5,273,0.990842444807507,0.8571717171717171,0.1336707276357899,0.9908106781863568,0.8575802747976662,0.13323040338869072,0.8571428571428571,0.856969696969697,0.8580513925457577
distinctive_top5,l2,1.0,balanced,5,273,0.990842444807507,0.8571717171717171,0.1336707276357899,0.9908106781863568,0.8575802747976662,0.13323040338869072,0.8571428571428571,0.856969696969697,0.8580513925457577
distinctive_top5,l2,2.0,none,5,273,0.998169326798207,0.8534680134680135,0.1447013133301936,0.9981707652452689,0.8539439111613024,0.1442268540839665,0.8534798534798534,0.8533333333333333,0.8544311595964823
distinctive_top5,l2,2.0,balanced,5,273,0.998169326798207,0.8534680134680135,0.1447013133301936,0.9981707652452689,0.8539439111613024,0.1442268540839665,0.8534798534798534,0.8533333333333333,0.8544311595964823
distinctive_top5,l1,1.0,none,5,273,0.9725273344225212,0.8498989898989899,0.12262834452353118,0.972421577648165,0.8521523462045201,0.12026923144364494,0.8498168498168498,0.8496969696969698,0.8517365789000628
distinctive_top5,l1,1.0,balanced,5,273,0.9725273344225212,0.8498989898989899,0.12262834452353118,0.972421577648165,0.8521523462045201,0.12026923144364494,0.8498168498168498,0.8496969696969698,0.8517365789000628
distinctive_top5,l2,4.0,none,5,273,1.0,0.8498989898989899,0.15010101010101012,1.0,0.8497819846057831,0.15021801539421675,0.8498168498168498,0.8496969696969696,0.8508251086509817
distinctive_top5,l2,4.0,balanced,5,273,1.0,0.8498989898989899,0.15010101010101012,1.0,0.849556876380675,0.15044312361932496,0.8498168498168498,0.8496969696969696,0.8508137257984252
distinctive_top5,l2,0.5,none,5,273,0.9697834192115955,0.8497643097643097,0.12001910944728593,0.969654067650314,0.849237560303922,0.12041650734639216,0.8498168498168498,0.8496969696969696,0.8506254672833163
distinctive_top5,l2,0.5,balanced,5,273,0.9707008504042562,0.8497643097643097,0.12093654063994648,0.970605666894663,0.849237560303922,0.12136810659074102,0.8498168498168498,0.8496969696969696,0.8506254672833163
