driver,n_samples,precision,recall,f1,mean_pred_confidence,mean_true_class_probability
VER,55,0.9322033898305084,1.0,0.9649122807017544,0.9486474297263405,0.9486474297263405
LEC,55,0.8125,0.9454545454545454,0.8739495798319328,0.9223162802782926,0.8935581142252141
ALB,55,0.8867924528301887,0.8545454545454545,0.8703703703703703,0.9304523007436232,0.8469417283988812
SAI,54,0.8363636363636363,0.8518518518518519,0.8440366972477065,0.9454603581516831,0.8432039176383384
OCO,54,0.9285714285714286,0.7222222222222222,0.8125,0.8864835268921323,0.7260959511277852
