fold,n_train,n_test,n_train_inner,n_val,train_groups,test_groups,epochs_trained,best_val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
1,218,55,173,45,44,11,95,0.2650125324726105,0.9495412844036697,0.9491543340380548,0.9492690512695514,0.8727272727272727,0.8727272727272727,0.8692073774179037,0.07681401167639701,0.08006167385164775
2,218,55,173,45,44,11,85,0.16318397223949432,0.963302752293578,0.9628964059196617,0.9626676314051885,0.8181818181818182,0.8181818181818181,0.8171538992408557,0.14512093411175975,0.14551373216433283
3,218,55,173,45,44,11,80,0.38624972105026245,0.9724770642201835,0.9721987315010571,0.972375559195374,0.8727272727272727,0.8727272727272727,0.8716356107660455,0.09974979149291086,0.10073994842932854
4,219,54,174,45,44,11,112,0.12483764439821243,0.9634703196347032,0.9635306553911205,0.9633824345589052,0.8888888888888888,0.8854545454545455,0.8846851784191937,0.07458143074581436,0.07869725613971146
5,219,54,174,45,44,11,93,0.23652172088623047,0.9863013698630136,0.9862579281183933,0.9863042605771513,0.9259259259259259,0.9218181818181819,0.9218487394957983,0.060375443937087714,0.064455521081353
