setup,model,driver,precision,recall,f1_score,support
long_qualifying_top5,cnn,HAM,0.9105691056910568,0.7777777777777778,0.8389513108614233,144.0
long_qualifying_top5,cnn,LEC,0.8083832335329342,0.9310344827586208,0.8653846153846154,145.0
long_qualifying_top5,cnn,OCO,0.8317757009345794,0.7355371900826446,0.7807017543859649,121.0
long_qualifying_top5,cnn,SAI,0.8513513513513513,0.875,0.863013698630137,144.0
long_qualifying_top5,cnn,VER,0.8496732026143791,0.9027777777777778,0.8754208754208754,144.0
long_qualifying_top5,hybrid_cnn_tabular,HAM,0.8865248226950354,0.8680555555555556,0.8771929824561403,144.0
long_qualifying_top5,hybrid_cnn_tabular,LEC,0.9246575342465754,0.9310344827586208,0.9278350515463918,145.0
long_qualifying_top5,hybrid_cnn_tabular,OCO,0.9035087719298246,0.8512396694214877,0.8765957446808511,121.0
long_qualifying_top5,hybrid_cnn_tabular,SAI,0.88,0.9166666666666666,0.8979591836734694,144.0
long_qualifying_top5,hybrid_cnn_tabular,VER,0.9387755102040816,0.9583333333333334,0.9484536082474226,144.0
long_qualifying_top5,gru,HAM,0.8360655737704918,0.3541666666666667,0.4975609756097561,144.0
long_qualifying_top5,gru,LEC,0.23104693140794225,0.4413793103448276,0.3033175355450237,145.0
long_qualifying_top5,gru,OCO,0.35,0.23140495867768596,0.27860696517412936,121.0
long_qualifying_top5,gru,SAI,0.23963133640552994,0.3611111111111111,0.2880886426592798,144.0
long_qualifying_top5,gru,VER,0.25396825396825395,0.1111111111111111,0.15458937198067632,144.0
long_qualifying_top5,lstm,HAM,0.5873015873015873,0.5138888888888888,0.5481481481481482,144.0
long_qualifying_top5,lstm,LEC,0.2376237623762376,0.3310344827586207,0.276657060518732,145.0
long_qualifying_top5,lstm,OCO,0.2846153846153846,0.30578512396694213,0.2948207171314741,121.0
long_qualifying_top5,lstm,SAI,0.2682926829268293,0.22916666666666666,0.24719101123595505,144.0
long_qualifying_top5,lstm,VER,0.3076923076923077,0.25,0.27586206896551724,144.0
