team,leader_driver,teammate_driver,season,n_shared_sessions,mean_LapTimeSeconds_leader_minus_teammate,mean_LapTimeSeconds_abs_gap,mean_speed_min_leader_minus_teammate,mean_speed_min_abs_gap,mean_speed_mean_leader_minus_teammate,mean_speed_mean_abs_gap,mean_throttle_full_frac_leader_minus_teammate,mean_throttle_full_frac_abs_gap,mean_throttle_mid_frac_leader_minus_teammate,mean_throttle_mid_frac_abs_gap,mean_throttle_diff_abs_mean_leader_minus_teammate,mean_throttle_diff_abs_mean_abs_gap,mean_brake_active_frac_leader_minus_teammate,mean_brake_active_frac_abs_gap,mean_brake_on_count_leader_minus_teammate,mean_brake_on_count_abs_gap,mean_rpm_diff_abs_mean_leader_minus_teammate,mean_rpm_diff_abs_mean_abs_gap,mean_gear_change_count_leader_minus_teammate,mean_gear_change_count_abs_gap
Ferrari,LEC,BEA,2024,1,-0.8509999999999991,0.8509999999999991,1.0,1.0,2.5719695957084525,2.5719695957084525,-0.02390818117821092,0.02390818117821092,0.09169406795519555,0.09169406795519555,0.0834050487664948,0.0834050487664948,-0.010479322052022344,0.010479322052022344,0.0,0.0,-43.24082042455535,43.24082042455535,0.0,0.0
Ferrari,LEC,HAM,2025,22,-0.21618181818181756,0.2576363636363633,-0.18181818181818182,1.4545454545454546,0.5997255314846887,1.6340252774628126,0.11562790795638898,0.12468676864434715,-0.12255830329642459,0.1318489830461868,-0.14195663330329486,0.2572375410690193,-0.015789653145279747,0.019391609782924993,0.45454545454545453,1.0,-20.111567054375246,22.4281928171113,-1.0,2.272727272727273
Ferrari,LEC,SAI,2021,20,-0.16755000000000136,0.2697499999999991,0.5,2.0,0.34115054871786726,0.7172067706922818,0.004192667924715463,0.012389348315916445,0.05883245232287494,0.059104931886907644,-0.06494381883206882,0.20226512398312496,-0.0012678332447197244,0.01034665367845887,1.6,2.0,-17.360404877856713,18.250384884515153,2.25,2.75
Ferrari,LEC,SAI,2022,17,-0.13658823529411698,0.21529411764705947,0.5294117647058824,2.0588235294117645,0.3836089140563271,1.8290260386048625,0.008804455147096732,0.020859669568467187,0.044466529431815595,0.052487661762905924,-0.09420491677929317,0.31647565410563566,-0.010657355120843212,0.015016875151764713,0.35294117647058826,1.1764705882352942,-18.631240279490587,21.369049950387115,1.8823529411764706,2.4705882352941178
Ferrari,LEC,SAI,2023,15,-0.3484666666666641,0.3679333333333327,2.0,3.066666666666667,0.0912803308146124,1.0993269505542136,0.006849163485722661,0.00950499286936302,0.06452344422812166,0.06572610959460955,-0.1399924354851424,0.18527841383442561,-0.019705347614817112,0.02574826745205739,0.6666666666666666,2.0,-20.942093964763753,20.942093964763753,2.533333333333333,3.066666666666667
Ferrari,LEC,SAI,2024,17,-0.05611764705882399,0.21000000000000127,1.1176470588235294,2.411764705882353,0.4566344173408485,1.9602623164316175,-0.0038423364249916777,0.01382424043824386,0.08390538197310322,0.08390538197310322,-0.24964110563438038,0.30838457957541904,-0.013294812523676541,0.01979121752489161,1.0,1.588235294117647,-23.597289797661976,23.899241608134442,1.1176470588235294,2.2941176470588234
Ferrari,LEC,VET,2019,20,0.02880000000000038,0.3859000000000002,0.3,1.8,-0.1641490459606672,1.1156249385732764,-0.006674707605618524,0.017381269005485755,0.03405567993894776,0.041041711977039416,-0.2625705334588091,0.3453108827206154,0.0008766295710393737,0.018413424481839497,0.45,0.95,-12.29795858443922,18.210551038581066,-0.6,2.2
Ferrari,LEC,VET,2020,15,-0.42073333333333285,0.42646666666666516,0.8666666666666667,2.2,1.199404695817005,1.354300537305471,0.008137714650793737,0.01319359296662456,0.0041324620444217345,0.01986521210854436,-0.22425734052206547,0.27634132441382975,-0.0036303848550077633,0.010991357722014887,0.26666666666666666,1.0666666666666667,-2.617222233671295,12.346774014689839,-0.06666666666666667,1.8
Mercedes,HAM,BOT,2018,16,-0.15118750000000114,0.2073125,-0.875,2.5,0.44823350715586585,0.7365683894483226,-0.00651281222205366,0.012577043333771173,0.041216497901003304,0.041216497901003304,0.055689103981154175,0.26673439459178877,0.0036681234581086063,0.008466375839388331,0.3125,0.5625,4.513449859313081,16.164706188852893,-0.6875,2.5625
Mercedes,HAM,BOT,2019,21,-0.1159047619047628,0.24123809523809503,-0.3333333333333333,2.5238095238095237,0.5908697136718827,0.9748657461593071,-0.0087165380013385,0.01617347818042019,0.040598273255470385,0.04697822694523374,-0.11123627339928371,0.22872988345844658,0.0010721954802807873,0.007676086543181653,-0.047619047619047616,0.5238095238095238,7.378784105267845,13.700210839184727,-0.047619047619047616,2.619047619047619
Mercedes,HAM,BOT,2020,14,-0.10064285714285758,0.19350000000000125,1.2857142857142858,3.2857142857142856,0.30066356096145136,0.5271082727619968,-0.007751147746577853,0.014996881765053658,0.03185722320065516,0.032166912474144875,-0.07071839856195121,0.18022987412830613,-0.009099457580863054,0.012617713518473834,-0.7142857142857143,0.8571428571428571,-3.7715607325562996,11.31651410397888,-0.07142857142857142,1.7857142857142858
Mercedes,HAM,BOT,2021,20,-0.21205000000000068,0.28874999999999884,-1.8,2.3,0.6320988132606189,0.7826369190095235,-0.010295484484047162,0.01759457660996771,0.03854818579261849,0.047924293323903924,-0.01897134467879862,0.15644849863223093,-0.004644967323260173,0.008942541823002921,-0.9,1.1,-1.8541209468646584,12.827001693439206,0.3,1.5
