fold,n_train,n_test,train_groups,test_groups,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
1,218,55,44,11,0.9862385321100917,0.9860465116279069,0.9860428226686546,0.8545454545454545,0.8545454545454545,0.8568831168831169,0.13169307756463722,0.1291597057855377
2,218,55,44,11,0.9862385321100917,0.9860465116279069,0.9859784387806588,0.8727272727272727,0.8727272727272728,0.8732806324110672,0.11351125938281903,0.11269780636959159
3,218,55,44,11,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8756643356643355,0.11809841534612187,0.11513845995901817
4,219,54,44,11,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8287502352719744,0.16210045662100447,0.16670372314207693
5,219,54,44,11,0.9863013698630136,0.9862579281183933,0.9862532299741602,0.8703703703703703,0.8690909090909091,0.8692640692640692,0.1159309994926433,0.11698916071009102
