subset_name,config_name,n_features,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,full_oof_accuracy,full_oof_macro_f1,full_mean_accuracy_gap,full_mean_macro_f1_gap,delta_oof_accuracy_vs_full,delta_oof_macro_f1_vs_full,delta_accuracy_gap_vs_full,delta_macro_f1_gap_vs_full
distinctive_top5,full_model,64,0.9899250136148465,0.8571717171717171,0.13275329644312933,0.9898601002540344,0.8586588368153585,0.13120126343867594,0.8571428571428571,0.856969696969697,0.8584197001277438,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.0,0.0,0.0,0.0
distinctive_top5,compact_no_context,61,0.9880943404130536,0.8571717171717171,0.13092262324133636,0.9880388625466605,0.8588435911914173,0.12919527135524328,0.8571428571428571,0.8568350168350168,0.8583714164296689,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.0,-4.828369807496902e-05,-0.001830673201792976,-0.0020059920834326617
distinctive_top5,compact_no_context_no_phase,57,0.989007582422186,0.8607407407407408,0.12826684168144517,0.9889062490921757,0.8607684778989126,0.12813777119326308,0.8608058608058609,0.8607407407407408,0.8617037086448901,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.003663003663003761,0.003284008517146275,-0.004486454761684161,-0.0030634922454128577
distinctive_top5,compact_no_context_no_speed,50,0.9844329940094676,0.8352188552188551,0.14921413879061238,0.9843986484045951,0.8356775688080035,0.14872107959659167,0.8351648351648352,0.8348821548821549,0.8360303112477026,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.0219780219780219,-0.022389388880041272,0.016460842347483046,0.01751981615791573
distinctive_top5,compact_no_context_no_phase_no_speed,46,0.9835155628168069,0.8498316498316498,0.1336839129851572,0.9834688022078968,0.8506381718967532,0.13283063031114367,0.8498168498168498,0.8496969696969696,0.8509460042329952,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.0073260073260073,-0.0074736958947486665,0.0009306165420278623,0.0016293668724677302
distinctive_top5,compact_core_behavior,46,0.9835155628168069,0.8498316498316498,0.1336839129851572,0.9834688022078968,0.8506381718967532,0.13283063031114367,0.8498168498168498,0.8496969696969696,0.8509460042329952,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.0073260073260073,-0.0074736958947486665,0.0009306165420278623,0.0016293668724677302
distinctive_top5,compact_controls_powertrain_dynamics,50,0.9844329940094676,0.8352188552188551,0.14921413879061238,0.9843986484045951,0.8356775688080035,0.14872107959659167,0.8351648351648352,0.8348821548821549,0.8360303112477026,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.0219780219780219,-0.022389388880041272,0.016460842347483046,0.01751981615791573
distinctive_top5,compact_vehicle_state,38,0.9459637216706464,0.8057912457912458,0.1401724758794006,0.9458427955746413,0.8033712892751794,0.14247150629946195,0.8058608058608059,0.8055892255892256,0.8046747396734425,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.05128205128205121,-0.05374496045430133,0.007419179436271267,0.011270242860786012
distinctive_top5,compact_controls,23,0.7774998952704119,0.7289562289562289,0.04854366631418283,0.7755823400916155,0.7271237822944916,0.048458557797124026,0.7289377289377289,0.7284848484848485,0.728478254428831,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.1282051282051282,-0.12994144569891286,-0.0842096301289465,-0.08274270564155192
distinctive_top6,full_model,64,0.9801263490392209,0.831888111888112,0.14823823715110893,0.9801920441529077,0.8314497550313498,0.14874228912155812,0.8318042813455657,0.831705948372615,0.8330209682932853,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,0.0,0.0,0.0,0.0
