subset_name,model,n_samples,n_drivers,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_train_macro_f1,mean_test_macro_f1,mean_accuracy_gap,mean_macro_f1_gap
balanced_top5,cnn,698,5,0.9040114613180515,0.9003730882492638,0.9011575144365971,0.9416311717215674,0.904336852230144,0.9402697985491107,0.9011085623228181,0.03729431949142337,0.03916123622629264
balanced_top6,hybrid_cnn_tabular,833,6,0.8223289315726291,0.8183013081001587,0.8184159921297525,0.8390968365865596,0.8232704519050646,0.8346121612901763,0.8177998012774215,0.015826384681494998,0.01681236001275488
