Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather
0 days 00:31:55.485000,SAI,55,0 days 00:01:30.993000,5.0,2.0,,,0 days 00:00:28.887000,0 days 00:00:39.206000,0 days 00:00:22.900000,0 days 00:30:53.379000,0 days 00:31:32.585000,0 days 00:31:55.485000,242.0,271.0,288.0,326.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.993,28.887,39.206,22.9,False,True
0 days 00:55:07.607000,SAI,55,0 days 00:01:31.463000,8.0,3.0,,,0 days 00:00:29.184000,0 days 00:00:39.406000,0 days 00:00:22.873000,0 days 00:54:05.328000,0 days 00:54:44.734000,0 days 00:55:07.607000,241.0,270.0,289.0,323.0,True,SOFT,5.0,False,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.463,29.184,39.406,22.873,False,True
0 days 01:03:44.694000,SAI,55,0 days 00:01:30.515000,11.0,4.0,,,0 days 00:00:28.780000,0 days 00:00:39.032000,0 days 00:00:22.703000,0 days 01:02:42.959000,0 days 01:03:21.991000,0 days 01:03:44.694000,242.0,270.0,290.0,326.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.515,28.78,39.032,22.703,False,True
0 days 01:16:12.680000,SAI,55,0 days 00:01:30.361000,14.0,5.0,,,0 days 00:00:28.735000,0 days 00:00:38.965000,0 days 00:00:22.661000,0 days 01:15:11.054000,0 days 01:15:50.019000,0 days 01:16:12.680000,242.0,269.0,289.0,323.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.361,28.735,38.965,22.661,False,True
0 days 01:24:09.817000,SAI,55,0 days 00:01:30.154000,17.0,6.0,,,0 days 00:00:28.739000,0 days 00:00:38.700000,0 days 00:00:22.715000,0 days 01:23:08.402000,0 days 01:23:47.102000,0 days 01:24:09.817000,243.0,270.0,288.0,323.0,True,SOFT,2.0,False,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.154,28.739,38.7,22.715,False,True
0 days 00:31:10.357000,ALO,14,0 days 00:01:31.158000,2.0,1.0,,,0 days 00:00:29.259000,0 days 00:00:39.038000,0 days 00:00:22.861000,0 days 00:30:08.458000,0 days 00:30:47.496000,0 days 00:31:10.357000,240.0,268.0,285.0,318.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.158,29.259,39.038,22.861,False,True
0 days 00:54:32.736000,ALO,14,0 days 00:01:31.094000,8.0,3.0,,,0 days 00:00:29.132000,0 days 00:00:39.075000,0 days 00:00:22.887000,0 days 00:53:30.774000,0 days 00:54:09.849000,0 days 00:54:32.736000,241.0,266.0,283.0,318.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.094,29.132,39.075,22.887,False,True
0 days 01:03:27.044000,ALO,14,0 days 00:01:30.645000,11.0,4.0,,,0 days 00:00:29.012000,0 days 00:00:38.987000,0 days 00:00:22.646000,0 days 01:02:25.411000,0 days 01:03:04.398000,0 days 01:03:27.044000,241.0,267.0,287.0,320.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.645,29.012,38.987,22.646,False,True
0 days 01:19:51.112000,ALO,14,0 days 00:01:30.336000,14.0,5.0,,,0 days 00:00:28.852000,0 days 00:00:38.774000,0 days 00:00:22.710000,0 days 01:18:49.628000,0 days 01:19:28.402000,0 days 01:19:51.112000,242.0,267.0,284.0,317.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.336,28.852,38.774,22.71,False,True
0 days 00:31:45.169000,RUS,63,0 days 00:01:31.057000,2.0,1.0,,,0 days 00:00:28.967000,0 days 00:00:39.224000,0 days 00:00:22.866000,0 days 00:30:43.079000,0 days 00:31:22.303000,0 days 00:31:45.169000,242.0,271.0,289.0,320.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.057,28.967,39.224,22.866,False,True
0 days 00:54:49.908000,RUS,63,0 days 00:01:31.086000,8.0,3.0,,,0 days 00:00:29.075000,0 days 00:00:39.208000,0 days 00:00:22.803000,0 days 00:53:47.897000,0 days 00:54:27.105000,0 days 00:54:49.908000,243.0,270.0,289.0,319.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.086,29.075,39.208,22.803,False,True
0 days 01:03:55.959000,RUS,63,0 days 00:01:30.507000,11.0,4.0,,,0 days 00:00:28.845000,0 days 00:00:39.046000,0 days 00:00:22.616000,0 days 01:02:54.297000,0 days 01:03:33.343000,0 days 01:03:55.959000,243.0,270.0,290.0,320.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.507,28.845,39.046,22.616,False,True
0 days 01:20:19.733000,RUS,63,0 days 00:01:30.340000,14.0,5.0,,,0 days 00:00:28.911000,0 days 00:00:38.870000,0 days 00:00:22.559000,0 days 01:19:18.304000,0 days 01:19:57.174000,0 days 01:20:19.733000,244.0,270.0,288.0,317.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.34,28.911,38.87,22.559,False,True
0 days 00:31:50.236000,HAM,44,0 days 00:01:31.543000,2.0,1.0,,,0 days 00:00:29.062000,0 days 00:00:39.442000,0 days 00:00:23.039000,0 days 00:30:47.755000,0 days 00:31:27.197000,0 days 00:31:50.236000,244.0,271.0,286.0,321.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.543,29.062,39.442,23.039,False,True
0 days 00:54:53.207000,HAM,44,0 days 00:01:30.901000,8.0,3.0,,,0 days 00:00:28.940000,0 days 00:00:39.166000,0 days 00:00:22.795000,0 days 00:53:51.246000,0 days 00:54:30.412000,0 days 00:54:53.207000,242.0,271.0,289.0,322.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.901,28.94,39.166,22.795,False,True
0 days 01:04:00.793000,HAM,44,0 days 00:01:30.513000,11.0,4.0,,,0 days 00:00:28.844000,0 days 00:00:39.045000,0 days 00:00:22.624000,0 days 01:02:59.124000,0 days 01:03:38.169000,0 days 01:04:00.793000,242.0,270.0,289.0,322.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.513,28.844,39.045,22.624,False,True
0 days 01:20:24.570000,HAM,44,0 days 00:01:30.384000,14.0,5.0,,,0 days 00:00:28.939000,0 days 00:00:38.829000,0 days 00:00:22.616000,0 days 01:19:23.125000,0 days 01:20:01.954000,0 days 01:20:24.570000,242.0,271.0,288.0,319.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.384,28.939,38.829,22.616,False,True
0 days 00:30:48.652000,STR,18,0 days 00:01:31.617000,2.0,1.0,,,0 days 00:00:29.266000,0 days 00:00:39.428000,0 days 00:00:22.923000,0 days 00:29:46.301000,0 days 00:30:25.729000,0 days 00:30:48.652000,241.0,268.0,287.0,317.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.617,29.266,39.428,22.923,False,True
0 days 00:40:13.320000,STR,18,0 days 00:01:31.184000,5.0,2.0,,,0 days 00:00:28.966000,0 days 00:00:39.390000,0 days 00:00:22.828000,0 days 00:39:11.102000,0 days 00:39:50.492000,0 days 00:40:13.320000,242.0,268.0,287.0,318.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.184,28.966,39.39,22.828,False,True
0 days 00:54:02.537000,STR,18,0 days 00:01:32.305000,8.0,3.0,,,0 days 00:00:29.581000,0 days 00:00:39.779000,0 days 00:00:22.945000,0 days 00:52:59.813000,0 days 00:53:39.592000,0 days 00:54:02.537000,241.0,267.0,285.0,316.0,True,SOFT,5.0,False,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.305,29.581,39.779,22.945,False,True
0 days 01:04:07.894000,STR,18,0 days 00:01:31.127000,11.0,4.0,,,0 days 00:00:29.038000,0 days 00:00:39.302000,0 days 00:00:22.787000,0 days 01:03:05.805000,0 days 01:03:45.107000,0 days 01:04:07.894000,242.0,267.0,280.0,320.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.127,29.038,39.302,22.787,False,True
0 days 01:16:19.535000,STR,18,0 days 00:01:31.926000,14.0,5.0,,,0 days 00:00:29.329000,0 days 00:00:39.681000,0 days 00:00:22.916000,0 days 01:15:16.938000,0 days 01:15:56.619000,0 days 01:16:19.535000,240.0,267.0,283.0,318.0,True,SOFT,5.0,False,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.926,29.329,39.681,22.916,False,True
0 days 01:23:18.444000,STR,18,0 days 00:01:30.836000,17.0,6.0,,,0 days 00:00:29.033000,0 days 00:00:39.070000,0 days 00:00:22.733000,0 days 01:22:16.641000,0 days 01:22:55.711000,0 days 01:23:18.444000,243.0,266.0,285.0,317.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.836,29.033,39.07,22.733,False,True
0 days 00:31:33.136000,OCO,31,0 days 00:01:31.688000,2.0,1.0,,,0 days 00:00:29.321000,0 days 00:00:39.398000,0 days 00:00:22.969000,0 days 00:30:30.769000,0 days 00:31:10.167000,0 days 00:31:33.136000,241.0,270.0,285.0,321.0,True,SOFT,2.0,True,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.688,29.321,39.398,22.969,False,True
0 days 00:40:54.636000,OCO,31,0 days 00:01:31.508000,5.0,2.0,,,0 days 00:00:29.221000,0 days 00:00:39.356000,0 days 00:00:22.931000,0 days 00:39:52.349000,0 days 00:40:31.705000,0 days 00:40:54.636000,240.0,268.0,286.0,321.0,True,SOFT,2.0,True,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.508,29.221,39.356,22.931,False,True
0 days 00:54:08.919000,OCO,31,0 days 00:01:32.367000,8.0,3.0,,,0 days 00:00:29.418000,0 days 00:00:39.796000,0 days 00:00:23.153000,0 days 00:53:05.970000,0 days 00:53:45.766000,0 days 00:54:08.919000,240.0,269.0,287.0,320.0,True,SOFT,5.0,False,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.367,29.418,39.796,23.153,False,True
