subset_name,config_name,config_type,n_features,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,family,full_oof_accuracy,full_oof_macro_f1,full_mean_accuracy_gap,full_mean_macro_f1_gap,delta_oof_accuracy_vs_full,delta_oof_macro_f1_vs_full,delta_accuracy_gap_vs_full,delta_macro_f1_gap_vs_full
distinctive_top5,no_dynamics,leave_one_out,49,0.945984667588287,0.7727272727272728,0.17325739486101432,0.9460467698876494,0.771304806413381,0.1747419634742684,0.7728937728937729,0.7723232323232324,0.7747365745207084,dynamics,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.08424908424908417,-0.08368312560703539,0.04050409841788499,0.04354070003559246
distinctive_top5,no_powertrain,leave_one_out,52,0.9606174856520464,0.8095622895622896,0.15105519608975684,0.960565801905474,0.8071377142436782,0.15342808766179572,0.8095238095238095,0.8088888888888889,0.8091230369614099,powertrain,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.04761904761904756,-0.049296663166333965,0.018301899646627512,0.02222682422311978
distinctive_top5,no_throttle,leave_one_out,51,0.9743580076243139,0.8204040404040404,0.15395396722027366,0.9743281412223069,0.8178968567664219,0.1564312844558848,0.8205128205128205,0.8204040404040404,0.8203982816368137,throttle,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.03663003663003661,-0.0380214184909301,0.021200670777144326,0.025230021017208865
distinctive_top5,no_speed,leave_one_out,53,0.9862636672112606,0.8462626262626263,0.14000104094863425,0.9862172506360727,0.8465775079230458,0.13963974271302695,0.8461538461538461,0.8459259259259259,0.8465767805217347,speed,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.01098901098901095,-0.011842919606009139,0.007247744505504916,0.008438479274351013
distinctive_top5,no_brake,leave_one_out,58,0.9899250136148463,0.8461279461279462,0.14379706748690033,0.9898818798487184,0.847581931112366,0.14229994873635252,0.8461538461538461,0.845993265993266,0.8470725494303727,brake,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.01098901098901095,-0.011347150697371133,0.011043771043770995,0.011098685297676575
distinctive_top5,no_context,leave_one_out,61,0.9880943404130536,0.8571717171717171,0.13092262324133636,0.9880388625466605,0.8588435911914173,0.12919527135524328,0.8571428571428571,0.8568350168350168,0.8583714164296689,context,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.0,-4.828369807496902e-05,-0.001830673201792976,-0.0020059920834326617
distinctive_top5,no_phase,leave_one_out,60,0.9890117716057141,0.8680808080808081,0.120930963524906,0.9889501871241958,0.8688589366392568,0.12009125048493888,0.8681318681318682,0.868013468013468,0.8689696606916708,phase,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.010989010989011061,0.010549960563926986,-0.011822332918223336,-0.011110012953737064
distinctive_top6,no_throttle,leave_one_out,51,0.9105407855868505,0.7154312354312354,0.19510955015561487,0.9107626926849737,0.7099414142191096,0.20082127846586398,0.7155963302752294,0.7156004489337824,0.7157015789513403,throttle,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.11620795107033632,-0.11731938934194497,0.04687131300450595,0.052078989344305854
distinctive_top6,no_dynamics,leave_one_out,49,0.9052265215992513,0.7615850815850816,0.14364144001416967,0.9055916481481956,0.7634697426000876,0.14212190554810797,0.7614678899082569,0.7612794612794612,0.7634098331905422,dynamics,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.07033639143730885,-0.06961113510274308,-0.004596797136939251,-0.006620383573450156
distinctive_top6,no_brake,leave_one_out,58,0.9617735661431371,0.783076923076923,0.178696643066214,0.961648837675496,0.7835046657956426,0.17814417187985337,0.7828746177370031,0.7828843995510663,0.7837575670909004,brake,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.04892966360856266,-0.04926340120238493,0.03045840591510507,0.02940188275829525
distinctive_top6,no_powertrain,leave_one_out,52,0.9235500570325523,0.7893706293706294,0.13417942766192303,0.9237064324257613,0.7874530158424357,0.1362534165833257,0.7889908256880734,0.7887766554433221,0.7885819321135886,powertrain,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.04281345565749228,-0.04443903617969669,-0.014058809489185892,-0.012488872538232415
distinctive_top6,no_phase,leave_one_out,60,0.9755374221286305,0.8134265734265733,0.1621108487020569,0.9756184829746335,0.8132477791623034,0.16237070381233012,0.8134556574923547,0.8133557800224467,0.8144540163236242,phase,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.01834862385321101,-0.018566951969661072,0.01387261155094796,0.013628414690772
distinctive_top6,no_speed,leave_one_out,53,0.9678921353572576,0.8196736596736598,0.1482184756835981,0.9678985039265771,0.8195137864035427,0.1483847175230342,0.8195718654434251,0.8194725028058363,0.8204120683507959,speed,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.012232415902140636,-0.012608899942489371,-1.9761467510814867e-05,-0.00035757159852392584
distinctive_top6,no_context,leave_one_out,61,0.9739960808399871,0.8257808857808857,0.14821519505910136,0.9740055516753564,0.8245617935140975,0.149443758161259,0.8256880733944955,0.825645342312009,0.8273541608559031,context,0.8318042813455657,0.8330209682932853,0.14823823715110893,0.14874228912155812,-0.006116207951070263,-0.0056668074373822375,-2.3042092007569126e-05,0.0007014690397008638
