Driver,Team,n_laps,first_season,last_season,speed_mean_session_z,speed_min_session_z,speed_q10_session_z,speed_q50_session_z,speed_q90_session_z,speed_std_session_z,throttle_mean_session_z,throttle_zero_frac_session_z,throttle_full_frac_session_z,throttle_mid_frac_session_z,throttle_diff_abs_mean_session_z,brake_active_frac_session_z,brake_on_count_session_z,rpm_mean_session_z,rpm_std_session_z,rpm_diff_abs_mean_session_z,gear_mean_session_z,gear_change_count_session_z
ALB,Red Bull Racing,23,2019,2020,-0.843214240107435,-0.3472270894386772,-0.35896072070598944,-0.9917610991620308,-0.2906183872404337,0.04839631839832125,-1.3374182485777346,1.1236030261709349,-1.19338223414227,-0.7052476090539771,-0.03433920232614863,0.4933932036851248,-0.11751335993533572,-0.5069813370179492,-0.47073678853006845,0.08175562931403782,-0.43633868462455594,-0.6894112269502211
BEA,Ferrari,1,2024,2024,-0.29319354645506157,-0.5,-0.18359091549446216,-0.23177678040904087,-0.277568055001335,0.23978978846582658,0.7533154696246229,0.391767704731583,0.5919847527966007,-0.6234567152991167,-0.7862104196350761,0.29822959295889273,1.2909944487358043,-0.6825769357243959,-0.5644759886978735,1.3648639115655963,0.2212711678499403,0.5036101551853338
BOT,Mercedes,71,2018,2021,0.2991441428295679,0.5239928465750796,0.08795492975659432,0.39207684574423546,0.18799169737788005,0.08536124826293609,0.04924811393432032,0.5947125598790558,0.14748768307677354,-0.5701164474673519,-0.39694361867567907,-0.37069334447676155,-0.01208695585076941,0.13484882030420567,0.47098114165023014,0.12042609423973506,0.4525088773153305,0.22904380996161453
GAS,Red Bull Racing,12,2019,2019,-1.1647727227965068,-0.30590922993116426,-0.138901561337657,-1.0046934838814414,-0.8981512120528373,-0.43562022546430906,-0.8062735913342406,0.8157336046184426,-0.18822292298253343,-0.6782650746314901,-0.0007392295080355105,-0.28017961553146126,-0.4149686923736273,-0.21625946102104265,-0.9513116162109835,0.6229810273863923,-0.8844550373031983,-0.4198051241777479
HAM,Ferrari,22,2025,2025,-0.19020586119490976,0.15287358554679756,-0.008981464189620635,-0.16606857926213148,0.08149371108371604,0.04409391409837191,0.7689836270816691,-0.8062162211435798,-0.8912425208298285,1.0897312908370322,0.13789735241849638,1.00802219649614,0.22630950335074934,0.6228270500032478,-0.3184805399125004,0.5762766634691604,0.4459281822666627,0.6827964129830882
HAM,Mercedes,121,2018,2024,0.2082202780844144,0.07819911050601987,0.0810781571920417,0.13723910030888786,0.09007431579092917,-0.04504298514105087,0.6698127551158778,-0.1884116287763743,-0.5066909804354243,0.31527137770347063,-0.4279093122288088,-0.4220255223669976,-0.1866913923523237,0.5396894829497131,0.5268481352814739,0.2384698397303674,0.3171701528777463,0.3016050056886144
LAW,Red Bull Racing,2,2025,2025,-0.12530665635789717,-0.9453602401901993,1.0502119890403634,-0.30542044384849143,0.011288014139589173,-0.8681660474569735,-0.5327633383349092,0.9063346577181841,0.27669744542880953,-0.7657543551850523,-0.39979926961898865,-1.1228397092889795,-0.8397170547565544,-1.2283268633035047,0.24548395524774286,-0.1693329350144529,-0.5368271148372289,-1.27934540454571
LEC,Ferrari,127,2019,2025,0.10388572819255017,-0.015569534853865004,-0.03912938514560981,0.18406875585196075,0.14406599589674254,0.20282189901861383,0.7566595621674965,-1.328663344702276,0.03760305241888025,1.1701563859150665,-0.2496908644859882,0.152367458514108,0.8519357776075468,-0.058387746649960985,-0.24799077103357003,-0.528453405831362,0.42932788667624866,0.030265972447110757
PER,Red Bull Racing,70,2021,2024,-0.4340959954177101,-0.04755736014285172,-0.35266761267514524,-0.5432124833637407,-0.06511164036993683,0.2696313016003356,-0.9326471010728024,0.507889596381554,0.3434413232364715,-0.64158973157347,0.34841095949382267,0.013529314752186003,-0.7893371338870766,-0.15597297322175172,-0.1611193725540603,-0.16576670892754056,-1.293303679815444,0.26281068242824784
RIC,Red Bull Racing,16,2018,2018,-0.3581862900179766,0.258411756084192,0.5334460662412627,-0.17917820775693333,-0.8295159727816117,-0.7326842211315129,0.1127284429413882,0.3486583259936959,0.5808345924582793,-0.5986932667405556,-0.19349670513844047,-0.33675001117018016,-0.17075317547305485,-0.7669095719421759,-0.7356673679150095,-0.7026974229998048,-0.6608038692401919,-0.0769358441567434
RUS,Mercedes,50,2022,2024,-0.03391708435241169,-0.3267487240628592,0.08159886520373068,0.085406509522219,-0.4225340388674051,-0.19313984370593074,-0.019487137447837047,0.8090876552429305,0.00944040932226002,-0.7319168724185865,-0.6159241369996044,-0.37663711444100806,-0.21909638547935706,0.5745996810589432,0.25401709653360155,-0.306403982948496,0.44177607511973993,0.6390742073798057
SAI,Ferrari,69,2021,2024,-0.07505222131750994,-0.2690500388772578,-0.048825273352540666,-0.009236245356252526,-0.04906789682551881,0.005234941929727105,0.05092117337840777,-0.09577024604946875,-0.19071843612964373,0.18246229371492334,0.14567420422065328,0.6577967412200854,0.4321298593892302,-0.4542710755023268,0.22341362770829526,0.8635317183019195,0.748262365445892,-0.7125849339087914
TSU,Red Bull Racing,19,2025,2025,-0.4145973125981576,-0.23404075726760784,-0.42209874032573896,-0.4259275011230233,-0.22607968500253423,0.3622592417613429,-0.6344715529811809,0.9675277902506402,0.25757712823222295,-0.7651349431210922,-0.23651314051173755,-0.855318697820732,-0.1732638332337166,-0.8317760042189865,0.5932443838410304,0.20953812613976527,-0.7248769789969868,-0.16679452225626054
VER,Red Bull Racing,142,2018,2025,0.27012318993288403,0.19364300651062247,0.2710493228250816,0.203630280256673,0.06612522466182692,-0.3434695753310043,-0.5536875999142487,0.4994885744304905,0.47429299027047844,-0.5961047253359427,0.5877789990535928,0.08572907266086953,-0.3607108778734372,-0.054578240715828674,-0.5084694811303183,-0.1852902540319668,-0.6197846454737961,-0.36167485549288764
VET,Ferrari,35,2019,2020,-0.2575950140322076,-0.6559381335743254,-0.5117337715434863,-0.34346692403729484,0.30370208452645897,0.6373219057283349,-0.14823465820861736,-1.002095406739358,0.038301520537978216,0.9697736210719571,0.9000714796902581,0.3366022086278154,0.3423004972336685,-0.4117569803692811,0.5569419953267678,0.21603924156772492,0.45223278948212353,0.16866816548548705
