feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max
n_samples,833.0,,,,311.2484993997599,43.69190594356201,212.0,278.0,314.0,341.0,535.0
speed_mean,833.0,,,,221.69196468212857,21.85824891280755,138.03432494279176,209.90368271954674,221.31679389312978,238.53703703703704,263.8030769230769
speed_std,833.0,,,,68.31881777220306,8.0813217721321,43.86217676737831,63.032716192866225,68.31865386436385,72.0269674284522,87.79853635622376
speed_min,833.0,,,,78.031212484994,15.604840397793666,40.0,68.0,74.0,90.0,149.0
speed_max,833.0,,,,325.6062424969988,12.718042885229927,285.0,319.0,325.0,332.0,358.0
speed_q10,833.0,,,,122.39435774309725,22.15894786605447,71.0,104.4,123.0,138.4,186.0
speed_q50,833.0,,,,231.6422569027611,28.694174323241565,122.0,217.0,234.0,252.0,288.5
speed_q90,833.0,,,,305.8671068427371,16.551867005119313,205.40000000000003,297.0,308.0,316.0,340.0
speed_range,833.0,,,,247.5750300120048,18.67901822645254,165.0,236.0,248.0,260.0,292.0
throttle_mean,833.0,,,,72.80342354278761,6.896946388644893,26.91075514874142,69.12051282051281,73.60906515580737,78.09939759036145,85.96969696969697
throttle_std,833.0,,,,39.0985947910854,2.9470178105265816,29.090034066235862,37.017316635143125,39.30769481852797,41.35143561018355,45.5354820711566
throttle_min,833.0,,,,0.01800720288115246,0.23186610224682058,0.0,0.0,0.0,0.0,4.0
throttle_max,833.0,,,,99.97839135654262,0.30542184812127676,99.0,100.0,100.0,100.0,104.0
throttle_zero_frac,833.0,,,,0.1336664024513047,0.06418643966896595,0.0,0.09064327485380116,0.13494809688581316,0.17725752508361203,0.41647597254004576
throttle_full_frac,833.0,,,,0.611098344841863,0.09778895431206891,0.06864988558352403,0.5623268698060941,0.6225806451612903,0.6818181818181818,0.7957317073170732
throttle_mid_frac,833.0,,,,0.25523525270683234,0.08498832663174044,0.1032258064516129,0.19714285714285715,0.24624624624624625,0.2978723404255319,0.7843866171003717
brake_mean,833.0,,,,0.17506973408567017,0.041113464997499925,0.0,0.1455223880597015,0.171875,0.19936708860759494,0.3181818181818182
brake_std,833.0,,,,0.37667780828648345,0.036307604296222075,0.0,0.3532335774200949,0.3778626369645365,0.40015819656540963,0.466735817836442
brake_min,833.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake_max,833.0,,,,0.9987995198079231,0.03464794643376185,0.0,1.0,1.0,1.0,1.0
brake_active_frac,833.0,,,,0.17506973408567017,0.041113464997499925,0.0,0.1455223880597015,0.171875,0.19936708860759494,0.3181818181818182
brake_on_count,833.0,,,,9.24249699879952,2.512711818052346,0.0,7.0,9.0,11.0,18.0
first_brake_frac_pos,832.0,,,,0.07234521740360109,0.04082949301508259,0.00749063670411985,0.040983606557377046,0.06704724986562861,0.09827343906846014,0.1952191235059761
last_brake_frac_pos,832.0,,,,0.9077137544675066,0.056077454724384794,0.7045454545454546,0.8892284661446338,0.914914489560382,0.9451191870348683,1.0
rpm_mean,833.0,,,,10462.78481415756,312.50324352875333,8672.86168224299,10260.70303030303,10481.524528301887,10683.914285714285,11178.338414634147
rpm_std,833.0,,,,1267.1866605661164,267.7149195013067,618.6345714798255,1077.018966820228,1250.0474686780635,1472.555800252428,1996.8234294868753
rpm_min,833.0,,,,6198.894357743097,827.9350331485927,3928.0,5617.0,6207.0,6742.0,8961.0
rpm_max,833.0,,,,12202.804321728692,268.0092768567913,11518.0,11999.0,12176.0,12377.0,13073.0
gear_mean,833.0,,,,5.651676309769788,0.594837957232659,3.4096109839816933,5.3467492260061915,5.6579710144927535,6.0899653979238755,6.732899022801303
gear_std,833.0,,,,1.7714899182270796,0.1993540097317837,1.1538798236572174,1.6351559249947287,1.7753220936868586,1.8993964135804222,2.2964869181901366
gear_min,833.0,,,,2.4297719087635055,0.6046113427620031,1.0,2.0,2.0,3.0,4.0
gear_max,833.0,,,,7.956782713085234,0.20346806139661258,7.0,8.0,8.0,8.0,8.0
gear_change_count,833.0,,,,35.74309723889556,7.310837484345031,20.0,31.0,34.0,40.0,61.0
speed_diff_mean,833.0,,,,-0.06597198915672275,0.1435639604840732,-0.7797356828193832,-0.0449438202247191,-0.019543973941368076,-0.008746355685131196,0.22456140350877193
speed_diff_std,833.0,,,,10.584240288713838,1.4205447384799392,4.6827356627226475,9.774494398215221,10.685133550018138,11.483553834827344,14.526343388387668
speed_diff_abs_mean,833.0,,,,6.7526579107356905,1.1085146489144293,3.938073394495413,6.0202898550724635,6.69375,7.395348837209302,9.447852760736197
throttle_diff_mean,833.0,,,,-0.01988669712278726,0.07533733240357411,-0.398406374501992,0.0,0.0,0.0,0.01529051987767584
throttle_diff_std,833.0,,,,16.35890986985386,2.051702164822195,10.522021934542542,14.884526901794453,16.131754477987542,17.632652884951657,23.831216245318355
throttle_diff_abs_mean,833.0,,,,5.547326677005358,1.1316181069031042,3.25,4.7373271889400925,5.2625,6.2,9.205992509363297
rpm_diff_mean,833.0,,,,0.028983829912680142,2.2507651697695916,-15.504166666666666,-0.8136363636363636,-0.21407624633431085,1.0225988700564972,5.915441176470588
rpm_diff_std,833.0,,,,477.2975107512317,68.01510356471569,323.9549620564093,428.2955410901433,469.89722325554226,513.4493691615246,719.299771489088
rpm_diff_abs_mean,833.0,,,,333.0605754054625,65.1302915944312,215.1904761904762,285.0886075949367,327.0871212121212,368.17692307692306,544.0631970260223
drs_active_frac,833.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lap_key,833,833,2025_r24_Q_VER_lap17,1,,,,,,,
Driver,833,6,LEC,145,,,,,,,
season,833.0,,,,2021.6446578631453,2.3351460606112453,2018.0,2020.0,2022.0,2024.0,2025.0
round,833.0,,,,11.316926770708283,6.547563710565165,1.0,6.0,11.0,17.0,24.0
LapNumber,833.0,,,,13.75750300120048,5.579303229502208,2.0,10.0,14.0,17.0,31.0
LapTimeSeconds,833.0,,,,83.08846098439375,10.830254130889166,53.433,75.233,83.084,90.927,140.973
Sector1TimeSeconds,833.0,,,,25.351908763505403,5.358493207348905,15.355,21.68,26.698,28.575,52.418
Sector2TimeSeconds,833.0,,,,32.10808043217287,6.0297321774473565,16.915,27.8,30.41,37.132,61.693
Sector3TimeSeconds,833.0,,,,25.628471788715487,5.946326851792609,15.672,21.362,25.087,28.397,42.044
Compound,833,6,SOFT,719,,,,,,,
TyreLife,833.0,,,,2.26890756302521,0.803960079826574,1.0,2.0,2.0,2.0,9.0
Team,833,12,Ferrari,219,,,,,,,
session_key,833,146,2018_2_Q,6,,,,,,,
event_name,833,36,Bahrain Grand Prix,47,,,,,,,
