true_driver,pred_driver,count
ALB,SAI,5
LEC,SAI,5
SAI,ALB,5
VER,ALB,4
OCO,ALB,4
OCO,SAI,3
ALB,OCO,3
ALB,VER,3
SAI,OCO,2
SAI,LEC,2
ALB,LEC,1
LEC,OCO,1
