experiment,model,n_features,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_balanced_accuracy,mean_test_balanced_accuracy,mean_balanced_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
experiment_a_with_time_features,logistic_regression,72,0.8606425060508162,0.6344113402936932,0.226231165757123,0.8608124433705827,0.6351948051948051,0.22561763817577765,0.8600294265239701,0.6310310240176786,0.2289984025062914,0.6344647519582245,0.6348484848484847,0.633262920873489
experiment_a_with_time_features,xgboost,72,1.0,0.497368644427468,0.502631355572532,1.0,0.49779220779220773,0.5022077922077923,1.0,0.490294918153581,0.509705081846419,0.49738903394255873,0.49752284752284753,0.49357739920468485
experiment_a_with_time_features,hist_gradient_boosting,72,1.0,0.4934725405313641,0.506527459468636,1.0,0.4938961038961039,0.5061038961038962,1.0,0.4884573734262213,0.5115426265737787,0.4934725848563969,0.4935786435786435,0.492087832271277
experiment_a_with_time_features,random_forest,72,1.0,0.4816653934300993,0.5183346065699006,1.0,0.48207792207792205,0.517922077922078,1.0,0.4641389458375033,0.5358610541624966,0.48172323759791125,0.48222703222703217,0.46645742791558936
experiment_b_without_time_features,logistic_regression,64,0.8541166874580174,0.6396400984636278,0.2144765889943896,0.8542736333434007,0.6402597402597403,0.21401389308366045,0.8536546054432905,0.6371611103634259,0.21649349507986462,0.639686684073107,0.63994708994709,0.6391971328086237
experiment_b_without_time_features,hist_gradient_boosting,64,1.0,0.5156353450471098,0.4843646549528902,1.0,0.515974025974026,0.48402597402597414,1.0,0.5084427835008826,0.49155721649911743,0.5156657963446475,0.5156325156325157,0.5150047497193514
experiment_b_without_time_features,xgboost,64,1.0,0.4934640522875817,0.5065359477124183,1.0,0.4937662337662337,0.5062337662337664,1.0,0.48762463636011344,0.5123753636398864,0.4934725848563969,0.49357864357864356,0.4906022259800298
experiment_b_without_time_features,random_forest,64,1.0,0.47516339869281043,0.5248366013071895,1.0,0.4755844155844155,0.5244155844155844,1.0,0.46248737613829355,0.5375126238617065,0.4751958224543081,0.4756373256373257,0.46521894512808554
