season,round,event_name,session_name,Driver,Team,LapNumber,Stint,LapTimeSeconds,Compound,TyreLife,TrackStatus,lap_time_not_null,dry_session,accurate,not_deleted,not_fastf1_generated,track_status_green,not_pit_in_out,lap_delta_to_stint_median,within_2s_of_stint_median,within_3s_of_stint_median
2025,2,Chinese Grand Prix,R,PIA,McLaren,40.0,2.0,96.009,HARD,26.0,1,True,True,True,True,True,True,True,-0.6530000000000058,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,41.0,2.0,96.028,HARD,27.0,1,True,True,True,True,True,True,True,-0.6340000000000003,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,42.0,2.0,96.319,HARD,28.0,1,True,True,True,True,True,True,True,-0.3430000000000035,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,43.0,2.0,96.366,HARD,29.0,1,True,True,True,True,True,True,True,-0.2960000000000065,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,44.0,2.0,96.533,HARD,30.0,1,True,True,True,True,True,True,True,-0.1290000000000049,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,45.0,2.0,96.674,HARD,31.0,1,True,True,True,True,True,True,True,0.012000000000000455,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,46.0,2.0,96.46,HARD,32.0,1,True,True,True,True,True,True,True,-0.2020000000000124,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,47.0,2.0,96.139,HARD,33.0,1,True,True,True,True,True,True,True,-0.5230000000000103,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,48.0,2.0,96.002,HARD,34.0,1,True,True,True,True,True,True,True,-0.6600000000000108,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,49.0,2.0,95.968,HARD,35.0,1,True,True,True,True,True,True,True,-0.6940000000000026,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,50.0,2.0,95.624,HARD,36.0,1,True,True,True,True,True,True,True,-1.038000000000011,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,51.0,2.0,96.107,HARD,37.0,1,True,True,True,True,True,True,True,-0.5550000000000068,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,52.0,2.0,95.78,HARD,38.0,1,True,True,True,True,True,True,True,-0.882000000000005,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,53.0,2.0,95.52,HARD,39.0,1,True,True,True,True,True,True,True,-1.1420000000000101,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,54.0,2.0,95.641,HARD,40.0,1,True,True,True,True,True,True,True,-1.0210000000000008,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,55.0,2.0,95.976,HARD,41.0,1,True,True,True,True,True,True,True,-0.686000000000007,True,True
2025,2,Chinese Grand Prix,R,PIA,McLaren,56.0,2.0,96.934,HARD,42.0,1,True,True,True,True,True,True,True,0.27199999999999136,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,2.0,1.0,97.713,MEDIUM,2.0,1,True,True,True,True,True,True,True,-0.48400000000000887,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,4.0,1.0,97.719,MEDIUM,4.0,1,True,True,True,True,True,True,True,-0.47800000000000864,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,5.0,1.0,97.917,MEDIUM,5.0,1,True,True,True,True,True,True,True,-0.28000000000000114,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,7.0,1.0,98.174,MEDIUM,7.0,1,True,True,True,True,True,True,True,-0.022999999999996135,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,8.0,1.0,98.287,MEDIUM,8.0,1,True,True,True,True,True,True,True,0.09000000000000341,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,9.0,1.0,98.514,MEDIUM,9.0,1,True,True,True,True,True,True,True,0.31699999999999307,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,10.0,1.0,98.316,MEDIUM,10.0,1,True,True,True,True,True,True,True,0.11899999999999977,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,11.0,1.0,98.118,MEDIUM,11.0,1,True,True,True,True,True,True,True,-0.07900000000000773,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,12.0,1.0,98.197,MEDIUM,12.0,1,True,True,True,True,True,True,True,0.0,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,13.0,1.0,98.349,MEDIUM,13.0,1,True,True,True,True,True,True,True,0.15200000000000102,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,14.0,1.0,98.389,MEDIUM,14.0,1,True,True,True,True,True,True,True,0.19199999999999307,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,17.0,2.0,97.432,HARD,2.0,1,True,True,True,True,True,True,True,0.6834999999999951,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,18.0,2.0,97.477,HARD,3.0,1,True,True,True,True,True,True,True,0.7284999999999968,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,19.0,2.0,97.679,HARD,4.0,1,True,True,True,True,True,True,True,0.930499999999995,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,20.0,2.0,98.122,HARD,5.0,1,True,True,True,True,True,True,True,1.3734999999999928,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,21.0,2.0,97.979,HARD,6.0,1,True,True,True,True,True,True,True,1.2304999999999922,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,22.0,2.0,97.336,HARD,7.0,1,True,True,True,True,True,True,True,0.5874999999999915,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,23.0,2.0,97.321,HARD,8.0,1,True,True,True,True,True,True,True,0.5724999999999909,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,24.0,2.0,96.952,HARD,9.0,1,True,True,True,True,True,True,True,0.20349999999999113,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,25.0,2.0,97.357,HARD,10.0,1,True,True,True,True,True,True,True,0.6084999999999923,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,26.0,2.0,97.132,HARD,11.0,1,True,True,True,True,True,True,True,0.38349999999999795,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,27.0,2.0,96.754,HARD,12.0,1,True,True,True,True,True,True,True,0.00549999999999784,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,28.0,2.0,96.509,HARD,13.0,1,True,True,True,True,True,True,True,-0.2395000000000067,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,29.0,2.0,96.531,HARD,14.0,1,True,True,True,True,True,True,True,-0.21750000000000114,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,30.0,2.0,96.335,HARD,15.0,1,True,True,True,True,True,True,True,-0.4135000000000133,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,31.0,2.0,96.367,HARD,16.0,1,True,True,True,True,True,True,True,-0.3815000000000026,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,32.0,2.0,96.862,HARD,17.0,1,True,True,True,True,True,True,True,0.11349999999998772,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,33.0,2.0,96.774,HARD,18.0,1,True,True,True,True,True,True,True,0.02549999999999386,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,34.0,2.0,97.195,HARD,19.0,1,True,True,True,True,True,True,True,0.44649999999998613,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,35.0,2.0,96.854,HARD,20.0,1,True,True,True,True,True,True,True,0.10549999999999216,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,36.0,2.0,96.316,HARD,21.0,1,True,True,True,True,True,True,True,-0.43250000000000455,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,37.0,2.0,96.274,HARD,22.0,1,True,True,True,True,True,True,True,-0.47450000000000614,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,38.0,2.0,96.192,HARD,23.0,1,True,True,True,True,True,True,True,-0.556500000000014,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,39.0,2.0,96.217,HARD,24.0,1,True,True,True,True,True,True,True,-0.5315000000000083,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,40.0,2.0,96.397,HARD,25.0,1,True,True,True,True,True,True,True,-0.3515000000000015,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,41.0,2.0,96.661,HARD,26.0,1,True,True,True,True,True,True,True,-0.08750000000000568,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,42.0,2.0,96.868,HARD,27.0,1,True,True,True,True,True,True,True,0.11949999999998795,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,43.0,2.0,96.971,HARD,28.0,1,True,True,True,True,True,True,True,0.2224999999999966,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,44.0,2.0,96.743,HARD,29.0,1,True,True,True,True,True,True,True,-0.005500000000012051,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,45.0,2.0,96.396,HARD,30.0,1,True,True,True,True,True,True,True,-0.35250000000000625,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,46.0,2.0,96.07,HARD,31.0,1,True,True,True,True,True,True,True,-0.6785000000000139,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,47.0,2.0,95.857,HARD,32.0,1,True,True,True,True,True,True,True,-0.8915000000000077,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,48.0,2.0,95.708,HARD,33.0,1,True,True,True,True,True,True,True,-1.0405000000000086,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,49.0,2.0,95.666,HARD,34.0,1,True,True,True,True,True,True,True,-1.0825000000000102,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,50.0,2.0,95.675,HARD,35.0,1,True,True,True,True,True,True,True,-1.07350000000001,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,51.0,2.0,95.9,HARD,36.0,1,True,True,True,True,True,True,True,-0.8485000000000014,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,52.0,2.0,95.851,HARD,37.0,1,True,True,True,True,True,True,True,-0.897500000000008,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,53.0,2.0,95.454,HARD,38.0,1,True,True,True,True,True,True,True,-1.2945000000000135,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,54.0,2.0,96.872,HARD,39.0,1,True,True,True,True,True,True,True,0.12349999999999284,True,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,55.0,2.0,98.96,HARD,40.0,1,True,True,True,True,True,True,True,2.2114999999999867,False,True
2025,2,Chinese Grand Prix,R,NOR,McLaren,56.0,2.0,99.418,HARD,41.0,1,True,True,True,True,True,True,True,2.6694999999999993,False,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,2.0,1.0,97.463,MEDIUM,2.0,1,True,True,True,True,True,True,True,-0.9200000000000159,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,4.0,1.0,97.643,MEDIUM,4.0,1,True,True,True,True,True,True,True,-0.7400000000000091,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,5.0,1.0,97.821,MEDIUM,5.0,1,True,True,True,True,True,True,True,-0.5620000000000118,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,7.0,1.0,98.464,MEDIUM,7.0,1,True,True,True,True,True,True,True,0.08099999999998886,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,8.0,1.0,98.715,MEDIUM,8.0,1,True,True,True,True,True,True,True,0.33199999999999363,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,9.0,1.0,98.557,MEDIUM,9.0,1,True,True,True,True,True,True,True,0.17399999999999238,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,10.0,1.0,98.438,MEDIUM,10.0,1,True,True,True,True,True,True,True,0.05499999999999261,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,11.0,1.0,98.375,MEDIUM,11.0,1,True,True,True,True,True,True,True,-0.008000000000009777,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,12.0,1.0,98.391,MEDIUM,12.0,1,True,True,True,True,True,True,True,0.007999999999995566,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,13.0,1.0,98.211,MEDIUM,13.0,1,True,True,True,True,True,True,True,-0.17200000000001125,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,16.0,2.0,96.812,HARD,2.0,1,True,True,True,True,True,True,True,0.14799999999999613,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,17.0,2.0,97.85,HARD,3.0,1,True,True,True,True,True,True,True,1.1859999999999928,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,18.0,2.0,98.865,HARD,4.0,1,True,True,True,True,True,True,True,2.2009999999999934,False,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,19.0,2.0,97.929,HARD,5.0,1,True,True,True,True,True,True,True,1.2650000000000006,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,20.0,2.0,98.472,HARD,6.0,1,True,True,True,True,True,True,True,1.8079999999999927,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,21.0,2.0,97.964,HARD,7.0,1,True,True,True,True,True,True,True,1.2999999999999972,True,True
2025,2,Chinese Grand Prix,R,RUS,Mercedes,22.0,2.0,97.335,HARD,8.0,1,True,True,True,True,True,True,True,0.6709999999999923,True,True
