experiment,model,n_features,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
experiment_a_with_time_features,logistic_regression,72,0.6082760376878024,0.0394936739209338,0.6083116883116882,0.039196797518924756,0.6002641247671425,0.034187632116735873,0.608355091383812,0.6085377585377584,0.6056262749933085
experiment_b_without_time_features,logistic_regression,64,0.6174178762414056,0.0362242404490746,0.6174025974025974,0.0361846243119887,0.6103226680813839,0.02984298248472241,0.6174934725848564,0.6176767676767678,0.6159817474952075
