lap_key,Driver,Team,season,round,session_key,event_name,speed_mean_session_z,speed_min_session_z,speed_q10_session_z,speed_q50_session_z,speed_q90_session_z,speed_std_session_z,throttle_mean_session_z,throttle_zero_frac_session_z,throttle_full_frac_session_z,throttle_mid_frac_session_z,throttle_diff_abs_mean_session_z,brake_active_frac_session_z,brake_on_count_session_z,rpm_mean_session_z,rpm_std_session_z,rpm_diff_abs_mean_session_z,gear_mean_session_z,gear_change_count_session_z
2018_r10_Q_ALO_lap8,ALO,McLaren,2018,10,2018_10_Q,British Grand Prix,-0.8468448571518605,0.701560760020114,-0.9400155271704261,-0.8044686515463202,-0.9105972027571111,-0.5396685869181727,0.17421659622347155,0.13389581202120215,0.9802733592100836,-0.4200465187148866,1.2126325838539234,-0.28862676884340965,-0.12613124477737825,0.8693741234123679,-1.4539753570069116,-0.46844157535442904,0.34354072814586756,1.9355514003252332
2018_r10_Q_BOT_lap11,BOT,Mercedes,2018,10,2018_10_Q,British Grand Prix,0.9359954932266419,-0.23385358667337133,0.5287587340333699,0.6895445584682744,0.8351631149547424,0.5917638425073686,-0.029520846740365772,0.7187166158281183,-0.17882557182808512,-0.48305998066903094,-1.0694807940776094,-0.32517099065771393,-0.12613124477737825,0.9613798979767951,-1.0131552465678368,1.4853907934576416,0.6723696958376802,0.4608455715060079
2018_r10_Q_GAS_lap14,GAS,Toro Rosso,2018,10,2018_10_Q,British Grand Prix,-0.9437351390026296,-0.23385358667337133,-0.058750970448148504,-1.0343168377024117,-1.341649133056333,-1.3200066750355914,0.7004958552734744,0.7135765892321592,1.1718053763047085,-0.9189927021060634,-0.34149310158386137,-0.9000397107365711,-1.1351812029964043,-0.19672812477154653,-0.333822069843903,-0.17871352212065952,-1.7603451558714254,-1.3825367145180236
2018_r10_Q_HAM_lap14,HAM,Mercedes,2018,10,2018_10_Q,British Grand Prix,1.193292060096714,1.1692679333668565,1.8800310543408607,1.2641650238585032,1.072241676619307,0.3791024138576393,1.2217735031257009,0.3061094289780908,0.1571496040837003,-0.2817141209840284,-0.7262067538747714,-0.9289531255204454,-0.12613124477737825,0.9446684897755964,-0.33606099891615576,-0.1444913168377968,0.5887664145610054,0.4608455715060079
2018_r10_Q_OCO_lap10,OCO,Force India,2018,10,2018_10_Q,British Grand Prix,-0.41127162182577504,-0.23385358667337133,-1.2337703794111854,0.11492409307804574,0.27479560556574906,1.0584346553418797,-2.1804373776198607,-0.9356599849273927,-1.9548253892399934,1.3412250805109776,0.11279254787098396,1.5759072926956443,1.8919686716606738,-0.7208636542425563,1.4125021903325499,-1.0162089690342415,0.6640271407089303,-0.645183800108411
2018_r10_Q_RIC_lap10,RIC,Red Bull Racing,2018,10,2018_10_Q,British Grand Prix,-0.12101856450323911,0.701560760020114,0.5875097044815184,-0.8044686515463202,-0.2640193073082783,-0.8863625400576504,-0.3340640056665451,0.5126243549089067,0.18603649651393575,-0.44665414368241974,-0.4776293558296456,-0.3978324933908798,-0.12613124477737825,-1.4211259084255252,-0.04470994600885512,-1.2336092355145105,-0.3981482288572798,-0.645183800108411
2018_r10_Q_SAI_lap7,SAI,Renault,2018,10,2018_10_Q,British Grand Prix,-1.1052189420872363,0.23385358667337133,-0.646260674929667,-0.8044686515463202,-0.9105972027571111,-0.7162614333770001,0.3220073470525862,0.6307650496305935,0.4056773079262028,-0.6071513374865781,-0.5106496387743683,-0.28862676884340965,-1.1351812029964043,-1.1548987287944836,0.693738648699898,0.16313646229787956,-1.1457268077315443,0.09216911430120157
2018_r10_Q_VET_lap12,VET,Ferrari,2018,10,2018_10_Q,British Grand Prix,1.2988015712473677,-2.104682280060342,-0.11750194089629701,1.379089116936549,1.2446624487389983,1.432998323681519,0.12552892835150817,-2.080027865671679,-0.7672911829705398,1.81639372313203,1.8000345124153376,1.5533425652967903,0.8829187134416477,0.7181939050693396,1.0754827793112123,1.3929373631061261,1.0355162132068032,-0.27650734290360474
2018_r11_Q_ALO_lap15,ALO,McLaren,2018,11,2018_11_Q,German Grand Prix,-1.2026344659467003,-1.3174650984805198,-1.3459574345483665,-0.920296023493427,-1.2253408514893633,-0.7283848530758206,0.9608363070576489,0.2615529270058571,1.1057759595829022,-0.4914397418554832,-0.2059000705570232,-0.02625921253080871,0.5,0.003187481265587673,-1.3317370168206215,0.39788986500617435,0.05824088863914627,1.4473519220310231
2018_r11_Q_BOT_lap16,BOT,Mercedes,2018,11,2018_11_Q,German Grand Prix,0.6184584152250733,1.02469507659596,0.6172070003730037,0.9796699604930029,0.4227158395967746,0.16791755019786292,-0.1295082928941303,0.5409056414397774,0.05002650040291789,-0.435638848351906,-1.2877114188279866,-1.3904727599150184,0.5,-0.18407547450765796,-0.16744281452960627,-0.7077293288604596,1.0348511547085086,-0.16081688022566923
