dataset,task,target,feature_config,class_name,rank,feature,coef,abs_coef
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,4,num__throttle_mid_frac,-3.2172969191349545,3.2172969191349545
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,5,num__throttle_diff_abs_mean,-2.9210594672349526,2.9210594672349526
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,6,num__throttle_diff_std,2.5872533411397445,2.5872533411397445
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,7,num__speed_q10,-2.5415442276836706,2.5415442276836706
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,8,num__rpm_std,-2.40447000598854,2.40447000598854
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,9,num__rpm_mean,2.2212225433206587,2.2212225433206587
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,10,num__rpm_diff_abs_mean,-2.1138807001512627,2.1138807001512627
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,11,num__throttle_zero_frac,-1.9809711692602001,1.9809711692602001
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,12,num__speed_mean,-1.421013219599417,1.421013219599417
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,13,num__speed_std,1.4019459269621917,1.4019459269621917
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,14,num__n_samples,-1.0881079824866104,1.0881079824866104
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,15,num__brake_active_frac,-0.9087784247111328,0.9087784247111328
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,16,num__brake_mean,-0.9087784247111328,0.9087784247111328
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,17,num__throttle_std,-0.8693953143924195,0.8693953143924195
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,18,num__gear_max,0.7921859866845534,0.7921859866845534
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,19,num__LapTimeSeconds,0.6659214625209158,0.6659214625209158
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,20,num__speed_q50,-0.650171220559961,0.650171220559961
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,21,num__rpm_min,-0.6100123562360064,0.6100123562360064
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,22,num__Stint,0.6071994360834001,0.6071994360834001
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,23,num__rpm_diff_std,-0.5737081855565875,0.5737081855565875
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,24,num__gear_change_count,0.5535138440849446,0.5535138440849446
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,25,num__speed_max,-0.5502663173128729,0.5502663173128729
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,26,num__speed_diff_abs_mean,-0.5443555434964437,0.5443555434964437
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,27,num__drs_active_frac,0.4550939848060054,0.4550939848060054
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,28,num__speed_range,-0.4179324882422205,0.4179324882422205
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,29,num__gear_std,-0.3828065225296744,0.3828065225296744
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,LEC,30,num__speed_diff_std,-0.36471820350286194,0.36471820350286194
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,1,num__throttle_mean,6.2043803044101224,6.2043803044101224
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,2,num__gear_mean,3.840411889539041,3.840411889539041
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,3,num__throttle_full_frac,-3.5113091001036643,3.5113091001036643
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,4,num__throttle_mid_frac,3.2033761774991967,3.2033761774991967
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,5,num__throttle_diff_abs_mean,2.8583064737983817,2.8583064737983817
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,6,num__throttle_diff_std,-2.6170762233055713,2.6170762233055713
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,7,num__speed_q10,2.5524875465310366,2.5524875465310366
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,8,num__rpm_std,2.368654904034454,2.368654904034454
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,9,num__rpm_mean,-2.276303297801173,2.276303297801173
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,10,num__rpm_diff_abs_mean,2.1864152928889586,2.1864152928889586
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,11,num__throttle_zero_frac,1.9486502462829234,1.9486502462829234
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,12,num__speed_std,-1.4686181838250256,1.4686181838250256
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,13,num__speed_mean,1.4210031573905404,1.4210031573905404
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,14,num__brake_mean,0.9323410831161614,0.9323410831161614
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,15,num__brake_active_frac,0.9323410831161614,0.9323410831161614
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,16,num__throttle_std,0.9233542031765187,0.9233542031765187
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,17,num__gear_max,-0.8490514004231967,0.8490514004231967
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,18,num__speed_q50,0.6161982897142707,0.6161982897142707
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,19,num__rpm_min,0.6153623257608223,0.6153623257608223
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,20,num__gear_change_count,-0.610495951978469,0.610495951978469
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,21,num__Stint,-0.5828004742337912,0.5828004742337912
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,22,num__speed_max,0.5808302674655036,0.5808302674655036
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,23,num__rpm_diff_std,0.5499582351986008,0.5499582351986008
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,24,num__n_samples,0.4974102766824728,0.4974102766824728
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,25,num__speed_diff_abs_mean,0.46598486559048913,0.46598486559048913
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,26,num__drs_active_frac,-0.44939637705112595,0.44939637705112595
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,27,num__speed_range,0.4391645100417771,0.4391645100417771
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,28,num__gear_std,0.43224787124819253,0.43224787124819253
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,29,num__speed_diff_std,0.3710627406903941,0.3710627406903941
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,HAM,30,num__rpm_max,0.32742405295894944,0.32742405295894944
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,1,num__throttle_mean,-6.2043803044101224,6.2043803044101224
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,2,num__gear_mean,-3.840411889539041,3.840411889539041
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,3,num__throttle_full_frac,3.5113091001036643,3.5113091001036643
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,4,num__throttle_mid_frac,-3.2033761774991967,3.2033761774991967
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,5,num__throttle_diff_abs_mean,-2.8583064737983817,2.8583064737983817
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,6,num__throttle_diff_std,2.6170762233055713,2.6170762233055713
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,7,num__speed_q10,-2.5524875465310366,2.5524875465310366
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,8,num__rpm_std,-2.368654904034454,2.368654904034454
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,9,num__rpm_mean,2.276303297801173,2.276303297801173
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,10,num__rpm_diff_abs_mean,-2.1864152928889586,2.1864152928889586
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,11,num__throttle_zero_frac,-1.9486502462829234,1.9486502462829234
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,12,num__speed_std,1.4686181838250256,1.4686181838250256
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,13,num__speed_mean,-1.4210031573905404,1.4210031573905404
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,14,num__brake_mean,-0.9323410831161614,0.9323410831161614
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,15,num__brake_active_frac,-0.9323410831161614,0.9323410831161614
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,16,num__throttle_std,-0.9233542031765187,0.9233542031765187
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,17,num__gear_max,0.8490514004231967,0.8490514004231967
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,18,num__speed_q50,-0.6161982897142707,0.6161982897142707
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,19,num__rpm_min,-0.6153623257608223,0.6153623257608223
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,20,num__gear_change_count,0.610495951978469,0.610495951978469
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,21,num__Stint,0.5828004742337912,0.5828004742337912
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,22,num__speed_max,-0.5808302674655036,0.5808302674655036
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,23,num__rpm_diff_std,-0.5499582351986008,0.5499582351986008
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,24,num__n_samples,-0.4974102766824728,0.4974102766824728
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,25,num__speed_diff_abs_mean,-0.46598486559048913,0.46598486559048913
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,26,num__drs_active_frac,0.44939637705112595,0.44939637705112595
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,27,num__speed_range,-0.4391645100417771,0.4391645100417771
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,28,num__gear_std,-0.43224787124819253,0.43224787124819253
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,29,num__speed_diff_std,-0.3710627406903941,0.3710627406903941
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,no_time_features,LEC,30,num__rpm_max,-0.32742405295894944,0.32742405295894944
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,1,num__throttle_mean,6.386989169677701,6.386989169677701
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,2,num__gear_mean,4.270130477652864,4.270130477652864
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,3,num__throttle_full_frac,-3.294659694343086,3.294659694343086
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,4,num__throttle_mid_frac,3.015029979528744,3.015029979528744
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,5,num__throttle_diff_abs_mean,2.8386461125030564,2.8386461125030564
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,6,num__throttle_diff_std,-2.5052428085416527,2.5052428085416527
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,7,num__rpm_mean,-2.4430311205243314,2.4430311205243314
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,8,num__speed_q10,2.393090541667585,2.393090541667585
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,9,num__rpm_std,2.362712933471784,2.362712933471784
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,10,num__rpm_diff_abs_mean,2.0713884119721118,2.0713884119721118
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,11,num__throttle_zero_frac,1.8093939727263648,1.8093939727263648
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,12,num__speed_mean,1.5394469755807547,1.5394469755807547
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,13,num__speed_std,-1.364060404031639,1.364060404031639
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,14,num__throttle_std,1.206886631247644,1.206886631247644
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,15,num__gear_max,-1.0170400302295373,1.0170400302295373
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,16,num__brake_active_frac,0.9958347200387487,0.9958347200387487
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,17,num__brake_mean,0.9958347200387487,0.9958347200387487
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,18,num__gear_change_count,-0.844472133615591,0.844472133615591
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,19,num__rpm_diff_std,0.6867231537086984,0.6867231537086984
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,20,num__n_samples,0.6335392900723141,0.6335392900723141
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,21,num__rpm_min,0.6282899902899898,0.6282899902899898
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,22,num__gear_std,0.5844421483732815,0.5844421483732815
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,23,num__speed_max,0.4529084692894605,0.4529084692894605
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,24,num__speed_diff_std,0.35978478246482615,0.35978478246482615
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,25,num__rpm_max,0.3408960255891901,0.3408960255891901
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,26,num__speed_range,0.30603580535495606,0.30603580535495606
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,27,num__rpm_diff_mean,0.22475073356509653,0.22475073356509653
