model,n_samples,n_drivers,n_sessions,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_train_macro_f1,mean_test_macro_f1,mean_accuracy_gap,mean_macro_f1_gap
hybrid_cnn_tabular,4334,5,18,0.8567143516382095,0.8559862628159631,0.856407149159734,0.9675076726907681,0.8645125478620624,0.9678226927669066,0.8625514055576297,0.10299512482870565,0.10527128720927692
cnn,4334,5,18,0.847946469773881,0.8494941151198386,0.846558437390881,0.9372294082135781,0.8563533140833485,0.9371193621510245,0.8589320086118601,0.08087609413022967,0.0781873535391644
gru,4334,5,18,0.5710659898477157,0.572303112511127,0.563887156158874,0.6857929983477162,0.5818986136875269,0.6662839982534856,0.5521570335136834,0.1038943846601893,0.11412696473980222
lstm,4334,5,18,0.36479003230272267,0.3615800166028456,0.32161568527727347,0.37844971809247296,0.3696654123966996,0.3114477313334481,0.297495893055583,0.008784305695773376,0.013951838277865114
