subset_name,experiment,model,n_samples,n_drivers,n_features,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_train_macro_f1,mean_test_macro_f1,mean_accuracy_gap,mean_macro_f1_gap
balanced_top5,with_time_features,logistic_regression,698,5,44,0.828080229226361,0.8261136442797884,0.8266693376437738,0.9172624412270363,0.8279256458821699,0.9170116840120712,0.8261864507869067,0.08933679534486638,0.09082523322516456
balanced_top5,without_time_features,logistic_regression,698,5,40,0.8194842406876791,0.817252303600266,0.8178858441979955,0.9118911274533845,0.8192821291771951,0.9115319737584325,0.817325998966784,0.0926089982761894,0.0942059747916485
balanced_top5,with_time_features,hist_gradient_boosting,698,5,44,0.7134670487106017,0.7098661378677052,0.7096401614181278,1.0,0.7135666120954621,1.0,0.7100330326096553,0.2864333879045379,0.28996696739034467
balanced_top5,with_time_features,xgboost,698,5,44,0.7091690544412608,0.7059634748741332,0.7052947081354306,1.0,0.7092687460404801,1.0,0.7052914960062925,0.29073125395951993,0.2947085039937075
balanced_top5,without_time_features,xgboost,698,5,40,0.7063037249283668,0.7026481112061049,0.7029311594101165,1.0,0.7064116031833372,1.0,0.7029306883583264,0.2935883968166628,0.2970693116416736
balanced_top5,without_time_features,hist_gradient_boosting,698,5,40,0.7063037249283668,0.7023936860770716,0.7023749165336497,1.0,0.7063623976821626,1.0,0.7013727339313446,0.2936376023178374,0.2986272660686554
balanced_top5,without_time_features,random_forest,698,5,40,0.6833810888252149,0.6788227098571926,0.6778145826421759,1.0,0.6834619655230162,1.0,0.677301347263867,0.3165380344769838,0.32269865273613296
balanced_top5,with_time_features,random_forest,698,5,44,0.669054441260745,0.6657258319875876,0.6639056414360872,1.0,0.6691932000937764,1.0,0.6642129727222532,0.33080679990622364,0.3357870272777468
balanced_top6,with_time_features,logistic_regression,833,6,44,0.7923169267707083,0.7902486419401257,0.790548219513392,0.8841413611369621,0.7923457070346783,0.8833975137638648,0.7901384677469414,0.09179565410228374,0.09325904601692336
balanced_top6,without_time_features,logistic_regression,833,6,40,0.7851140456182473,0.7827178525062538,0.7837132522299175,0.8856257494946999,0.7849148281214197,0.8849757004423668,0.7829361795073082,0.1007109213732802,0.10203952093505864
balanced_top6,with_time_features,hist_gradient_boosting,833,6,44,0.6602641056422569,0.6563297112539537,0.6555200038698116,1.0,0.6603277727646397,1.0,0.6539981036312934,0.3396722272353603,0.3460018963687066
balanced_top6,without_time_features,hist_gradient_boosting,833,6,40,0.6566626650660264,0.6529471174651424,0.6517566433727618,1.0,0.656843381329756,1.0,0.6510184674209171,0.34315661867024405,0.34898153257908293
balanced_top6,with_time_features,xgboost,833,6,44,0.6338535414165666,0.6298059619180308,0.6281697715550051,1.0,0.6341382106740932,1.0,0.6272881591128071,0.36586178932590685,0.3727118408871929
balanced_top6,without_time_features,xgboost,833,6,40,0.631452581032413,0.6283019809730886,0.6271192420266006,1.0,0.6313524540803753,1.0,0.6254457274408092,0.3686475459196247,0.3745542725591908
balanced_top6,without_time_features,random_forest,833,6,40,0.6074429771908764,0.6036495440296381,0.5972773154344537,1.0,0.6075054058511042,1.0,0.5962677544469622,0.39249459414889576,0.40373224555303777
balanced_top6,with_time_features,random_forest,833,6,44,0.6002400960384153,0.5959873904492504,0.5899852099095031,1.0,0.6004395647154956,1.0,0.5894264218527813,0.39956043528450436,0.41057357814721873
