Driver,Team,n_laps,first_season,last_season,speed_mean_session_z,speed_min_session_z,speed_q10_session_z,speed_q50_session_z,speed_q90_session_z,speed_std_session_z,throttle_mean_session_z,throttle_zero_frac_session_z,throttle_full_frac_session_z,throttle_mid_frac_session_z,throttle_diff_abs_mean_session_z,brake_active_frac_session_z,brake_on_count_session_z,rpm_mean_session_z,rpm_std_session_z,rpm_diff_abs_mean_session_z,gear_mean_session_z,gear_change_count_session_z
ALO,Alpine,37,2021,2022,-0.18985744108790625,-0.45195791997901674,-0.17825541765176156,-0.32026214706913503,-0.08398042178859096,-0.1301167368362225,0.08104695122306924,0.7534401196191745,0.4923439738110343,-0.8934183141625204,0.5904548211988024,0.20119313963251814,0.06821615265206601,0.1238598194584402,-0.8452211617046828,0.13808276101215347,-1.3470157337931012,1.0495368412724744
ALO,Aston Martin,55,2023,2025,0.007280327955913756,-0.6125133837734756,-0.14915264957281274,0.065940875281257,-0.069911633928093,0.006286526657179525,-0.5473218625447239,0.38235839284900497,0.5373184671514525,-0.5579670587242237,0.7853290437605739,-0.44650040752334147,-0.24133115442227226,0.6674878088158327,-0.4715872520657089,-0.7257793255980386,0.09290411731959565,1.3916656024146068
ALO,McLaren,16,2018,2018,-1.0798062050613637,-0.8470114256325614,-0.9069889571138102,-0.6989668924363373,-0.9193682271490632,-0.3423244957969776,0.08460267699935553,0.3118588650560775,0.3627217606833133,-0.23958841853592086,0.13373714702245323,0.7011730982240926,0.2536894236227854,0.24051402741893113,-1.0426058773572557,-0.6408914662455506,0.596613821255691,1.9203203140388683
BOT,Alfa Romeo,32,2022,2023,-0.30748579202152154,0.580021679880739,-0.2944756992110199,-0.1567978760603156,-0.17072334324311805,0.20403278776055334,-0.07997723691603281,0.33955605104944114,0.008720397962238224,-0.3772804594898898,0.05840822688889368,0.6030717029019766,0.308664811704672,-0.5626351883271267,0.7813928829069842,0.3801546826637541,0.48822992939461446,-0.6784764237405482
BOT,Kick Sauber,18,2024,2024,-0.6001158176307406,0.1299488303828601,-0.3165502244026463,-0.5037989653197753,-0.023544458943927586,0.1281832167178404,-0.24817206793574234,0.6579534430541794,0.1361351927516378,-0.6995913783664904,0.23553965935844573,0.3410065025552311,0.30025674894910565,-1.2074624068273694,1.1129931193540303,0.7445486844483049,0.7158940730242747,-1.049553565663711
BOT,Mercedes,73,2018,2021,0.8627779214039045,0.6884617799784127,0.5820757647879972,0.8522982236643873,0.25286088351321884,-0.21203617473389014,0.4412250631993327,0.23433823888828242,0.5091097328826955,-0.41431255097990616,-0.4854533253930693,-0.2318240655972782,0.12557650290628536,0.2772583658692255,0.4717911697829246,-0.10959642122257113,0.7363665298193105,-0.05997316438945654
GAS,AlphaTauri,52,2020,2022,-0.2043224212543208,-0.623117702227321,-0.07862231316248516,-0.19056809212221693,-0.10063184343690089,0.12433181933441097,-0.15991496703662483,0.8392761605166625,0.24242519740661936,-0.7974763745240797,0.2888872528154687,-1.108071508520835,-0.7722075614364425,1.101810627596844,-0.7779826770021032,0.4227010188796524,-0.49623163072191245,-0.1957899441898609
GAS,Alpine,55,2023,2025,-0.15640743308896934,0.4384245104908268,0.30132828501986997,-0.2884045705579659,-0.13313317576890846,-0.17528951227070388,-0.2251077121265266,0.7906706883936355,-0.02339468786797387,-0.691386028880647,-0.05802446643718691,-0.8343952938590902,-0.6915660979258028,0.09253040392472939,-0.7004565466424186,-0.4196118675663622,-1.0122020719705922,-0.1019904149858382
GAS,Red Bull Racing,12,2019,2019,-0.4116727389306163,-0.37026083479238614,0.1645452404437567,-0.32403956157193964,-1.0475958267153265,-0.7815842499341077,-0.3835872625012758,0.6377873598438687,0.20193435836703802,-0.6856571093884313,-0.12036609358036009,-0.4115662647159685,-0.3818500413931127,0.12000757393781948,-1.0389400298517713,0.23188195022641286,-0.0760736943136864,-0.7223223779661355
GAS,Toro Rosso,24,2018,2019,-1.0175892225860743,-0.5020680531151385,-0.8461463990100415,-0.9345766149640582,-0.5650399201860061,-0.20820953687376997,-0.20432121088349056,0.7971254991059317,0.2851830801972576,-0.751637968263103,-0.2735812262126429,-0.8021083335530461,-0.6573863885264107,-0.12226541361136188,-0.28792552849464764,0.45671616421856903,-1.1215800600293397,-0.6243174307785374
HAM,Ferrari,22,2025,2025,0.46309344519249945,0.29759562619182167,0.13179631083167667,0.38595674255959705,0.4148861250372198,0.19309554490500586,0.9055456556411745,-1.5752540039571656,-0.9454089475517229,1.6059120127755684,0.26472254822407276,0.5155698132088397,-0.051384826745721195,0.5324932251195222,-0.1702552928713674,0.9034803386447036,0.04775348867258708,-0.005647026279689352
HAM,Mercedes,122,2018,2024,0.757879829304345,0.27229707050959084,0.49931742266156925,0.6273882421935332,0.28391509783214575,-0.15944507674870853,1.0392049439608617,-0.6511715408108631,0.08897990215238753,0.5144376461871242,-0.5889614568964946,-0.3240693858052735,-0.2125204413808935,0.7053480605308198,0.5145100883446383,0.023572717638001082,0.6364587902850264,-0.06370518730661719
OCO,Alpine,68,2021,2024,-0.33483799675442616,0.11107739344959489,-0.14582393444406513,-0.3617178287902275,0.002777769696274037,0.14779530145184863,-0.19131794212614261,0.05924931459059362,-0.9932535124337714,0.47718674238539005,-0.3887536929158259,0.7709130291894697,1.0409797064270003,-0.9512934407597244,-0.2981309291612969,-0.008413579006259723,-0.7244063150468905,0.02668360545575931
OCO,Force India,9,2018,2018,-0.6456117669239305,-0.783992071592908,-0.8320986151835892,-0.8590172418903198,0.4578829862136712,0.9837070213078809,-1.4106842909759116,-0.9845978708828318,-1.8222216857079658,1.3951556474339306,-0.014244751666067139,1.5709356954428555,0.8512950785998318,-0.056857154103936755,0.8685629014698096,0.34891964473255055,-0.08427915681812809,-0.32769028118587945
OCO,Haas F1 Team,22,2025,2025,-0.3078875552917514,-0.21115750159763744,0.0802291999172817,-0.391558536525206,-0.5512502709365177,-0.18075054367422522,-0.05217863817602461,-0.0688515031241981,-0.0890642484577885,0.06704096195118432,-0.7480660403228808,0.8948386747424678,1.0798366346488797,-0.6889324445806896,0.4097072460014825,-0.370456238597856,0.032042624668409896,-0.2865551695637425
OCO,Racing Point,7,2018,2018,-0.48419506651990074,-0.2855088103801816,-0.13952102246380274,-0.913466545893485,0.296632817300547,0.610838871179487,-1.1486742474995744,-0.990496488421926,-1.2686183160368707,1.1221626150455226,-0.4258507910864978,1.4666731701149947,1.2925384368024382,0.7574398558361518,0.11358066090616499,0.0523846096313401,-0.6217213516284812,-0.029017296695413097
OCO,Renault,15,2020,2020,-0.5548841287615291,-0.07297643590973504,-0.019401490835501054,-0.607279283725346,-0.10627496372530129,0.18540637151248618,-0.5838890571549823,-0.42262540953348565,-1.5905401922918558,0.9077063700855308,-0.32187593152824057,1.0167977118469749,0.7895367101901974,-0.9642320559372484,-0.455670251359288,-0.34186569388598914,-0.624521296981753,-0.09563562279671857
RIC,AlphaTauri,5,2023,2023,-0.12276361785665224,-0.06157639229292895,0.1558004110970898,0.2634856102573306,-1.3046798172823233,-0.7912230368577582,-0.41449453535255554,0.8397959452212692,0.03709485511506387,-0.6614808120149995,-0.09796873301235862,-0.21224805769959137,-0.7132086339223236,0.6464838512915654,-0.47284064435637563,-0.6592953623780341,-0.7228089719263495,-0.02890691565500414
RIC,McLaren,37,2021,2022,-0.5299557249215903,-0.22019147753456766,-0.6134487202347232,-0.2935792728792055,-0.14139936374559356,0.39706765137279426,-1.1370433770403585,0.9819513647404663,-0.38861849305218554,-0.638794402373477,-0.12824480583516318,-0.5833897054716513,-0.7782147231845586,0.47915403778551185,-0.6258988159420564,-0.25412797558507744,-0.4128220768478283,0.38856872336812776
RIC,RB,13,2024,2024,-0.3537300305031257,0.3860717094598741,0.07608644446996184,-0.21959346476793004,-0.22948545610071727,-0.41388185414991124,-0.13645579911175945,0.3949140321588867,0.23633091639692905,-0.4675826883344664,0.4822197656795677,-0.905976585993262,-0.6784590948493329,0.8016714957651078,-0.29993330331458257,-0.020708350384057137,-1.6349976732586373,-0.11478815178586214
RIC,Red Bull Racing,17,2018,2018,0.4867429592252148,1.1075361206143928,1.2451855408742194,0.704933672709042,-0.7931516787573135,-1.4761040668459544,0.4782549972060834,0.46113997502149795,0.8162917330670428,-0.6546789515449223,-0.37288626400289737,-0.7442563580114472,-0.6382832572599796,-0.5833203115033989,-1.3589852985824868,-1.29765138106205,-0.48856746537537826,-0.23292348510847372
RIC,Renault,36,2019,2020,-0.5415004700366575,0.6186352332852335,-0.14642174608582537,-0.7618621582138421,0.044170572471202756,0.030033951725211276,-0.8741084707503161,0.6212507690627799,-0.6110965292877453,-0.38450356945237524,0.18935635938965822,-0.4408748815556607,-0.27113418456099847,-0.5400740792194074,-0.7452365542686791,-0.12948778766900534,-1.4861871098160988,0.23407082083543823
SAI,Ferrari,69,2021,2024,0.741165593877355,-0.04861368220765424,0.3679073429043226,0.6516176247752303,0.2907821629603478,-0.14481879525434163,0.6341476618481479,-0.9190840438775514,0.41735391299430363,0.6475756750182278,0.03360095851429487,0.5467401018318115,0.37447310284811847,-0.054707292129319164,0.3339897842193997,0.5754387580619629,0.8894277518809758,-0.7664621582672317
SAI,McLaren,35,2019,2020,-0.6280541298652865,-0.6077079746098223,-0.7310736782834532,-0.4281717803892155,0.15404110040513697,0.6047882544957707,-0.5724155091144798,0.3794110458123641,0.00945390569201448,-0.3305744554095541,0.062256598417198335,0.6337399412285227,-0.04808112530410031,-0.9498049774422219,0.20948126533033523,0.3060175100711683,0.2605392988665942,0.20168396305067357
SAI,Renault,18,2018,2018,-0.6968369779534958,0.3831943163239337,-0.3030911512869343,-0.5873985172347885,-0.6108504025035012,-0.43815830521898397,-0.4336687527207441,0.5601240231544675,-0.0045802967849577,-0.4947795731073927,-0.11855867305846296,0.5799310679625066,-0.25930796128355466,-1.5300169162792485,0.617905727194699,0.436335342840614,-0.5869605667403497,-0.3042327211813809
SAI,Williams,22,2025,2025,0.005934837760287667,-0.2260284604185521,-0.05250121557700245,0.14156111521692835,0.24221133866725422,0.15782674796464694,-0.3036396060284512,0.35934432905872854,0.11753491848327831,-0.3507993472416213,-0.2428442610702297,-0.001880748610276576,-0.0869954995659724,-0.7627868389083001,0.9384117819288071,0.6030970839830968,1.258369951969569,-0.8366709037033949
VET,Aston Martin,35,2021,2022,-0.7483362831271556,-0.016544851976380764,-0.6169851790785645,-0.5722732710603597,-0.3869833597036824,0.20972668325340196,-0.9394649607466876,-0.7363526930911769,-0.18811979858763095,0.684293948107755,0.6869189502162107,0.37207950709617393,0.044435451063576756,-0.7215478771878554,0.6044038559942108,-0.7067908584438953,0.5332973451410985,0.433346788910446
VET,Ferrari,53,2018,2020,0.3783298150065733,-0.5532777131870283,-0.10717991571550405,0.37988003162990913,0.5987833813118474,0.6022039708704258,0.38902993702949495,-1.7331147388413302,0.16461166306038638,1.504948701201959,0.9927141716678723,0.3987278923221483,0.5172842810292984,0.18466372268029713,0.7411801623043972,-0.08808267342882699,0.7969525161256266,-0.13901501621545012
